leg,time,lat,lng,tickLead,tickRace,distance
1,2012-01-06T02:55:45Z,-33.35575400,147.93352300,582.0,582.0,128.28
1,2012-01-06T02:55:48Z,-33.35577200,147.93351300,585.0,585.0,128.282
1,2012-01-06T02:55:51Z,-33.35577300,147.93351300,588.0,588.0,128.283
1,2012-01-06T02:55:54Z,-33.35577400,147.93351400,591.0,591.0,128.283
1,2012-01-06T02:55:57Z,-33.35577400,147.93351400,594.0,594.0,128.283
1,2012-01-06T02:56:00Z,-33.35577400,147.93351500,597.0,597.0,128.283
1,2012-01-06T02:56:03Z,-33.35577500,147.93351600,600.0,600.0,128.283
1,2012-01-06T02:56:06Z,-33.35577500,147.93351600,603.0,603.0,128.283
1,2012-01-06T02:56:09Z,-33.35577600,147.93351600,606.0,606.0,128.283
1,2012-01-06T02:56:12Z,-33.35577700,147.93351600,609.0,609.0,128.283
1,2012-01-06T02:56:15Z,-33.35577800,147.93351500,612.0,612.0,128.283
1,2012-01-06T02:56:18Z,-33.35578000,147.93351400,615.0,615.0,128.283
1,2012-01-06T02:56:21Z,-33.35578000,147.93351400,618.0,618.0,128.283
1,2012-01-06T02:56:24Z,-33.35578000,147.93351300,621.0,621.0,128.283
1,2012-01-06T02:56:27Z,-33.35578200,147.93351300,624.0,624.0,128.284
1,2012-01-06T02:56:30Z,-33.35578200,147.93351300,627.0,627.0,128.284
1,2012-01-06T02:56:33Z,-33.35578300,147.93351200,630.0,630.0,128.284
1,2012-01-06T02:56:36Z,-33.35578500,147.93351200,633.0,633.0,128.284
1,2012-01-06T02:56:39Z,-33.35578600,147.93351200,636.0,636.0,128.284
1,2012-01-06T02:56:42Z,-33.35578800,147.93351200,639.0,639.0,128.284
1,2012-01-06T02:56:45Z,-33.35578900,147.93351200,642.0,642.0,128.284
1,2012-01-06T02:56:48Z,-33.35579200,147.93351100,645.0,645.0,128.285
1,2012-01-06T02:56:51Z,-33.35580600,147.93349100,648.0,648.0,128.286
1,2012-01-06T02:56:54Z,-33.35581300,147.93347600,651.0,651.0,128.287
1,2012-01-06T02:56:57Z,-33.35581100,147.93347600,654.0,654.0,128.287
1,2012-01-06T02:57:00Z,-33.35581100,147.93347600,657.0,657.0,128.287
1,2012-01-06T02:57:03Z,-33.35581100,147.93347700,660.0,660.0,128.287
1,2012-01-06T02:57:06Z,-33.35581100,147.93347600,663.0,663.0,128.287
1,2012-01-06T02:57:09Z,-33.35581100,147.93347600,666.0,666.0,128.287
1,2012-01-06T02:57:12Z,-33.35581100,147.93347600,669.0,669.0,128.287
1,2012-01-06T02:57:15Z,-33.35581200,147.93347700,672.0,672.0,128.287
1,2012-01-06T02:57:18Z,-33.35581200,147.93347600,675.0,675.0,128.287
1,2012-01-06T02:57:21Z,-33.35581200,147.93347600,678.0,678.0,128.287
1,2012-01-06T02:57:24Z,-33.35581300,147.93347600,681.0,681.0,128.287
1,2012-01-06T02:57:27Z,-33.35581600,147.93347300,684.0,684.0,128.288
1,2012-01-06T02:57:30Z,-33.35587000,147.93340500,687.0,687.0,128.294
1,2012-01-06T02:57:33Z,-33.35603500,147.93320400,690.0,690.0,128.314
1,2012-01-06T02:57:36Z,-33.35629000,147.93288200,693.0,693.0,128.345
1,2012-01-06T02:57:39Z,-33.35656500,147.93249400,696.0,696.0,128.379
1,2012-01-06T02:57:42Z,-33.35680300,147.93211100,699.0,699.0,128.409
1,2012-01-06T02:57:45Z,-33.35700300,147.93172200,702.0,702.0,128.434
1,2012-01-06T02:57:48Z,-33.35718700,147.93133500,705.0,705.0,128.458
1,2012-01-06T02:57:51Z,-33.35737800,147.93092200,708.0,708.0,128.483
1,2012-01-06T02:57:54Z,-33.35755900,147.93049000,711.0,711.0,128.506
1,2012-01-06T02:57:57Z,-33.35778200,147.93005500,714.0,714.0,128.535
1,2012-01-06T02:58:00Z,-33.35803600,147.92965400,717.0,717.0,128.567
1,2012-01-06T02:58:03Z,-33.35821000,147.92925900,720.0,720.0,128.59
1,2012-01-06T02:58:06Z,-33.35830500,147.92887100,723.0,723.0,128.604
1,2012-01-06T02:58:09Z,-33.35841100,147.92849100,726.0,726.0,128.619
1,2012-01-06T02:58:12Z,-33.35847900,147.92808700,729.0,729.0,128.63
1,2012-01-06T02:58:15Z,-33.35852600,147.92767000,732.0,732.0,128.639
1,2012-01-06T02:58:18Z,-33.35854000,147.92726400,735.0,735.0,128.645
1,2012-01-06T02:58:21Z,-33.35858600,147.92686600,738.0,738.0,128.653
1,2012-01-06T02:58:24Z,-33.35868400,147.92647800,741.0,741.0,128.668
1,2012-01-06T02:58:27Z,-33.35890600,147.92613600,744.0,744.0,128.696
1,2012-01-06T02:58:30Z,-33.35925000,147.92588000,747.0,747.0,128.736
1,2012-01-06T02:58:33Z,-33.35968500,147.92578300,750.0,750.0,128.785
1,2012-01-06T02:58:36Z,-33.36011900,147.92589400,753.0,753.0,128.832
1,2012-01-06T02:58:39Z,-33.36051500,147.92614000,756.0,756.0,128.874
1,2012-01-06T02:58:42Z,-33.36089500,147.92647000,759.0,759.0,128.913
1,2012-01-06T02:58:45Z,-33.36121600,147.92689600,762.0,762.0,128.944
1,2012-01-06T02:58:48Z,-33.36150900,147.92736700,765.0,765.0,128.972
1,2012-01-06T02:58:51Z,-33.36176500,147.92786200,768.0,768.0,128.996
1,2012-01-06T02:58:54Z,-33.36197200,147.92835200,771.0,771.0,129.014
1,2012-01-06T02:58:57Z,-33.36214600,147.92884600,774.0,774.0,129.029
1,2012-01-06T02:59:00Z,-33.36231600,147.92934700,777.0,777.0,129.043
1,2012-01-06T02:59:03Z,-33.36249100,147.92984900,780.0,780.0,129.058
1,2012-01-06T02:59:06Z,-33.36271400,147.93028000,783.0,783.0,129.079
1,2012-01-06T02:59:09Z,-33.36298800,147.93062800,786.0,786.0,129.106
1,2012-01-06T02:59:12Z,-33.36332200,147.93092100,789.0,789.0,129.141
1,2012-01-06T02:59:15Z,-33.36366500,147.93116600,792.0,792.0,129.176
1,2012-01-06T02:59:18Z,-33.36401000,147.93133200,795.0,795.0,129.213
1,2012-01-06T02:59:21Z,-33.36435500,147.93135200,798.0,798.0,129.251
1,2012-01-06T02:59:24Z,-33.36465900,147.93120200,801.0,801.0,129.286
1,2012-01-06T02:59:27Z,-33.36490700,147.93093400,804.0,804.0,129.316
1,2012-01-06T02:59:30Z,-33.36506000,147.93056300,807.0,807.0,129.336
1,2012-01-06T02:59:33Z,-33.36508300,147.93011100,810.0,810.0,129.343
1,2012-01-06T02:59:36Z,-33.36501800,147.92962600,813.0,813.0,129.34
1,2012-01-06T02:59:39Z,-33.36486100,147.92913000,816.0,816.0,129.327
1,2012-01-06T02:59:42Z,-33.36462900,147.92866000,819.0,819.0,129.305
1,2012-01-06T02:59:45Z,-33.36439700,147.92820800,822.0,822.0,129.284
1,2012-01-06T02:59:48Z,-33.36418400,147.92772600,825.0,825.0,129.265
1,2012-01-06T02:59:51Z,-33.36402500,147.92720500,828.0,828.0,129.252
1,2012-01-06T02:59:54Z,-33.36384500,147.92668300,831.0,831.0,129.237
1,2012-01-06T02:59:57Z,-33.36365000,147.92617000,834.0,834.0,129.22
1,2012-01-06T03:00:00Z,-33.36349000,147.92564300,837.0,837.0,129.208
1,2012-01-06T03:00:03Z,-33.36330300,147.92514900,840.0,840.0,129.192
