fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
28,2012-01-13T03:29:10Z,-33.35536700,147.93360000,236.00,850.12565763174,850.12565763174,1,0,174.141,
29,2012-01-13T03:29:15Z,-33.35550000,147.93331700,233.00,855.12565763174,855.12565763174,2,0,174.138,
30,2012-01-13T03:29:20Z,-33.35561700,147.93260000,237.00,860.12565763174,860.12565763174,3,0,174.109,
31,2012-01-13T03:29:25Z,-33.35578300,147.93193300,250.00,865.12565763174,865.12565763174,4,0,174.088,
32,2012-01-13T03:29:30Z,-33.35605000,147.93135000,271.00,870.12565763174,870.12565763174,5,0,174.081,
33,2012-01-13T03:29:35Z,-33.35641700,147.93071700,289.00,875.12565763174,875.12565763174,6,0,174.08,
34,2012-01-13T03:29:40Z,-33.35685000,147.93026700,309.00,880.12565763174,880.12565763174,7,0,174.095,
35,2012-01-13T03:29:45Z,-33.35730000,147.92988300,332.00,885.12565763174,885.12565763174,8,0,174.115,
36,2012-01-13T03:29:50Z,-33.35771700,147.92945000,354.00,890.12565763174,890.12565763174,9,0,174.13,
37,2012-01-13T03:29:55Z,-33.35818300,147.92906700,370.00,895.12565763174,895.12565763174,10,0,174.152,
38,2012-01-13T03:30:00Z,-33.35866700,147.92873300,378.00,900.12565763174,900.12565763174,11,0,174.178,
39,2012-01-13T03:30:05Z,-33.35910000,147.92833300,384.00,905.12565763174,905.12565763174,12,0,174.196,
40,2012-01-13T03:30:10Z,-33.35958300,147.92790000,390.00,910.12565763174,910.12565763174,13,0,174.217,
41,2012-01-13T03:30:15Z,-33.36021700,147.92776700,401.00,915.12565763174,915.12565763174,14,0,174.268,
42,2012-01-13T03:30:20Z,-33.36095000,147.92835000,413.00,920.12565763174,920.12565763174,15,0,174.366,
43,2012-01-13T03:30:25Z,-33.36136700,147.92926700,418.00,925.12565763174,925.12565763174,16,0,174.452,
44,2012-01-13T03:30:30Z,-33.36163300,147.93023300,423.00,930.12565763174,930.12565763174,17,0,174.528,
45,2012-01-13T03:30:35Z,-33.36193300,147.93118300,427.00,935.12565763174,935.12565763174,18,0,174.606,
46,2012-01-13T03:30:40Z,-33.36220000,147.93210000,429.00,940.12565763174,940.12565763174,1,1,174.679,
47,2012-01-13T03:30:45Z,-33.36241700,147.93306700,431.00,945.12565763174,945.12565763174,2,1,174.751,
48,2012-01-13T03:30:50Z,-33.36256700,147.93411700,436.00,950.12565763174,950.12565763174,3,1,174.821,
