fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
28,,,,234.0,-1893.70968848776,-1893.70968848776,1,0,133.468,0.0
122,,,,538.0,-1327.70968848776,-1327.70968848776,93,1,133.415,0.0
123,,,,530.0,-1321.70968848776,-1321.70968848776,94,1,133.318,0.0
124,,,,531.0,-1315.70968848776,-1315.70968848776,95,1,133.23,0.0
125,,,,537.0,-1309.70968848776,-1309.70968848776,96,1,133.152,0.0
164,,,,497.0,-1074.70968848776,-1074.70968848776,135,1,133.149,0.0
173,,,,504.0,-1020.70968848776,-1020.70968848776,144,1,133.095,0.0
174,,,,499.0,-1014.70968848776,-1014.70968848776,145,1,133.04,0.0
182,,,,514.0,-966.70968848776,-966.70968848776,153,1,133.032,0.0
434,,,,1104.0,540.29031151224,540.29031151224,405,1,132.964,0.0
435,,,,1088.0,546.29031151224,546.29031151224,406,1,132.847,0.0
436,,,,1067.0,552.29031151224,552.29031151224,407,1,132.724,0.0
437,,,,1049.0,558.29031151224,558.29031151224,408,1,132.597,0.0
438,,,,1034.0,564.29031151224,564.29031151224,409,1,132.468,0.0
439,,,,1020.0,570.29031151224,570.29031151224,410,1,132.342,0.0
440,,,,1007.0,576.29031151224,576.29031151224,411,1,132.22,0.0
441,,,,993.0,582.29031151224,582.29031151224,412,1,132.102,0.0
442,,,,982.0,588.29031151224,588.29031151224,413,1,131.991,0.0
443,,,,973.0,594.29031151224,594.29031151224,414,1,131.871,0.0
444,,,,963.0,600.29031151224,600.29031151224,415,1,131.754,0.0
445,,,,953.0,606.29031151224,606.29031151224,416,1,131.635,0.0
446,,,,939.0,612.29031151224,612.29031151224,417,1,131.508,0.0
447,,,,925.0,618.29031151224,618.29031151224,418,1,131.391,0.0
448,,,,910.0,624.29031151224,624.29031151224,419,1,131.275,0.0
449,,,,899.0,630.29031151224,630.29031151224,420,1,131.159,0.0
450,,,,886.0,636.29031151224,636.29031151224,421,1,131.048,0.0
451,,,,883.0,642.29031151224,642.29031151224,422,1,130.937,0.0
452,,,,884.0,648.29031151224,648.29031151224,423,1,130.841,0.0
453,,,,884.0,654.29031151224,654.29031151224,424,1,130.752,0.0
454,,,,879.0,660.29031151224,660.29031151224,425,1,130.676,0.0
455,,,,869.0,666.29031151224,666.29031151224,426,1,130.592,0.0
456,,,,859.0,672.29031151224,672.29031151224,427,1,130.505,0.0
457,,,,849.0,678.29031151224,678.29031151224,428,1,130.418,0.0
458,,,,837.0,684.29031151224,684.29031151224,429,1,130.349,0.0
459,,,,821.0,690.29031151224,690.29031151224,430,1,130.277,0.0
460,,,,799.0,696.29031151224,696.29031151224,431,1,130.168,0.0
461,,,,786.0,702.29031151224,702.29031151224,432,1,130.087,0.0
462,,,,769.0,708.29031151224,708.29031151224,433,1,129.991,0.0
463,,,,763.0,714.29031151224,714.29031151224,434,1,129.887,0.0
464,,,,762.0,720.29031151224,720.29031151224,435,1,129.788,0.0
465,,,,756.0,726.29031151224,726.29031151224,436,1,129.708,0.0
466,,,,752.0,732.29031151224,732.29031151224,437,1,129.631,0.0
467,,,,740.0,738.29031151224,738.29031151224,438,1,129.556,0.0
468,,,,722.0,744.29031151224,744.29031151224,439,1,129.481,0.0
469,,,,705.0,750.29031151224,750.29031151224,440,1,129.398,0.0
470,,,,685.0,756.29031151224,756.29031151224,441,1,129.304,0.0
471,,,,680.0,763.29031151224,763.29031151224,442,1,129.216,0.0
472,,,,682.0,769.29031151224,769.29031151224,443,1,129.136,0.0
473,,,,683.0,775.29031151224,775.29031151224,444,1,129.068,0.0
476,,,,695.0,793.29031151224,793.29031151224,447,1,129.041,0.0
479,,,,713.0,811.29031151224,811.29031151224,450,1,129.017,0.0
480,,,,715.0,817.29031151224,817.29031151224,451,1,129.001,0.0
497,,,,743.0,919.29031151224,919.29031151224,468,1,128.981,0.0
514,,,,743.0,1021.29031151224,1021.29031151224,485,1,128.949,0.0
515,,,,742.0,1027.29031151224,1027.29031151224,486,1,128.927,0.0
518,,,,743.0,1045.29031151224,1045.29031151224,489,1,128.889,0.0
521,,,,741.0,1063.29031151224,1063.29031151224,492,1,128.865,0.0
524,,,,732.0,1081.29031151224,1081.29031151224,495,1,128.828,0.0
529,,,,721.0,1111.29031151224,1111.29031151224,500,1,128.826,0.0
531,,,,699.0,1123.29031151224,1123.29031151224,502,1,128.767,0.0
532,,,,685.0,1129.29031151224,1129.29031151224,503,1,128.702,0.0
543,,,,639.0,1196.29031151224,1196.29031151224,514,1,128.696,0.0
546,,,,628.0,1214.29031151224,1214.29031151224,517,1,128.649,0.0
547,,,,624.0,1220.29031151224,1220.29031151224,518,1,128.563,0.0
548,,,,618.0,1226.29031151224,1226.29031151224,519,1,128.47,0.0
549,,,,619.0,1232.29031151224,1232.29031151224,520,1,128.399,0.0
