leg,tickLead,tickRace,distance,area
1,-1949.0,-1949.0,133.34,0.0
1,-1899.0,-1899.0,133.327,0.0
1,-1889.0,-1889.0,133.163,0.0
1,-1879.0,-1879.0,132.981,0.0
1,-1869.0,-1869.0,132.819,0.0
1,-1859.0,-1859.0,132.721,0.0
1,-1849.0,-1849.0,132.687,0.0
1,-1839.0,-1839.0,132.678,0.0
1,-1829.0,-1829.0,132.664,0.0
1,-1819.0,-1819.0,132.61,0.0
1,-1809.0,-1809.0,132.561,0.0
1,-1799.0,-1799.0,132.542,0.0
1,-1708.0,-1708.0,132.499,0.0
1,-1508.0,-1508.0,132.484,0.0
1,-1478.0,-1478.0,132.451,0.0
1,-1468.0,-1468.0,132.336,0.0
1,-1427.0,-1427.0,132.326,0.0
1,-1407.0,-1407.0,132.271,0.0
1,-1387.0,-1387.0,132.268,0.0
1,-1367.0,-1367.0,132.202,0.0
1,-1327.0,-1327.0,132.108,0.0
1,-1287.0,-1287.0,132.065,0.0
1,-1277.0,-1277.0,132.03,0.0
1,-1146.0,-1146.0,132.005,0.0
1,-1116.0,-1116.0,131.926,0.0
1,-1096.0,-1096.0,131.918,0.0
1,-1066.0,-1066.0,131.798,0.0
1,664.0,664.0,131.735,0.0
1,674.0,674.0,131.583,0.0
1,684.0,684.0,131.435,0.0
1,694.0,694.0,131.288,0.0
1,704.0,704.0,131.137,0.0
1,714.0,714.0,130.982,0.0
1,724.0,724.0,130.842,0.0
1,734.0,734.0,130.699,0.0
1,744.0,744.0,130.563,0.0
1,754.0,754.0,130.386,0.0
1,764.0,764.0,130.211,0.0
1,774.0,774.0,130.034,0.0
1,784.0,784.0,129.878,0.0
1,794.0,794.0,129.704,0.0
1,804.0,804.0,129.515,0.0
1,815.0,815.0,129.341,0.0
1,825.0,825.0,129.173,0.0
1,835.0,835.0,129.026,0.0
1,845.0,845.0,128.876,0.0
1,855.0,855.0,128.722,0.0
1,865.0,865.0,128.561,0.0
1,875.0,875.0,128.395,0.0
1,885.0,885.0,128.237,0.0
1,895.0,895.0,128.093,0.0
1,905.0,905.0,127.964,0.0
1,915.0,915.0,127.83,0.0
1,925.0,925.0,127.721,0.0
1,935.0,935.0,127.602,0.0
1,945.0,945.0,127.532,0.0
1,1055.0,1055.0,127.484,0.0
1,1065.0,1065.0,127.339,0.0
1,1075.0,1075.0,127.191,0.0
1,1085.0,1085.0,127.045,0.0
1,1095.0,1095.0,126.905,0.0
1,1105.0,1105.0,126.787,0.0
1,1677.0,1677.0,126.766,0.0
1,1697.0,1697.0,126.729,0.0
1,1717.0,1717.0,126.703,0.0
1,1727.0,1727.0,126.638,0.0
1,1767.0,1767.0,126.612,0.0
1,1787.0,1787.0,126.541,0.0
1,1797.0,1797.0,126.42,0.0
1,1807.0,1807.0,126.291,0.0
1,1817.0,1817.0,126.171,0.0
1,1827.0,1827.0,126.053,0.0
1,1837.0,1837.0,125.937,0.0
1,1847.0,1847.0,125.83,0.0
1,1857.0,1857.0,125.7,0.0
1,1867.0,1867.0,125.577,0.0
1,1877.0,1877.0,125.453,0.0
1,1887.0,1887.0,125.32,0.0
1,1897.0,1897.0,125.2,0.0
1,1907.0,1907.0,125.067,0.0
1,1917.0,1917.0,125.002,0.0
1,1927.0,1927.0,124.917,0.0
1,1937.0,1937.0,124.786,0.0
1,1947.0,1947.0,124.671,0.0
1,1957.0,1957.0,124.545,0.0
1,1967.0,1967.0,124.397,0.0
1,1977.0,1977.0,124.271,0.0
1,1987.0,1987.0,124.17,0.0
1,1997.0,1997.0,124.064,0.0
1,2008.0,2008.0,123.971,0.0
1,2018.0,2018.0,123.881,0.0
1,2028.0,2028.0,123.813,0.0
1,2038.0,2038.0,123.744,0.0
1,2048.0,2048.0,123.706,0.0
2,2254.0,2254.0,123.643,1.0925201268768084e-9
2,2265.0,2265.0,123.522,2.1070040734174256e-9
2,2275.0,2275.0,123.367,2.707943920468941e-9
2,2285.0,2285.0,123.222,2.5412812516188186e-9
2,2295.0,2295.0,123.065,2.7602515177625695e-9
2,2305.0,2305.0,122.893,3.033089013706263e-9
2,2315.0,2315.0,122.751,2.511714812810661e-9
2,2325.0,2325.0,122.638,2.005309069019997e-9
2,2335.0,2335.0,122.522,2.065472005968501e-9
2,2345.0,2345.0,122.441,1.447282078787191e-9
2,2355.0,2355.0,122.368,1.3090793672400948e-9
2,2365.0,2365.0,122.229,2.5010472573481962e-9
2,2375.0,2375.0,122.101,2.3103363170548965e-9
