fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,240.0,-4779.70968848776,-4779.70968848776,1,0,133.523,0.0
6,,,,245.0,-4729.70968848776,-4729.70968848776,6,0,133.521,0.0
7,,,,244.0,-4719.70968848776,-4719.70968848776,7,0,133.519,0.0
123,,,,468.0,-3555.70968848776,-3555.70968848776,94,1,133.48,0.0
124,,,,438.0,-3545.70968848776,-3545.70968848776,95,1,133.32,0.0
125,,,,414.0,-3535.70968848776,-3535.70968848776,96,1,133.231,0.0
127,,,,383.0,-3515.70968848776,-3515.70968848776,98,1,133.179,0.0
129,,,,363.0,-3495.70968848776,-3495.70968848776,100,1,133.159,0.0
131,,,,351.0,-3475.70968848776,-3475.70968848776,102,1,133.153,0.0
133,,,,340.0,-3455.70968848776,-3455.70968848776,104,1,133.13,0.0
134,,,,332.0,-3445.70968848776,-3445.70968848776,105,1,133.074,0.0
193,,,,436.0,-2087.70968848776,-2087.70968848776,164,1,133.017,0.0
462,,,,1122.0,590.29031151224,590.29031151224,433,1,132.94,0.0
463,,,,1097.0,600.29031151224,600.29031151224,434,1,132.732,0.0
464,,,,1071.0,610.29031151224,610.29031151224,435,1,132.529,0.0
465,,,,1047.0,620.29031151224,620.29031151224,436,1,132.33,0.0
466,,,,1018.0,630.29031151224,630.29031151224,437,1,132.125,0.0
467,,,,988.0,640.29031151224,640.29031151224,438,1,131.928,0.0
468,,,,961.0,650.29031151224,650.29031151224,439,1,131.728,0.0
469,,,,936.0,660.29031151224,660.29031151224,440,1,131.539,0.0
470,,,,915.0,670.29031151224,670.29031151224,441,1,131.362,0.0
471,,,,899.0,680.29031151224,680.29031151224,442,1,131.216,0.0
472,,,,886.0,690.29031151224,690.29031151224,443,1,131.055,0.0
473,,,,875.0,700.29031151224,700.29031151224,444,1,130.894,0.0
474,,,,866.0,710.29031151224,710.29031151224,445,1,130.738,0.0
475,,,,856.0,720.29031151224,720.29031151224,446,1,130.576,0.0
476,,,,841.0,730.29031151224,730.29031151224,447,1,130.409,0.0
477,,,,822.0,740.29031151224,740.29031151224,448,1,130.247,0.0
478,,,,803.0,750.29031151224,750.29031151224,449,1,130.089,0.0
479,,,,787.0,760.29031151224,760.29031151224,450,1,129.939,0.0
480,,,,773.0,770.29031151224,770.29031151224,451,1,129.799,0.0
481,,,,757.0,780.29031151224,780.29031151224,452,1,129.74,0.0
482,,,,749.0,790.29031151224,790.29031151224,453,1,129.731,0.0
483,,,,744.0,800.29031151224,800.29031151224,454,1,129.711,0.0
485,,,,737.0,820.29031151224,820.29031151224,456,1,129.641,0.0
486,,,,736.0,830.29031151224,830.29031151224,457,1,129.609,0.0
500,,,,766.0,970.29031151224,970.29031151224,471,1,129.533,0.0
501,,,,764.0,980.29031151224,980.29031151224,472,1,129.431,0.0
502,,,,754.0,990.29031151224,990.29031151224,473,1,129.303,0.0
503,,,,738.0,1000.29031151224,1000.29031151224,474,1,129.149,0.0
504,,,,728.0,1010.29031151224,1010.29031151224,475,1,128.986,0.0
505,,,,720.0,1020.29031151224,1020.29031151224,476,1,128.853,0.0
508,,,,699.0,1050.29031151224,1050.29031151224,479,1,128.845,0.0
518,,,,671.0,1150.29031151224,1150.29031151224,489,1,128.787,0.0
522,,,,644.0,1190.29031151224,1190.29031151224,493,1,128.688,0.0
523,,,,637.0,1200.29031151224,1200.29031151224,494,1,128.588,0.0
524,,,,629.0,1211.29031151224,1211.29031151224,495,1,128.442,0.0
525,,,,618.0,1221.29031151224,1221.29031151224,496,1,128.287,0.0
526,,,,612.0,1231.29031151224,1231.29031151224,497,1,128.232,0.0
530,,,,599.0,1271.29031151224,1271.29031151224,501,1,128.193,0.0
541,,,,618.0,1381.29031151224,1381.29031151224,512,1,128.183,0.0
544,,,,620.0,1411.29031151224,1411.29031151224,515,1,128.171,0.0
546,,,,623.0,1431.29031151224,1431.29031151224,517,1,128.168,0.0
549,,,,625.0,1461.29031151224,1461.29031151224,520,1,128.111,0.0
550,,,,621.0,1471.29031151224,1471.29031151224,521,1,128.068,0.0
558,,,,570.0,1551.29031151224,1551.29031151224,529,1,128.053,0.0
559,,,,560.0,1561.29031151224,1561.29031151224,530,1,128.036,0.0
560,,,,549.0,1571.29031151224,1571.29031151224,531,1,127.887,0.0
561,,,,538.0,1581.29031151224,1581.29031151224,532,1,127.737,0.0
562,,,,528.0,1591.29031151224,1591.29031151224,533,1,127.574,0.0
563,,,,518.0,1601.29031151224,1601.29031151224,534,1,127.418,0.0
564,,,,511.0,1611.29031151224,1611.29031151224,535,1,127.291,0.0
565,,,,503.0,1621.29031151224,1621.29031151224,536,1,127.151,0.0
566,,,,496.0,1631.29031151224,1631.29031151224,537,1,127.035,0.0
585,,,,483.0,1821.29031151224,1821.29031151224,556,1,126.982,0.0
586,,,,465.0,1831.29031151224,1831.29031151224,557,1,126.882,0.0
587,,,,447.0,1841.29031151224,1841.29031151224,558,1,126.793,0.0
588,,,,428.0,1851.29031151224,1851.29031151224,1,2,126.691,47865.79227898541
589,,,,413.0,1861.29031151224,1861.29031151224,2,2,126.577,53740.20130623538
590,,,,398.0,1871.29031151224,1871.29031151224,3,2,126.46,55400.165326834445
591,,,,384.0,1881.29031151224,1881.29031151224,4,2,126.361,47087.34008683179
592,,,,369.0,1891.29031151224,1891.29031151224,5,2,126.285,36314.846835220065
593,,,,355.0,1901.29031151224,1901.29031151224,6,2,126.177,51840.38389949548
594,,,,341.0,1911.29031151224,1911.29031151224,7,2,126.068,52550.36328439142
595,,,,330.0,1921.29031151224,1921.29031151224,8,2,125.939,62459.040371793555
596,,,,316.0,1931.29031151224,1931.29031151224,9,2,125.802,66607.33874051849
597,,,,301.0,1941.29031151224,1941.29031151224,10,2,125.682,58584.414324043515
598,,,,285.0,1951.29031151224,1951.29031151224,11,2,125.58,50009.080837623114
599,,,,270.0,1961.29031151224,1961.29031151224,12,2,125.498,40379.82160437422
600,,,,264.0,1971.29031151224,1971.29031151224,13,2,125.495,1484.3402074722312
600,,,,264.0,1971.29031151224,1971.29031151224,13,2,125.495,2.09749687857512e8
