leg,tickLead,tickRace,distance,area
0,-1576.0,-1576.0,133.057,0.0
1,-1304.0,-1304.0,132.943,0.0
1,-1294.0,-1294.0,132.787,0.0
1,-1284.0,-1284.0,132.628,0.0
1,-1274.0,-1274.0,132.526,0.0
1,-1264.0,-1264.0,132.446,0.0
1,-1254.0,-1254.0,132.445,0.0
1,905.0,905.0,132.377,0.0
1,915.0,915.0,132.223,0.0
1,925.0,925.0,132.059,0.0
1,935.0,935.0,131.928,0.0
1,945.0,945.0,131.77,0.0
1,955.0,955.0,131.587,0.0
1,965.0,965.0,131.419,0.0
1,975.0,975.0,131.275,0.0
1,985.0,985.0,131.113,0.0
1,995.0,995.0,130.934,0.0
1,1005.0,1005.0,130.741,0.0
1,1015.0,1015.0,130.568,0.0
1,1025.0,1025.0,130.398,0.0
1,1035.0,1035.0,130.224,0.0
1,1045.0,1045.0,130.048,0.0
1,1055.0,1055.0,129.879,0.0
1,1065.0,1065.0,129.715,0.0
1,1075.0,1075.0,129.555,0.0
1,1085.0,1085.0,129.383,0.0
1,1095.0,1095.0,129.211,0.0
1,1105.0,1105.0,129.047,0.0
1,1115.0,1115.0,128.869,0.0
1,1125.0,1125.0,128.687,0.0
1,1135.0,1135.0,128.493,0.0
1,1145.0,1145.0,128.313,0.0
1,1155.0,1155.0,128.141,0.0
1,1165.0,1165.0,127.964,0.0
1,1175.0,1175.0,127.819,0.0
1,1185.0,1185.0,127.678,0.0
1,1195.0,1195.0,127.541,0.0
1,1205.0,1205.0,127.432,0.0
1,1255.0,1255.0,127.403,0.0
1,1305.0,1305.0,127.298,0.0
1,1315.0,1315.0,127.152,0.0
1,1325.0,1325.0,127.018,0.0
1,1335.0,1335.0,126.893,0.0
1,1345.0,1345.0,126.759,0.0
1,1355.0,1355.0,126.614,0.0
1,1365.0,1365.0,126.472,0.0
1,1375.0,1375.0,126.312,0.0
1,1385.0,1385.0,126.156,0.0
1,1395.0,1395.0,126.006,0.0
1,1405.0,1405.0,125.877,0.0
1,1415.0,1415.0,125.744,0.0
1,1435.0,1435.0,125.688,0.0
1,1455.0,1455.0,125.687,0.0
1,1475.0,1475.0,125.656,0.0
1,1495.0,1495.0,125.589,0.0
1,1515.0,1515.0,125.579,0.0
1,1535.0,1535.0,125.55,0.0
1,1555.0,1555.0,125.514,0.0
1,1615.0,1615.0,125.483,0.0
1,1645.0,1645.0,125.466,0.0
1,1675.0,1675.0,125.402,0.0
1,1705.0,1705.0,125.381,0.0
1,1715.0,1715.0,125.281,0.0
1,1725.0,1725.0,125.197,0.0
1,1735.0,1735.0,125.126,0.0
1,1745.0,1745.0,125.043,0.0
1,1755.0,1755.0,124.975,0.0
1,1765.0,1765.0,124.858,0.0
1,1775.0,1775.0,124.725,0.0
1,1785.0,1785.0,124.534,0.0
1,1795.0,1795.0,124.325,0.0
1,1805.0,1805.0,124.141,0.0
1,1815.0,1815.0,123.966,0.0
1,1825.0,1825.0,123.761,0.0
1,1835.0,1835.0,123.583,0.0
1,1845.0,1845.0,123.406,0.0
2,1855.0,1855.0,123.25,2.242991168537513e-3
2,1865.0,1865.0,123.074,2.5407714418526866e-3
2,1875.0,1875.0,122.891,2.652119212341575e-3
2,1885.0,1885.0,122.714,2.575070904259445e-3
2,1895.0,1895.0,122.534,2.628781929999856e-3
2,1905.0,1905.0,122.354,2.6387749731953945e-3
2,1915.0,1915.0,122.17,2.7075436059407353e-3
2,1926.0,1926.0,121.991,2.6451662677955414e-3
2,1936.0,1936.0,121.799,2.8476711542654216e-3
2,1946.0,1946.0,121.618,2.6942611166420162e-3
2,1956.0,1956.0,121.442,2.6294346329458545e-3
2,1966.0,1966.0,121.248,2.9087372464148323e-3
2,1976.0,1976.0,121.065,2.7534811739785064e-3
2,1986.0,1986.0,120.874,2.8839376025647876e-3
2,1996.0,1996.0,120.684,2.8787432329633886e-3
2,2006.0,2006.0,120.508,2.675924539588906e-3
2,2016.0,2016.0,120.318,2.898777408783132e-3
2,2026.0,2026.0,120.131,2.8626706792820077e-3
2,2036.0,2036.0,119.95,2.7802350038292883e-3
2,2046.0,2046.0,119.766,2.8358799470351507e-3
2,2056.0,2056.0,119.572,2.99987987733785e-3
2,2066.0,2066.0,119.432,2.172355457234422e-3
2,2116.0,2116.0,119.398,5.399466189570229e-4
2,2306.0,2306.0,119.303,1.6432533021247615e-3
2,2316.0,2316.0,119.233,1.215228354981204e-3
2,2376.0,2376.0,119.185,8.544646125185049e-4
2,2436.0,2436.0,119.164,3.8315745494299687e-4
2,2456.0,2456.0,119.103,1.121732908831794e-3
2,2466.0,2466.0,119.063,7.382444544914596e-4
2,2486.0,2486.0,118.98,1.5434835264230512e-3
2,2496.0,2496.0,118.769,3.93471338093565e-3
2,2506.0,2506.0,118.56,3.906119531912791e-3
2,2516.0,2516.0,118.348,3.970942432847043e-3
2,2526.0,2526.0,118.134,4.017099382602527e-3
2,2536.0,2536.0,117.932,3.8001560149161654e-3
2,2546.0,2546.0,117.737,3.6767392955102188e-3
2,2556.0,2556.0,117.544,3.6473075265859908e-3
2,2566.0,2566.0,117.365,3.3906011588570473e-3
2,2576.0,2576.0,117.183,3.455543367027444e-3
2,2586.0,2586.0,117.005,3.3875095444794376e-3
2,2596.0,2596.0,116.838,3.185758864933808e-3
2,2606.0,2606.0,116.662,3.3654359615609406e-3
2,2616.0,2616.0,116.516,2.798630323254984e-3
2,2626.0,2626.0,116.421,1.8260983830977785e-3
2,2636.0,2636.0,116.307,2.197689137412569e-3
2,2646.0,2646.0,116.164,2.764152681047804e-3
2,2656.0,2656.0,116.105,1.1437699954201757e-3
2,2766.0,2766.0,116.039,1.3317445914452033e-3
2,2796.0,2796.0,115.887,3.097401895956924e-3
2,2806.0,2806.0,115.866,4.291406880151697e-4
2,2876.0,2876.0,115.772,1.967858689403687e-3
2,2886.0,2886.0,115.592,3.776869533083296e-3
2,2896.0,2896.0,115.49,2.145024287629747e-3
2,2906.0,2906.0,115.487,6.327803261296207e-5
2,2916.0,2916.0,115.477,2.1164069499140652e-4
2,2926.0,2926.0,115.462,3.185152487375486e-4
2,3957.0,3957.0,115.402,1.7224272341803517e-3
2,3967.0,3967.0,115.232,4.887669370547992e-3
2,3977.0,3977.0,115.086,4.202461025583601e-3
2,3987.0,3987.0,114.862,6.453439717440307e-3
2,3997.0,3997.0,114.639,6.428223387353775e-3
2,4007.0,4007.0,114.418,6.3741539950280274e-3
2,4017.0,4017.0,114.211,5.974077619679974e-3
2,4027.0,4027.0,114.008,5.862688675429647e-3
2,4037.0,4037.0,113.815,5.578031877087897e-3
2,4047.0,4047.0,113.633,5.26446304869583e-3
2,4057.0,4057.0,113.462,4.950807697040317e-3
2,4067.0,4067.0,113.274,5.447783868593884e-3
2,4077.0,4077.0,113.085,5.481099036433023e-3
2,4087.0,4087.0,112.924,4.673299496849237e-3
2,4097.0,4097.0,112.768,4.532878668150467e-3
2,4107.0,4107.0,112.619,4.334182569389758e-3
2,4117.0,4117.0,112.484,3.931545312906955e-3
2,4127.0,4127.0,112.334,4.373450092101784e-3
2,4137.0,4137.0,112.205,3.7656017085772714e-3
2,4147.0,4147.0,112.117,2.5725033138525462e-3
2,4157.0,4157.0,112.011,3.1034830122942743e-3
2,4217.0,4217.0,112.006,1.484300894886357e-4
2,4237.0,4237.0,111.995,3.2807147659135805e-4
2,4418.0,4418.0,111.959,1.1193203587859255e-3
2,4428.0,4428.0,111.811,4.608276789572714e-3
2,4438.0,4438.0,111.669,4.425696947104466e-3
2,4448.0,4448.0,111.525,4.492386910820602e-3
2,4458.0,4458.0,111.367,4.933543925193372e-3
2,4468.0,4468.0,111.216,4.718994490842667e-3
2,4478.0,4478.0,111.082,4.191715610587373e-3
2,4488.0,4488.0,110.955,3.976942272794637e-3
2,4498.0,4498.0,110.815,4.3885156380170185e-3
2,4508.0,4508.0,110.673,4.4554320059310825e-3
2,4518.0,4518.0,110.53,4.490975064550079e-3
2,4528.0,4528.0,110.375,4.8720420639788015e-3
2,4538.0,4538.0,110.24,4.247179974140832e-3
2,4548.0,4548.0,110.09,4.723378153027621e-3
2,4558.0,4558.0,109.976,3.5933497379873848e-3
2,4568.0,4568.0,109.862,3.5975022806773345e-3
2,4578.0,4578.0,109.717,4.580384754469979e-3
2,4588.0,4588.0,109.581,4.299959405114498e-3
2,4598.0,4598.0,109.456,3.956068742925939e-3
2,4608.0,4608.0,109.289,5.289741427413121e-3
2,4618.0,4618.0,109.112,5.609823333289888e-3
2,4628.0,4628.0,108.942,5.391054179685611e-3
2,4638.0,4638.0,108.775,5.299158673353602e-3
2,4648.0,4648.0,108.595,5.714860015094905e-3
2,4658.0,4658.0,108.417,5.65419266649337e-3
2,4668.0,4668.0,108.269,4.70425421162896e-3
2,4678.0,4678.0,108.237,1.018468260456841e-3
2,4788.0,4788.0,108.214,7.490467798791272e-4
2,4798.0,4798.0,108.111,3.359476037737365e-3
2,4808.0,4808.0,107.963,4.831656522218427e-3
2,4818.0,4818.0,107.824,4.541237758356121e-3
2,4828.0,4828.0,107.692,4.316066003706113e-3
2,4838.0,4838.0,107.549,4.679444164281893e-3
2,4848.0,4848.0,107.399,4.911958012175539e-3
2,4858.0,4858.0,107.263,4.4567570196596415e-3
2,4868.0,4868.0,107.116,4.820782214529833e-3
2,4878.0,4878.0,106.952,5.381517570509931e-3
2,4888.0,4888.0,106.78,5.646723999806837e-3
2,4898.0,4898.0,106.612,5.51789666838201e-3
2,4908.0,4908.0,106.447,5.421953012374862e-3
2,4918.0,4918.0,106.281,5.45743581245544e-3
2,4928.0,4928.0,106.123,5.197061357909137e-3
2,4938.0,4938.0,105.967,5.134087228101366e-3
2,4948.0,4948.0,105.801,5.465947814865775e-3
2,4958.0,4958.0,105.688,3.7234036197897834e-3
2,4968.0,4968.0,105.657,1.0228280409576326e-3
2,5548.0,5548.0,105.621,1.326052129404118e-3
2,5558.0,5558.0,105.525,3.5402994771602686e-3
2,5568.0,5568.0,105.427,3.6172316028515576e-3
2,5578.0,5578.0,105.305,4.506467014485231e-3
2,5729.0,5729.0,105.182,4.660972912348488e-3
2,5739.0,5739.0,105.04,5.383566719054691e-3
2,5749.0,5749.0,104.917,4.665467256205191e-3
2,5759.0,5759.0,104.783,5.08531283072877e-3
2,5769.0,5769.0,104.646,5.201460348458773e-3
2,5779.0,5779.0,104.516,4.937944446458082e-3
2,5789.0,5789.0,104.392,4.712459958613592e-3
2,5799.0,5799.0,104.254,5.246982616014286e-3
2,5809.0,5809.0,104.126,4.868943633077131e-3
2,5819.0,5819.0,103.992,5.099530178818156e-3
2,5829.0,5829.0,103.853,5.291950874945713e-3
2,5839.0,5839.0,103.755,3.7331548322221612e-3
2,5849.0,5849.0,103.646,4.155146421841026e-3
2,5859.0,5859.0,103.522,4.729717738544798e-3
2,5869.0,5869.0,103.406,4.426991885896331e-3
2,5879.0,5879.0,103.295,4.238736149507339e-3
2,5889.0,5889.0,103.207,3.3629147315176987e-3
2,5899.0,5899.0,103.101,4.053850209218606e-3
2,5909.0,5909.0,103.023,2.9854136994486857e-3
2,5919.0,5919.0,102.924,3.792332182787948e-3
2,5929.0,5929.0,102.829,3.641821024859205e-3
2,5939.0,5939.0,102.733,3.6829409846705747e-3
2,5949.0,5949.0,102.626,4.107795875184955e-3
2,5959.0,5959.0,102.533,3.572845812895515e-3
2,5969.0,5969.0,102.409,4.76674150390698e-3
2,5999.0,5999.0,102.336,2.8176198218738254e-3
2,6709.0,6709.0,102.335,4.315006660022547e-5
2,6719.0,6719.0,102.219,5.0100028596003696e-3
2,6729.0,6729.0,102.123,4.148076604131454e-3
2,6739.0,6739.0,102.033,3.8910559969726893e-3
2,6749.0,6749.0,101.936,4.1960697245411035e-3
2,6759.0,6759.0,101.836,4.328070451064587e-3
2,6769.0,6769.0,101.736,4.330219630473357e-3
2,6779.0,6779.0,101.64,4.159143792564997e-3
2,6789.0,6789.0,101.552,3.814718125547222e-3
2,6799.0,6799.0,101.467,3.6869565380083223e-3
2,6809.0,6809.0,101.379,3.8194411379827682e-3
2,6819.0,6819.0,101.287,3.995367943314613e-3
2,6829.0,6829.0,101.185,4.431896650178587e-3
2,6839.0,6839.0,101.084,4.390466541579112e-3
2,6849.0,6849.0,100.987,4.218618551701463e-3
2,6859.0,6859.0,100.872,5.003502575439911e-3
2,6869.0,6869.0,100.759,4.918091799717255e-3
2,6879.0,6879.0,100.661,4.266987236372924e-3
2,6889.0,6889.0,100.573,3.833606950892424e-3
2,6899.0,6899.0,100.484,3.8793835213773325e-3
2,6909.0,6909.0,100.39,4.0995306810722755e-3
2,6920.0,6920.0,100.325,2.837047765975533e-3
2,6930.0,6930.0,100.248,3.3632859817715557e-3
2,6940.0,6940.0,100.125,5.374909415876495e-3
2,6950.0,6950.0,100.068,2.4921599647362135e-3
2,6970.0,6970.0,99.99,3.4178316772164262e-3
2,6980.0,6980.0,99.869,5.304346303798204e-3
2,6990.0,6990.0,99.754,5.042581905932224e-3
2,7000.0,7000.0,99.646,4.737119237907288e-3
2,7010.0,7010.0,99.525,5.308806048732325e-3
2,7020.0,7020.0,99.394,5.748466993587812e-3
2,7030.0,7030.0,99.266,5.617500151546676e-3
2,7040.0,7040.0,99.126,6.144580204801415e-3
2,7050.0,7050.0,98.975,6.627047739131414e-3
2,7060.0,7060.0,98.825,6.582481002453081e-3
2,7070.0,7070.0,98.692,5.836371155615659e-3
2,7080.0,7080.0,98.564,5.617470708115581e-3
2,7090.0,7090.0,98.434,5.705829256986742e-3
2,7100.0,7100.0,98.308,5.5308686250753756e-3
2,7110.0,7110.0,98.205,4.522363613247357e-3
2,7120.0,7120.0,98.073,5.796861388563336e-3
2,7130.0,7130.0,97.91,7.157525477476721e-3
2,7140.0,7140.0,97.732,7.813537034320552e-3
2,7150.0,7150.0,97.569,7.1526253936744985e-3
2,7160.0,7160.0,97.419,6.580812742474681e-3
2,7170.0,7170.0,97.273,6.404533253759869e-3
2,7180.0,7180.0,97.127,6.403846710477091e-3
2,7190.0,7190.0,96.983,6.315484288858928e-3
2,7200.0,7200.0,96.859,5.438378504417681e-3
2,7230.0,7230.0,96.838,9.241614601763943e-4
2,7250.0,7250.0,96.827,4.853434790310837e-4
2,7280.0,7280.0,96.816,4.872964345768903e-4
2,7320.0,7320.0,96.724,4.095783688838753e-3
2,7330.0,7330.0,96.615,4.854195994577712e-3
2,7360.0,7360.0,96.505,4.913207648508018e-3
2,7370.0,7370.0,96.389,5.1821688940926315e-3
2,7380.0,7380.0,96.274,5.138305095763981e-3
2,7390.0,7390.0,96.172,4.558488524544625e-3
2,7400.0,7400.0,96.043,5.766019051336431e-3
2,7410.0,7410.0,95.905,6.168055214593234e-3
2,7420.0,7420.0,95.775,5.810204592431554e-3
2,7430.0,7430.0,95.637,6.167432829934513e-3
2,7440.0,7440.0,95.5,6.12217352496864e-3
2,7450.0,7450.0,95.359,6.300215378194219e-3
2,7460.0,7460.0,95.215,6.433278255595944e-3
2,7470.0,7470.0,95.081,5.985803098730187e-3
2,7480.0,7480.0,94.981,4.467496900312e-3
2,7520.0,7520.0,94.976,2.2444529926548006e-4
2,7540.0,7540.0,94.97,2.7003503585188403e-4
2,7560.0,7560.0,94.935,1.5790417257077814e-3
2,7580.0,7580.0,94.893,1.8990925721209357e-3
2,7600.0,7600.0,94.877,7.251510823594895e-4
2,7610.0,7610.0,94.83,2.1322260155660273e-3
2,7620.0,7620.0,94.764,2.996338421345314e-3
2,7630.0,7630.0,94.693,3.2252316260778058e-3
2,7640.0,7640.0,94.617,3.454203129798004e-3
2,7650.0,7650.0,94.544,3.3195809490759237e-3
2,7660.0,7660.0,94.48,2.9120113260363433e-3
2,7670.0,7670.0,94.474,2.732562294199274e-4
2,7680.0,7680.0,94.429,2.0515398432976654e-3
2,7690.0,7690.0,94.398,1.414553878949466e-3
2,7700.0,7700.0,94.384,6.395090733841706e-4
2,7720.0,7720.0,94.371,5.952871176637196e-4
