leg,tickLead,tickRace,distance,area
0,1095.0,1095.0,128.323,0.0
1,1714.0,1714.0,128.319,0.0
1,1729.0,1729.0,128.318,0.0
1,1744.0,1744.0,128.306,0.0
1,1759.0,1759.0,128.292,0.0
1,1771.0,1771.0,128.276,0.0
1,1774.0,1774.0,128.251,0.0
1,1777.0,1777.0,128.236,0.0
1,1813.0,1813.0,128.222,0.0
1,1826.0,1826.0,128.219,0.0
1,1829.0,1829.0,128.182,0.0
1,1832.0,1832.0,128.166,0.0
1,1850.0,1850.0,128.139,0.0
1,1853.0,1853.0,128.11,0.0
1,1856.0,1856.0,128.101,0.0
1,1880.0,1880.0,128.078,0.0
1,1883.0,1883.0,128.045,0.0
1,1886.0,1886.0,128.004,0.0
1,1889.0,1889.0,127.962,0.0
1,1892.0,1892.0,127.92,0.0
1,1895.0,1895.0,127.873,0.0
1,1898.0,1898.0,127.829,0.0
1,1901.0,1901.0,127.782,0.0
1,1904.0,1904.0,127.736,0.0
1,1907.0,1907.0,127.698,0.0
1,1910.0,1910.0,127.666,0.0
1,1928.0,1928.0,127.65,0.0
1,1931.0,1931.0,127.611,0.0
1,1934.0,1934.0,127.573,0.0
1,1937.0,1937.0,127.53,0.0
1,1940.0,1940.0,127.485,0.0
1,1943.0,1943.0,127.45,0.0
1,1946.0,1946.0,127.443,0.0
1,1961.0,1961.0,127.432,0.0
1,1964.0,1964.0,127.396,0.0
1,1967.0,1967.0,127.38,0.0
1,2034.0,2034.0,127.337,0.0
1,2037.0,2037.0,127.306,0.0
1,2040.0,2040.0,127.292,0.0
1,2058.0,2058.0,127.277,0.0
1,2061.0,2061.0,127.235,0.0
1,2064.0,2064.0,127.191,0.0
1,2067.0,2067.0,127.149,0.0
1,2070.0,2070.0,127.122,0.0
1,2115.0,2115.0,127.104,0.0
1,2136.0,2136.0,127.074,0.0
1,2139.0,2139.0,127.039,0.0
1,2142.0,2142.0,127.015,0.0
1,2172.0,2172.0,126.979,0.0
1,2175.0,2175.0,126.932,0.0
1,2178.0,2178.0,126.888,0.0
1,2181.0,2181.0,126.846,0.0
