leg,tickLead,tickRace,distance,area
0,-905.0,-905.0,127.805,0.0
1,-234.0,-234.0,127.771,0.0
1,-204.0,-204.0,127.723,0.0
1,-144.0,-144.0,127.691,0.0
1,-104.0,-104.0,127.645,0.0
1,-84.0,-84.0,127.627,0.0
1,-74.0,-74.0,127.568,0.0
1,-64.0,-64.0,127.55,0.0
1,-54.0,-54.0,127.535,0.0
1,838.0,838.0,127.494,0.0
1,848.0,848.0,127.364,0.0
1,858.0,858.0,127.353,0.0
1,1409.0,1409.0,127.257,0.0
1,1419.0,1419.0,127.197,0.0
1,1429.0,1429.0,127.058,0.0
1,1439.0,1439.0,126.894,0.0
1,1449.0,1449.0,126.7,0.0
1,1459.0,1459.0,126.498,0.0
1,1469.0,1469.0,126.302,0.0
1,1479.0,1479.0,126.101,0.0
1,1489.0,1489.0,125.918,0.0
1,1499.0,1499.0,125.728,0.0
1,1509.0,1509.0,125.598,0.0
1,1529.0,1529.0,125.482,0.0
1,1549.0,1549.0,125.405,0.0
1,1569.0,1569.0,125.388,0.0
1,1579.0,1579.0,125.277,0.0
1,1589.0,1589.0,125.193,0.0
1,1599.0,1599.0,125.048,0.0
1,1609.0,1609.0,125.017,0.0
1,1619.0,1619.0,124.965,0.0
1,1629.0,1629.0,124.942,0.0
1,1639.0,1639.0,124.907,0.0
1,1649.0,1649.0,124.829,0.0
1,1659.0,1659.0,124.751,0.0
1,1669.0,1669.0,124.657,0.0
1,1679.0,1679.0,124.567,0.0
1,1689.0,1689.0,124.476,0.0
1,1699.0,1699.0,124.363,0.0
1,1719.0,1719.0,124.313,0.0
1,1729.0,1729.0,124.269,0.0
1,1749.0,1749.0,124.205,0.0
1,1779.0,1779.0,124.185,0.0
1,1849.0,1849.0,124.173,0.0
1,1859.0,1859.0,124.113,0.0
1,1889.0,1889.0,124.077,0.0
1,1899.0,1899.0,123.968,0.0
1,1909.0,1909.0,123.913,0.0
1,2160.0,2160.0,123.825,0.0
1,2180.0,2180.0,123.791,0.0
1,2190.0,2190.0,123.764,0.0
1,2200.0,2200.0,123.736,0.0
1,2210.0,2210.0,123.573,0.0
1,2220.0,2220.0,123.386,0.0
1,2230.0,2230.0,123.182,0.0
1,2240.0,2240.0,122.967,0.0
1,2250.0,2250.0,122.778,0.0
1,2270.0,2270.0,122.746,0.0
1,2300.0,2300.0,122.71,0.0
1,2320.0,2320.0,122.648,0.0
1,2330.0,2330.0,122.614,0.0
1,2340.0,2340.0,122.582,0.0
1,2360.0,2360.0,122.574,0.0
1,2370.0,2370.0,122.511,0.0
1,2380.0,2380.0,122.507,0.0
1,2400.0,2400.0,122.43,0.0
1,2420.0,2420.0,122.385,0.0
1,2440.0,2440.0,122.31,0.0
1,2470.0,2470.0,122.278,0.0
2,2814.0,2814.0,122.183,2.2061749724345365e-3
2,2824.0,2824.0,122.031,3.5388447340810136e-3
2,2834.0,2834.0,121.893,3.220446855091106e-3
2,2844.0,2844.0,121.773,2.8072975281633428e-3
2,2854.0,2854.0,121.645,3.001921279389031e-3
2,2864.0,2864.0,121.495,3.5261708929899445e-3
2,2874.0,2874.0,121.34,3.6518456668756982e-3
2,2884.0,2884.0,121.17,4.013807130930138e-3
2,2894.0,2894.0,120.973,4.660358677924701e-3
2,2914.0,2914.0,120.89,1.9747846663846e-3
2,2934.0,2934.0,120.804,2.0587665394753984e-3
2,2964.0,2964.0,120.779,6.0432039200877e-4
2,2974.0,2974.0,120.768,2.6675831680275056e-4
2,2994.0,2994.0,120.686,2.001164195649158e-3
2,3014.0,3014.0,120.657,7.121289213607128e-4
2,3024.0,3024.0,120.591,1.6254443871048518e-3
2,3054.0,3054.0,120.476,2.858165070885175e-3
2,3064.0,3064.0,120.454,5.482580202982452e-4
2,3074.0,3074.0,120.413,1.024820241195481e-3
2,3094.0,3094.0,120.27,3.5948803000186587e-3
2,3104.0,3104.0,120.11,4.030163795147536e-3
2,3114.0,3114.0,120.01,2.5242340111775665e-3
2,3124.0,3124.0,119.907,2.606105202980289e-3
2,3134.0,3134.0,119.733,4.411540011138505e-3
