leg,tickLead,tickRace,distance,area
1,-2143.0,-2143.0,128.294,0.0
1,-1768.0,-1768.0,128.263,0.0
1,-1742.0,-1742.0,128.246,0.0
1,-1737.0,-1737.0,128.173,0.0
1,-1732.0,-1732.0,128.124,0.0
1,-1691.0,-1691.0,128.084,0.0
1,-1686.0,-1686.0,128.059,0.0
1,-1651.0,-1651.0,128.044,0.0
1,-1645.0,-1645.0,127.964,0.0
1,-1640.0,-1640.0,127.929,0.0
1,-1594.0,-1594.0,127.918,0.0
1,-1589.0,-1589.0,127.881,0.0
1,-1584.0,-1584.0,127.857,0.0
1,-1579.0,-1579.0,127.85,0.0
1,-1411.0,-1411.0,127.821,0.0
1,-1385.0,-1385.0,127.782,0.0
1,-1380.0,-1380.0,127.748,0.0
1,-1329.0,-1329.0,127.696,0.0
1,-1324.0,-1324.0,127.636,0.0
1,-1319.0,-1319.0,127.592,0.0
1,-1314.0,-1314.0,127.561,0.0
1,-1309.0,-1309.0,127.531,0.0
1,-1304.0,-1304.0,127.508,0.0
1,-1299.0,-1299.0,127.487,0.0
1,-1294.0,-1294.0,127.465,0.0
1,-1289.0,-1289.0,127.439,0.0
1,-1284.0,-1284.0,127.416,0.0
1,-1278.0,-1278.0,127.38,0.0
1,-1273.0,-1273.0,127.34,0.0
1,-1268.0,-1268.0,127.303,0.0
1,-1263.0,-1263.0,127.266,0.0
1,-1258.0,-1258.0,127.224,0.0
1,-1253.0,-1253.0,127.178,0.0
1,-1248.0,-1248.0,127.145,0.0
1,-1243.0,-1243.0,127.095,0.0
1,-1238.0,-1238.0,127.023,0.0
1,-1233.0,-1233.0,126.994,0.0
1,-1202.0,-1202.0,126.961,0.0
1,-1172.0,-1172.0,126.921,0.0
1,-1167.0,-1167.0,126.874,0.0
1,-1161.0,-1161.0,126.872,0.0
1,-527.0,-527.0,126.864,0.0
1,-522.0,-522.0,126.862,0.0
1,-496.0,-496.0,126.835,0.0
1,-491.0,-491.0,126.76,0.0
1,-486.0,-486.0,126.735,0.0
1,-445.0,-445.0,126.681,0.0
1,-440.0,-440.0,126.671,0.0
1,-405.0,-405.0,126.601,0.0
1,-400.0,-400.0,126.563,0.0
1,-364.0,-364.0,126.513,0.0
1,-359.0,-359.0,126.465,0.0
1,-354.0,-354.0,126.457,0.0
1,-298.0,-298.0,126.445,0.0
1,-293.0,-293.0,126.441,0.0
1,-242.0,-242.0,126.379,0.0
1,-237.0,-237.0,126.321,0.0
1,-232.0,-232.0,126.268,0.0
1,-227.0,-227.0,126.207,0.0
1,-221.0,-221.0,126.108,0.0
1,-216.0,-216.0,126.012,0.0
1,-211.0,-211.0,125.913,0.0
1,-206.0,-206.0,125.817,0.0
1,-201.0,-201.0,125.721,0.0
1,-196.0,-196.0,125.632,0.0
1,-191.0,-191.0,125.544,0.0
1,-186.0,-186.0,125.45,0.0
1,-181.0,-181.0,125.37,0.0
1,-175.0,-175.0,125.285,0.0
1,-170.0,-170.0,125.213,0.0
1,-165.0,-165.0,125.137,0.0
1,-160.0,-160.0,125.06,0.0
1,-155.0,-155.0,124.989,0.0
1,-150.0,-150.0,124.915,0.0
1,-145.0,-145.0,124.838,0.0
1,-140.0,-140.0,124.764,0.0
1,-135.0,-135.0,124.681,0.0
1,-130.0,-130.0,124.601,0.0
1,-125.0,-125.0,124.52,0.0
1,-120.0,-120.0,124.444,0.0
1,-115.0,-115.0,124.373,0.0
1,-109.0,-109.0,124.277,0.0
1,-104.0,-104.0,124.192,0.0
1,-99.0,-99.0,124.112,0.0
1,-94.0,-94.0,124.037,0.0
1,-89.0,-89.0,123.96,0.0
1,-84.0,-84.0,123.883,0.0
1,-79.0,-79.0,123.806,0.0
1,-74.0,-74.0,123.734,0.0
1,-69.0,-69.0,123.651,0.0
1,-64.0,-64.0,123.572,0.0
1,-58.0,-58.0,123.486,0.0
1,-53.0,-53.0,123.412,0.0
1,-48.0,-48.0,123.345,0.0
1,-43.0,-43.0,123.317,0.0
2,2843.0,2843.0,123.267,1.1731409032642832e-9
2,2848.0,2848.0,123.168,2.3254980961120854e-9
2,2853.0,2853.0,123.072,2.257199925394026e-9
2,2859.0,2859.0,122.956,2.73083273907089e-9
2,2864.0,2864.0,122.857,2.3326601783327576e-9
2,2869.0,2869.0,122.76,2.2877002787610806e-9
2,2874.0,2874.0,122.667,2.195484984446211e-9
2,2879.0,2879.0,122.581,2.0322821869854118e-9
2,2884.0,2884.0,122.486,2.2472020158122883e-9
2,2889.0,2889.0,122.384,2.415025467298957e-9
2,2894.0,2894.0,122.282,2.417189730320366e-9
2,2899.0,2899.0,122.188,2.2296672843114747e-9
2,2904.0,2904.0,122.103,2.018187096295031e-9
2,2910.0,2910.0,121.992,2.6388412927413904e-9
2,2915.0,2915.0,121.904,2.0939404621996952e-9
2,2920.0,2920.0,121.822,1.9531562372891973e-9
2,2925.0,2925.0,121.725,2.3126973836073495e-9
2,2930.0,2930.0,121.62,2.505634768380608e-9
2,2935.0,2935.0,121.516,2.483871546207349e-9
2,2940.0,2940.0,121.415,2.4142934834464167e-9
2,2945.0,2945.0,121.33,2.033728328374606e-9
2,2951.0,2951.0,121.31,4.792918260789054e-10
2,2966.0,2966.0,121.275,8.428330442677829e-10
2,2971.0,2971.0,121.177,2.3626147911749886e-9
2,2976.0,2976.0,121.077,2.4129165577049716e-9
2,2981.0,2981.0,120.98,2.3425548946749502e-9
2,2986.0,2986.0,120.876,2.513728844749252e-9
2,2991.0,2991.0,120.773,2.491592758963408e-9
2,2996.0,2996.0,120.674,2.3968300297647203e-9
2,3001.0,3001.0,120.573,2.4473028203485005e-9
2,3007.0,3007.0,120.46,2.74111210712563e-9
2,3012.0,3012.0,120.374,2.087899728133054e-9
2,3017.0,3017.0,120.279,2.308493284564417e-9
2,3022.0,3022.0,120.177,2.480668147064642e-9
2,3027.0,3027.0,120.088,2.166363641985749e-9
2,3032.0,3032.0,120.005,2.022205129226608e-9
2,3037.0,3037.0,119.917,2.1460308320650503e-9
2,3042.0,3042.0,119.835,2.001583539696375e-9
2,3047.0,3047.0,119.758,1.8813765429031507e-9
2,3053.0,3053.0,119.669,2.1773505474742854e-9
2,3058.0,3058.0,119.59,1.9345113212424355e-9
2,3063.0,3063.0,119.514,1.8628841632198576e-9
2,3068.0,3068.0,119.432,2.0119046410704326e-9
2,3073.0,3073.0,119.353,1.9401491302065307e-9
2,3078.0,3078.0,119.279,1.8191454998095872e-9
2,3083.0,3083.0,119.197,2.0177644946612647e-9
2,3088.0,3088.0,119.121,1.8719151085146957e-9
2,3093.0,3093.0,119.041,1.9723355186976783e-9
2,3098.0,3098.0,118.959,2.023534638300628e-9
2,3103.0,3103.0,118.876,2.0500953196634004e-9
2,3109.0,3109.0,118.79,2.1267901989749196e-9
2,3114.0,3114.0,118.779,2.723575902905621e-10
2,3129.0,3129.0,118.776,7.46327447236628e-11
2,3134.0,3134.0,118.741,8.719672139633895e-10
2,3185.0,3185.0,118.689,1.3160936474734474e-9
2,3190.0,3190.0,118.601,2.2294165029176183e-9
2,3195.0,3195.0,118.507,2.3833254108412236e-9
2,3200.0,3200.0,118.417,2.2837047965824687e-9
2,3205.0,3205.0,118.331,2.1839929092512443e-9
2,3211.0,3211.0,118.238,2.3643921471311025e-9
2,3216.0,3216.0,118.166,1.832068793283714e-9
2,3221.0,3221.0,118.112,1.3754543804710991e-9
2,3226.0,3226.0,118.08,8.160522096593645e-10
2,3231.0,3231.0,118.016,1.6339696340407373e-9
2,3236.0,3236.0,117.929,2.2231919646869585e-9
2,3241.0,3241.0,117.837,2.352807813512991e-9
2,3246.0,3246.0,117.755,2.0987529856025808e-9
2,3251.0,3251.0,117.675,2.0493077344812405e-9
2,3257.0,3257.0,117.569,2.7181949373455003e-9
2,3262.0,3262.0,117.472,2.4890735923526295e-9
2,3267.0,3267.0,117.375,2.4908312489184102e-9
2,3272.0,3272.0,117.278,2.4925826073507336e-9
2,3277.0,3277.0,117.186,2.3658045278719434e-9
2,3282.0,3282.0,117.095,2.3418305012823485e-9
2,3287.0,3287.0,117.005,2.3178324954632274e-9
2,3292.0,3292.0,116.905,2.5771935487113566e-9
2,3297.0,3297.0,116.799,2.733564829762088e-9
2,3303.0,3303.0,116.681,3.0456408277429418e-9
2,3308.0,3308.0,116.587,2.4276548446926486e-9
2,3313.0,3313.0,116.49,2.5068653626496262e-9
2,3318.0,3318.0,116.395,2.456857251445313e-9
2,3323.0,3323.0,116.298,2.5102895281500066e-9
2,3328.0,3328.0,116.196,2.6413968702838813e-9
2,3333.0,3333.0,116.099,2.513537274481594e-9
2,3338.0,3338.0,116.004,2.4633669567788913e-9
2,3343.0,3343.0,115.912,2.3872249006986275e-9
2,3348.0,3348.0,115.819,2.4148544164371028e-9
2,3354.0,3354.0,115.706,2.9368232837469358e-9
2,3359.0,3359.0,115.613,2.4184809931752943e-9
2,3364.0,3364.0,115.523,2.3420950154727182e-9
