fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,,,,462.23874197884,462.23874197884,1,1,121.516,0.0
4,,,,468.23874197884,468.23874197884,4,1,121.512,0.0
5,,,,470.23874197884,470.23874197884,5,1,121.483,0.0
6,,,,472.23874197884,472.23874197884,6,1,121.45,0.0
7,,,,474.23874197884,474.23874197884,7,1,121.415,0.0
8,,,,476.23874197884,476.23874197884,8,1,121.384,0.0
9,,,,478.23874197884,478.23874197884,9,1,121.359,0.0
10,,,,480.23874197884,480.23874197884,10,1,121.347,0.0
18,,,,496.23874197884,496.23874197884,18,1,121.33,0.0
19,,,,498.23874197884,498.23874197884,19,1,121.296,0.0
20,,,,500.23874197884,500.23874197884,20,1,121.258,0.0
21,,,,502.23874197884,502.23874197884,21,1,121.231,0.0
22,,,,504.23874197884,504.23874197884,22,1,121.225,0.0
32,,,,524.23874197884,524.23874197884,32,1,121.21,0.0
33,,,,526.23874197884,526.23874197884,33,1,121.172,0.0
34,,,,528.23874197884,528.23874197884,34,1,121.142,0.0
35,,,,530.23874197884,530.23874197884,35,1,121.127,0.0
36,,,,532.23874197884,532.23874197884,36,1,121.122,0.0
2096,,,,4654.23874197884,4654.23874197884,53,2,121.114,9019.393407210891
2097,,,,4656.23874197884,4656.23874197884,54,2,121.07,49617.327033458314
2098,,,,4658.23874197884,4658.23874197884,55,2,121.03,45110.383977314115
2099,,,,4660.23874197884,4660.23874197884,56,2,120.989,46242.519123890466
2100,,,,4662.23874197884,4662.23874197884,57,2,120.945,49629.97898329655
2101,,,,4664.23874197884,4664.23874197884,58,2,120.902,48505.38232233948
2102,,,,4666.23874197884,4666.23874197884,59,2,120.86,47381.00685100991
2103,,,,4668.23874197884,4668.23874197884,60,2,120.818,47384.845312728205
2104,,,,4670.23874197884,4670.23874197884,61,2,120.777,46260.5594835999
2105,,,,4672.23874197884,4672.23874197884,62,2,120.737,45136.44270121816
2106,,,,4674.23874197884,4674.23874197884,63,2,120.695,47397.453934046076
2107,,,,4676.23874197884,4676.23874197884,64,2,120.653,47401.236451748344
2108,,,,4678.23874197884,4678.23874197884,65,2,120.611,47405.00485748268
2109,,,,4680.23874197884,4680.23874197884,66,2,120.57,46280.17106120959
2110,,,,4682.23874197884,4682.23874197884,67,2,120.529,46284.20621654302
2111,,,,4684.23874197884,4684.23874197884,68,2,120.487,47417.01235474623
2112,,,,4686.23874197884,4686.23874197884,69,2,120.441,51936.12187085526
2113,,,,4688.23874197884,4688.23874197884,70,2,120.393,54196.18988091719
2114,,,,4690.23874197884,4690.23874197884,71,2,120.346,53068.79907174313
2115,,,,4692.23874197884,4692.23874197884,72,2,120.301,50812.79294434611
2116,,,,4694.23874197884,4694.23874197884,73,2,120.258,48557.37923386977
2117,,,,4696.23874197884,4696.23874197884,74,2,120.214,49689.8126014865
2118,,,,4698.23874197884,4698.23874197884,75,2,120.169,50821.952558091405
2119,,,,4700.23874197884,4700.23874197884,76,2,120.125,49695.32340365932
2120,,,,4702.23874197884,4702.23874197884,77,2,120.082,48568.95844427117
2121,,,,4704.23874197884,4704.23874197884,78,2,120.039,48572.21997138728
2122,,,,4706.23874197884,4706.23874197884,79,2,119.996,48575.4667065355
2123,,,,4708.23874197884,4708.23874197884,80,2,119.951,50837.749263973776
2124,,,,4710.23874197884,4710.23874197884,81,2,119.906,50840.26802705271
2125,,,,4712.23874197884,4712.23874197884,82,2,119.863,48583.497149804745
2126,,,,4714.23874197884,4714.23874197884,83,2,119.822,46327.22482771553
2127,,,,4716.23874197884,4716.23874197884,84,2,119.781,46331.023003065005
2128,,,,4718.23874197884,4718.23874197884,85,2,119.737,49724.53670806925
2129,,,,4720.23874197884,4720.23874197884,86,2,119.693,49727.33752764425
2130,,,,4722.23874197884,4722.23874197884,87,2,119.649,49730.122859235315
2131,,,,4724.23874197884,4724.23874197884,88,2,119.604,50862.973128061785
2132,,,,4726.23874197884,4726.23874197884,89,2,119.559,50865.364631156765
2133,,,,4728.23874197884,4728.23874197884,90,2,119.515,49737.553755989895
2134,,,,4730.23874197884,4730.23874197884,91,2,119.469,52000.763273608594
