fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
3,,,,235.0,2279.781822588227,2279.781822588227,1,1,140.552,0.0
4,,,,238.0,2312.781822588227,2312.781822588227,2,1,140.551,0.0
6,,,,238.0,2353.781822588227,2353.781822588227,4,1,140.55,0.0
7,,,,234.0,2385.781822588227,2385.781822588227,5,1,140.549,0.0
248,,,,1281.0,3048.781822588227,3048.781822588227,246,1,140.513,0.0
249,,,,1286.0,3051.781822588227,3051.781822588227,247,1,140.475,0.0
255,,,,1316.0,3062.781822588227,3062.781822588227,253,1,140.445,0.0
256,,,,1321.0,3063.781822588227,3063.781822588227,254,1,140.425,0.0
257,,,,1322.0,3065.781822588227,3065.781822588227,255,1,140.384,0.0
258,,,,1329.0,3068.781822588227,3068.781822588227,256,1,140.333,0.0
259,,,,1334.0,3069.781822588227,3069.781822588227,257,1,140.321,0.0
260,,,,1340.0,3070.781822588227,3070.781822588227,258,1,140.313,0.0
261,,,,1346.0,3071.781822588227,3071.781822588227,259,1,140.309,0.0
271,,,,1359.0,3085.781822588227,3085.781822588227,269,1,140.295,0.0
272,,,,1366.0,3086.781822588227,3086.781822588227,270,1,140.273,0.0
273,,,,1372.0,3088.781822588227,3088.781822588227,271,1,140.239,0.0
274,,,,1376.0,3091.781822588227,3091.781822588227,272,1,140.213,0.0
279,,,,1397.0,3102.781822588227,3102.781822588227,277,1,140.207,0.0
280,,,,1400.0,3103.781822588227,3103.781822588227,278,1,140.192,0.0
281,,,,1406.0,3107.781822588227,3107.781822588227,279,1,140.115,0.0
282,,,,1409.0,3108.781822588227,3108.781822588227,280,1,140.094,0.0
283,,,,1423.0,3111.781822588227,3111.781822588227,281,1,140.039,0.0
284,,,,1424.0,3113.781822588227,3113.781822588227,282,1,140.012,0.0
285,,,,1428.0,3115.781822588227,3115.781822588227,283,1,139.999,0.0
290,,,,1437.0,3127.781822588227,3127.781822588227,288,1,139.97,0.0
291,,,,1443.0,3129.781822588227,3129.781822588227,289,1,139.93,0.0
292,,,,1447.0,3130.781822588227,3130.781822588227,290,1,139.913,0.0
