leg,tickLead,tickRace,distance,area
1,3807.0,3807.0,141.322,0.0
1,3887.0,3887.0,141.321,0.0
1,4328.0,4328.0,141.318,0.0
1,4338.0,4338.0,141.246,0.0
1,4358.0,4358.0,141.187,0.0
1,4368.0,4368.0,141.165,0.0
1,4378.0,4378.0,141.125,0.0
1,4398.0,4398.0,141.059,0.0
1,4428.0,4428.0,140.992,0.0
1,4438.0,4438.0,140.971,0.0
1,4468.0,4468.0,140.922,0.0
1,4488.0,4488.0,140.845,0.0
1,4508.0,4508.0,140.767,0.0
1,4518.0,4518.0,140.754,0.0
1,4528.0,4528.0,140.736,0.0
1,4538.0,4538.0,140.617,0.0
1,4558.0,4558.0,140.572,0.0
1,4588.0,4588.0,140.509,0.0
1,4608.0,4608.0,140.439,0.0
1,4618.0,4618.0,140.251,0.0
1,4628.0,4628.0,140.1,0.0
1,4638.0,4638.0,139.956,0.0
1,4648.0,4648.0,139.804,0.0
1,4658.0,4658.0,139.695,0.0
1,4668.0,4668.0,139.527,0.0
1,4678.0,4678.0,139.352,0.0
1,4688.0,4688.0,139.228,0.0
1,4698.0,4698.0,139.068,0.0
1,4708.0,4708.0,138.898,0.0
1,4718.0,4718.0,138.747,0.0
1,4728.0,4728.0,138.612,0.0
1,4738.0,4738.0,138.454,0.0
1,4748.0,4748.0,138.307,0.0
1,4758.0,4758.0,138.153,0.0
1,4768.0,4768.0,137.972,0.0
1,4778.0,4778.0,137.796,0.0
1,4788.0,4788.0,137.593,0.0
1,4798.0,4798.0,137.406,0.0
1,4808.0,4808.0,137.201,0.0
1,4818.0,4818.0,137.065,0.0
1,4828.0,4828.0,136.936,0.0
1,4838.0,4838.0,136.798,0.0
1,4848.0,4848.0,136.652,0.0
1,4858.0,4858.0,136.494,0.0
1,4868.0,4868.0,136.342,0.0
1,4878.0,4878.0,136.193,0.0
1,4888.0,4888.0,136.102,0.0
1,4898.0,4898.0,136.015,0.0
1,4908.0,4908.0,135.927,0.0
1,4918.0,4918.0,135.747,0.0
1,4928.0,4928.0,135.523,0.0
1,4938.0,4938.0,135.322,0.0
1,4948.0,4948.0,135.176,0.0
1,4958.0,4958.0,135.015,0.0
1,4968.0,4968.0,134.866,0.0
1,4978.0,4978.0,134.712,0.0
1,4988.0,4988.0,134.603,0.0
1,4998.0,4998.0,134.493,0.0
1,5008.0,5008.0,134.408,0.0
1,5018.0,5018.0,134.392,0.0
1,5028.0,5028.0,134.303,0.0
1,5038.0,5038.0,134.167,0.0
1,5048.0,5048.0,134.124,0.0
1,5058.0,5058.0,134.061,0.0
1,5088.0,5088.0,133.854,0.0
1,5098.0,5098.0,133.671,0.0
1,5108.0,5108.0,133.666,0.0
1,5118.0,5118.0,133.584,0.0
1,5129.0,5129.0,133.467,0.0
1,5149.0,5149.0,133.384,0.0
1,5159.0,5159.0,133.285,0.0
1,5179.0,5179.0,133.138,0.0
1,5199.0,5199.0,133.02,0.0
1,5209.0,5209.0,133.004,0.0
1,5219.0,5219.0,132.935,0.0
1,5229.0,5229.0,132.823,0.0
1,5249.0,5249.0,132.724,0.0
1,5259.0,5259.0,132.679,0.0
1,5269.0,5269.0,132.518,0.0
1,5299.0,5299.0,132.344,0.0
1,5319.0,5319.0,132.15,0.0
1,5349.0,5349.0,132.081,0.0
1,5359.0,5359.0,132.016,0.0
1,5369.0,5369.0,131.879,0.0
1,5379.0,5379.0,131.737,0.0
1,5389.0,5389.0,131.717,0.0
1,5399.0,5399.0,131.526,0.0
1,5419.0,5419.0,131.399,0.0
1,5429.0,5429.0,131.183,0.0
1,5439.0,5439.0,131.054,0.0
1,5449.0,5449.0,130.865,0.0
1,5469.0,5469.0,130.837,0.0
1,5479.0,5479.0,130.754,0.0
1,5499.0,5499.0,130.619,0.0
1,5509.0,5509.0,130.437,0.0
1,5519.0,5519.0,130.242,0.0
1,5559.0,5559.0,130.162,0.0
1,5569.0,5569.0,129.938,0.0
1,5579.0,5579.0,129.729,0.0
1,5589.0,5589.0,129.491,0.0
1,5599.0,5599.0,129.253,0.0
1,5609.0,5609.0,129.009,0.0
1,5619.0,5619.0,128.851,0.0
1,5629.0,5629.0,128.828,0.0
1,5689.0,5689.0,128.722,0.0
1,5699.0,5699.0,128.577,0.0
1,5709.0,5709.0,128.57,0.0
1,5709.0,5709.0,128.57,2.4673043537739998e8
