leg,tickLead,tickRace,distance,area
1,44.0,44.0,140.349,0.0
1,54.0,54.0,140.347,0.0
1,678.0,678.0,140.321,0.0
1,688.0,688.0,140.289,0.0
1,698.0,698.0,140.238,0.0
1,708.0,708.0,140.143,0.0
1,718.0,718.0,140.118,0.0
1,728.0,728.0,140.02,0.0
1,748.0,748.0,139.947,0.0
1,759.0,759.0,139.842,0.0
1,809.0,809.0,139.768,0.0
1,819.0,819.0,139.737,0.0
1,1040.0,1040.0,139.647,0.0
1,1050.0,1050.0,139.581,0.0
1,1060.0,1060.0,139.567,0.0
1,1070.0,1070.0,139.455,0.0
1,1091.0,1091.0,139.345,0.0
1,1101.0,1101.0,139.344,0.0
1,1523.0,1523.0,139.245,0.0
1,1543.0,1543.0,139.122,0.0
1,1564.0,1564.0,138.977,0.0
1,1584.0,1584.0,138.931,0.0
1,1594.0,1594.0,138.874,0.0
1,1624.0,1624.0,138.769,0.0
1,1644.0,1644.0,138.696,0.0
1,1664.0,1664.0,138.627,0.0
1,1674.0,1674.0,138.599,0.0
1,1684.0,1684.0,138.53,0.0
1,1694.0,1694.0,138.483,0.0
1,1704.0,1704.0,138.372,0.0
1,1725.0,1725.0,138.311,0.0
1,1735.0,1735.0,138.27,0.0
1,1745.0,1745.0,138.214,0.0
1,1755.0,1755.0,138.171,0.0
1,1765.0,1765.0,138.146,0.0
1,1775.0,1775.0,138.008,0.0
1,1795.0,1795.0,137.839,0.0
1,1805.0,1805.0,137.77,0.0
1,1815.0,1815.0,137.673,0.0
1,1825.0,1825.0,137.55,0.0
1,1835.0,1835.0,137.43,0.0
1,1845.0,1845.0,137.347,0.0
1,1855.0,1855.0,137.239,0.0
1,1866.0,1866.0,137.126,0.0
1,1871.0,1871.0,137.087,0.0
1,1872.0,1872.0,137.078,0.0
1,1882.0,1882.0,136.98,0.0
1,1892.0,1892.0,136.866,0.0
1,1902.0,1902.0,136.765,0.0
1,1912.0,1912.0,136.665,0.0
1,1922.0,1922.0,136.575,0.0
1,1932.0,1932.0,136.514,0.0
1,1942.0,1942.0,136.376,0.0
1,1952.0,1952.0,136.276,0.0
1,1962.0,1962.0,136.182,0.0
1,1972.0,1972.0,136.07,0.0
1,1982.0,1982.0,135.987,0.0
1,1992.0,1992.0,135.848,0.0
1,2002.0,2002.0,135.728,0.0
1,2012.0,2012.0,135.604,0.0
1,2022.0,2022.0,135.47,0.0
1,2033.0,2033.0,135.342,0.0
1,2043.0,2043.0,135.277,0.0
1,2083.0,2083.0,135.148,0.0
1,2093.0,2093.0,135.023,0.0
1,2103.0,2103.0,134.908,0.0
1,2113.0,2113.0,134.789,0.0
1,2123.0,2123.0,134.641,0.0
1,2133.0,2133.0,134.569,0.0
1,2143.0,2143.0,134.453,0.0
1,2163.0,2163.0,134.421,0.0
1,2173.0,2173.0,134.353,0.0
1,2183.0,2183.0,134.299,0.0
1,2193.0,2193.0,134.267,0.0
1,2203.0,2203.0,134.239,0.0
1,2224.0,2224.0,134.098,0.0
1,2234.0,2234.0,134.048,0.0
1,2244.0,2244.0,134.002,0.0
1,2254.0,2254.0,133.973,0.0
1,2264.0,2264.0,133.907,0.0
1,2274.0,2274.0,133.839,0.0
1,2284.0,2284.0,133.786,0.0
1,2294.0,2294.0,133.692,0.0
1,2304.0,2304.0,133.586,0.0
1,2314.0,2314.0,133.487,0.0
1,2324.0,2324.0,133.394,0.0
1,2334.0,2334.0,133.31,0.0
1,2344.0,2344.0,133.237,0.0
1,2355.0,2355.0,133.159,0.0
1,2365.0,2365.0,133.066,0.0
1,2375.0,2375.0,132.976,0.0
1,2385.0,2385.0,132.911,0.0
1,2395.0,2395.0,132.848,0.0
1,2405.0,2405.0,132.836,0.0
1,2415.0,2415.0,132.778,0.0
1,2425.0,2425.0,132.68,0.0
1,2435.0,2435.0,132.587,0.0
1,2445.0,2445.0,132.525,0.0
1,2455.0,2455.0,132.461,0.0
1,2465.0,2465.0,132.398,0.0
1,2475.0,2475.0,132.346,0.0
1,2485.0,2485.0,132.292,0.0
1,2495.0,2495.0,132.254,0.0
1,2505.0,2505.0,132.223,0.0
1,2515.0,2515.0,132.183,0.0
1,2525.0,2525.0,132.153,0.0
1,2536.0,2536.0,132.094,0.0
1,2546.0,2546.0,132.009,0.0
1,2556.0,2556.0,131.918,0.0
1,2566.0,2566.0,131.751,0.0
1,2576.0,2576.0,131.592,0.0
1,2586.0,2586.0,131.526,0.0
1,2596.0,2596.0,131.467,0.0
1,2636.0,2636.0,131.394,0.0
1,2646.0,2646.0,131.384,0.0
1,2656.0,2656.0,131.313,0.0
1,2666.0,2666.0,131.292,0.0
1,2677.0,2677.0,131.251,0.0
1,2687.0,2687.0,131.22,0.0
1,2697.0,2697.0,131.091,0.0
1,2707.0,2707.0,130.976,0.0
1,2717.0,2717.0,130.875,0.0
1,2727.0,2727.0,130.702,0.0
1,2737.0,2737.0,130.513,0.0
1,2747.0,2747.0,130.336,0.0
1,2767.0,2767.0,130.156,0.0
1,2787.0,2787.0,130.038,0.0
1,2807.0,2807.0,129.934,0.0
1,2817.0,2817.0,129.881,0.0
1,2827.0,2827.0,129.833,0.0
1,2837.0,2837.0,129.651,0.0
1,2857.0,2857.0,129.557,0.0
1,2878.0,2878.0,129.52,0.0
1,2888.0,2888.0,129.37,0.0
1,2898.0,2898.0,129.357,0.0
1,2908.0,2908.0,129.241,0.0
1,2918.0,2918.0,129.115,0.0
1,2928.0,2928.0,129.032,0.0
1,2938.0,2938.0,128.971,0.0
1,2948.0,2948.0,128.921,0.0
1,2958.0,2958.0,128.853,0.0
1,2968.0,2968.0,128.821,0.0
1,2978.0,2978.0,128.781,0.0
1,2988.0,2988.0,128.741,0.0
1,2998.0,2998.0,128.73,0.0
1,3008.0,3008.0,128.713,0.0
1,3019.0,3019.0,128.694,0.0
2,3029.0,3029.0,128.672,4.8025256092887737e-4
2,3039.0,3039.0,128.637,7.663908020939225e-4
2,3049.0,3049.0,128.62,3.733963849827722e-4
2,3059.0,3059.0,128.603,3.745715257020703e-4
2,3069.0,3069.0,128.556,1.038706949100146e-3
2,3079.0,3079.0,128.51,1.0195504553844876e-3
2,3089.0,3089.0,128.482,6.224322782959028e-4
2,3099.0,3099.0,128.413,1.538235680958639e-3
2,3109.0,3109.0,128.335,1.743487975414014e-3
2,3119.0,3119.0,128.264,1.5912017417321533e-3
2,3129.0,3129.0,128.218,1.0337531570416764e-3
2,3139.0,3139.0,128.166,1.171877297232255e-3
2,3149.0,3149.0,128.124,9.491834879455044e-4
2,3159.0,3159.0,128.068,1.2691115000348784e-3
2,3170.0,3170.0,128.029,8.86594275320583e-4
2,3180.0,3180.0,127.996,7.523501244631757e-4
2,3190.0,3190.0,127.971,5.716250240220527e-4
2,3200.0,3200.0,127.948,5.274446686611463e-4
2,3210.0,3210.0,127.935,2.99010459917071e-4
2,3230.0,3230.0,127.904,7.173440947832448e-4
2,3240.0,3240.0,127.864,9.282132669641361e-4
2,3250.0,3250.0,127.858,1.3963660018056763e-4
2,3260.0,3260.0,127.852,1.4005967851493035e-4
2,3270.0,3270.0,127.824,6.555296044892665e-4
2,3280.0,3280.0,127.776,1.1268665645463036e-3
2,3290.0,3290.0,127.707,1.624065565933638e-3
2,3300.0,3300.0,127.628,1.8640087358008808e-3
2,3310.0,3310.0,127.555,1.7266294940070284e-3
2,3320.0,3320.0,127.417,3.2711934139704147e-3
2,3330.0,3330.0,127.281,3.2300202053547554e-3
2,3340.0,3340.0,127.179,2.4275194813465875e-3
2,3350.0,3350.0,127.132,1.1212549492989007e-3
2,3361.0,3361.0,127.039,2.2247131460423936e-3
2,3371.0,3371.0,126.84,4.769086179743091e-3
2,3381.0,3381.0,126.741,2.376805468428864e-3
2,3391.0,3391.0,126.708,7.941981556230365e-4
2,3401.0,3401.0,126.678,7.239474868981797e-4
2,3411.0,3411.0,126.597,1.959546730372948e-3
2,3421.0,3421.0,126.567,7.275667447089197e-4
2,3431.0,3431.0,126.358,5.078732341462774e-3
2,3441.0,3441.0,126.263,2.312460325470126e-3
2,3451.0,3451.0,126.227,8.783916624466859e-4
2,3461.0,3461.0,126.197,7.339222613531245e-4
2,3471.0,3471.0,126.091,2.59928341264098e-3
2,3481.0,3481.0,126.031,1.4745604447642957e-3
2,3491.0,3491.0,125.988,1.0593711726542537e-3
2,3501.0,3501.0,125.956,7.903922472810505e-4
2,3511.0,3511.0,125.907,1.2133548879519754e-3
2,3522.0,3522.0,125.879,6.953052745265213e-4
2,3532.0,3532.0,125.804,1.8669487782336975e-3
2,3552.0,3552.0,125.681,3.076711093146216e-3
2,3572.0,3572.0,125.573,2.7142181649884665e-3
2,3592.0,3592.0,125.358,5.426573225902913e-3
2,3602.0,3602.0,125.319,9.860963847656275e-4
2,3612.0,3612.0,125.233,2.179418480290337e-3
2,3622.0,3622.0,125.196,9.397911518910356e-4
2,3632.0,3632.0,125.172,6.11128396726389e-4
2,3642.0,3642.0,125.049,3.138812480540566e-3
2,3653.0,3653.0,125.034,3.8372638674462453e-4
2,3663.0,3663.0,124.983,1.307895955971081e-3
2,3673.0,3673.0,124.902,2.0818177013619777e-3
2,3683.0,3683.0,124.891,2.833813274749123e-4
2,3693.0,3693.0,124.779,2.8917467360900792e-3
2,3713.0,3713.0,124.703,1.971398042336967e-3
2,3723.0,3723.0,124.631,1.871559331381472e-3
2,3733.0,3733.0,124.454,4.608667684081329e-3
2,3753.0,3753.0,124.337,3.059113949242949e-3
2,3793.0,3793.0,124.295,1.1091383427225304e-3
2,3803.0,3803.0,124.18,3.0430103361261764e-3
2,3814.0,3814.0,124.119,1.6176406679822373e-3
2,3824.0,3824.0,124.105,3.721227755155716e-4
2,3834.0,3834.0,123.962,3.808497747105917e-3
2,3854.0,3854.0,123.874,2.3537229179316946e-3
2,3864.0,3864.0,123.78,2.5188765352884604e-3
2,3874.0,3874.0,123.766,3.7595869000350325e-4
2,3884.0,3884.0,123.604,4.358507797874491e-3
2,3904.0,3904.0,123.477,3.430436959609767e-3
2,3914.0,3914.0,123.263,5.787229664444505e-3
2,3924.0,3924.0,123.231,8.667261341689026e-4
2,3934.0,3934.0,123.092,3.7718176077752765e-3
2,3954.0,3954.0,123.081,2.998239565043714e-4
2,3964.0,3964.0,122.861,6.006003618436534e-3
2,3974.0,3974.0,122.745,3.170453490549418e-3
2,4005.0,4005.0,122.715,8.258497991550328e-4
2,4015.0,4015.0,122.571,3.971159815811749e-3
2,4025.0,4025.0,122.465,2.9275087838416093e-3
2,4035.0,4035.0,122.354,3.070493624689272e-3
2,4045.0,4045.0,122.227,3.5183701358787434e-3
2,4055.0,4055.0,122.154,2.025712083703831e-3
2,4065.0,4065.0,122.067,2.418573946462987e-3
2,4075.0,4075.0,121.941,3.5083166611415894e-3
2,4085.0,4085.0,121.804,3.819837660340267e-3
2,4096.0,4096.0,121.689,3.2117433333205803e-3
2,4106.0,4106.0,121.553,3.8035837344518987e-3
2,4116.0,4116.0,121.447,2.9688213697822183e-3
2,4126.0,4126.0,121.353,2.6369525928845346e-3
2,4136.0,4136.0,121.223,3.652315406559985e-3
2,4146.0,4146.0,121.111,3.15107132640823e-3
2,4156.0,4156.0,121.047,1.8036443116491948e-3
2,4166.0,4166.0,120.983,1.8070285028290597e-3
2,4168.0,4168.0,120.975,2.2591977444611413e-4
3,7148.0,7148.0,83.261,1.5417572494594824
3,7158.0,7158.0,83.175,2.8690226542148673e-3
4,12607.0,12607.0,0.15,2.4422635168898523
4,12657.0,12657.0,0.115,3.287314541633026e-6
4,12667.0,12667.0,3.6e-2,4.231305393941941e-6
4,12807.0,12807.0,1.3e-2,4.041735491814216e-7
4,12897.0,12897.0,8.0e-3,3.792054420786571e-8
4,12577.0,12577.0,0.0,2.253998368623854e-8
