leg,tickLead,tickRace,distance,area
1,-1973.0,-1973.0,141.305,0.0
1,-1359.0,-1359.0,141.296,0.0
1,-1339.0,-1339.0,141.093,0.0
1,-1299.0,-1299.0,140.984,0.0
1,-1279.0,-1279.0,140.843,0.0
1,-1239.0,-1239.0,140.717,0.0
1,-1159.0,-1159.0,140.372,0.0
1,-1139.0,-1139.0,140.237,0.0
1,-1119.0,-1119.0,140.095,0.0
1,-1099.0,-1099.0,139.92,0.0
1,-1079.0,-1079.0,139.742,0.0
1,-1059.0,-1059.0,139.622,0.0
1,-1039.0,-1039.0,139.478,0.0
1,-1019.0,-1019.0,139.312,0.0
1,-999.0,-999.0,139.152,0.0
1,-979.0,-979.0,139.054,0.0
1,-959.0,-959.0,138.893,0.0
1,-939.0,-939.0,138.842,0.0
1,-919.0,-919.0,138.65,0.0
1,-899.0,-899.0,138.408,0.0
1,-879.0,-879.0,138.207,0.0
1,-859.0,-859.0,138.124,0.0
1,-839.0,-839.0,137.999,0.0
1,-819.0,-819.0,137.798,0.0
1,-759.0,-759.0,137.627,0.0
1,-739.0,-739.0,137.434,0.0
1,-719.0,-719.0,137.275,0.0
1,-699.0,-699.0,137.241,0.0
1,-679.0,-679.0,136.981,0.0
1,-659.0,-659.0,136.954,0.0
1,-639.0,-639.0,136.883,0.0
1,-619.0,-619.0,136.677,0.0
1,-579.0,-579.0,136.447,0.0
1,-539.0,-539.0,136.318,0.0
1,-519.0,-519.0,136.087,0.0
1,-499.0,-499.0,136.009,0.0
1,-479.0,-479.0,135.858,0.0
1,-459.0,-459.0,135.766,0.0
1,-439.0,-439.0,135.699,0.0
1,-419.0,-419.0,135.608,0.0
1,-399.0,-399.0,135.461,0.0
1,-379.0,-379.0,135.398,0.0
1,-359.0,-359.0,135.337,0.0
1,-339.0,-339.0,135.281,0.0
1,-319.0,-319.0,135.273,0.0
1,-299.0,-299.0,135.159,0.0
1,-279.0,-279.0,135.026,0.0
1,-259.0,-259.0,134.895,0.0
1,-239.0,-239.0,134.887,0.0
1,-219.0,-219.0,134.798,0.0
1,-199.0,-199.0,134.654,0.0
1,-159.0,-159.0,134.555,0.0
1,-139.0,-139.0,134.46,0.0
1,-59.0,-59.0,134.356,0.0
1,-19.0,-19.0,134.226,0.0
1,1.0,1.0,134.002,0.0
1,21.0,21.0,133.772,0.0
1,41.0,41.0,133.562,0.0
1,61.0,61.0,133.324,0.0
1,81.0,81.0,133.117,0.0
1,101.0,101.0,132.983,0.0
1,121.0,121.0,132.811,0.0
1,141.0,141.0,132.583,0.0
1,161.0,161.0,132.388,0.0
1,181.0,181.0,132.197,0.0
1,201.0,201.0,132.049,0.0
1,221.0,221.0,131.99,0.0
1,241.0,241.0,131.984,0.0
1,281.0,281.0,131.78,0.0
1,301.0,301.0,131.737,0.0
1,341.0,341.0,131.584,0.0
1,361.0,361.0,131.364,0.0
1,381.0,381.0,131.28,0.0
1,401.0,401.0,131.117,0.0
1,421.0,421.0,130.984,0.0
1,441.0,441.0,130.871,0.0
1,461.0,461.0,130.862,0.0
1,481.0,481.0,130.703,0.0
1,501.0,501.0,130.598,0.0
1,521.0,521.0,130.508,0.0
1,541.0,541.0,130.374,0.0
1,561.0,561.0,130.268,0.0
1,601.0,601.0,130.176,0.0
1,641.0,641.0,129.94,0.0
1,661.0,661.0,129.561,0.0
1,681.0,681.0,129.233,0.0
1,701.0,701.0,128.905,0.0
1,721.0,721.0,128.838,0.0
1,741.0,741.0,128.755,0.0
1,761.0,761.0,128.58,0.0
1,781.0,781.0,128.477,0.0
1,801.0,801.0,128.476,0.0
1,821.0,821.0,128.339,0.0
1,841.0,841.0,128.295,0.0
1,861.0,861.0,128.07,0.0
2,883.0,883.0,128.039,1.9285438515126756e-10
2,884.0,884.0,128.022,1.0585878478376034e-10
2,885.0,885.0,128.003,1.1842994484269557e-10
2,886.0,886.0,127.986,1.0606845126295122e-10
2,887.0,887.0,127.967,1.186642027006765e-10
2,888.0,888.0,127.948,1.1878034690054906e-10
2,889.0,889.0,127.933,9.386708686316485e-11
2,921.0,921.0,127.777,1.0106812791251502e-9
2,941.0,941.0,127.688,5.885634904724557e-10
2,961.0,961.0,127.561,8.569854302668356e-10
2,981.0,981.0,127.375,1.2796623709235628e-9
2,1001.0,1001.0,127.283,6.451511998714994e-10
2,1021.0,1021.0,127.149,9.57600915897362e-10
2,1041.0,1041.0,127.025,9.02580234668991e-10
2,1081.0,1081.0,126.912,8.533209388959052e-10
2,1121.0,1121.0,126.878,2.6609781957627306e-10
2,1141.0,1141.0,126.723,1.233816531350666e-9
2,1161.0,1161.0,126.623,8.091490937079016e-10
2,1181.0,1181.0,126.442,1.4881367351138623e-9
2,1201.0,1201.0,126.264,1.486143833387045e-9
2,1221.0,1221.0,125.979,2.4146930241155894e-9
2,1241.0,1241.0,125.66,2.740455130505418e-9
2,1261.0,1261.0,125.344,2.751471965580767e-9
2,1281.0,1281.0,125.053,2.5677546276169234e-9
2,1301.0,1301.0,124.818,2.101567261179863e-9
2,1321.0,1321.0,124.523,2.673011400581825e-9
2,1341.0,1341.0,124.224,2.7437219545538682e-9
2,1361.0,1361.0,123.993,2.1467620434212407e-9
2,1381.0,1381.0,123.743,2.3529087722877144e-9
2,1401.0,1401.0,123.471,2.591566644251411e-9
2,1421.0,1421.0,123.197,2.6420421010898232e-9
2,1441.0,1441.0,122.977,2.1468965821606745e-9
2,1461.0,1461.0,122.725,2.4885234002848507e-9
2,1481.0,1481.0,122.444,2.8067854376468795e-9
2,1501.0,1501.0,122.392,5.257043758917906e-10
2,1541.0,1541.0,122.285,1.1098437582087941e-9
2,1561.0,1561.0,122.228,5.984970215405262e-10
2,1581.0,1581.0,122.157,7.546525523237152e-10
2,1601.0,1601.0,122.068,9.573125169469257e-10
2,1621.0,1621.0,121.918,1.6320049119442817e-9
2,1641.0,1641.0,121.726,2.111775811800852e-9
2,1661.0,1661.0,121.484,2.689358548348449e-9
2,1681.0,1681.0,121.268,2.424747732241662e-9
2,1701.0,1701.0,121.16,1.2251609001992995e-9
2,1721.0,1721.0,120.892,3.0711895425896027e-9
2,1741.0,1741.0,120.55,3.9547585866748694e-9
2,1761.0,1761.0,120.336,2.497278452571981e-9
2,1781.0,1781.0,120.101,2.7683140876200047e-9
2,1821.0,1821.0,120.057,5.293488342587417e-10
2,1841.0,1841.0,119.882,2.126546884933726e-9
2,1861.0,1861.0,119.696,2.2813322136487215e-9
2,1881.0,1881.0,119.569,1.5723671833543027e-9
2,1901.0,1901.0,119.311,3.2230266293256587e-9
2,1921.0,1921.0,119.116,2.456969080035255e-9
2,1941.0,1941.0,118.932,2.3387843332379966e-9
2,1961.0,1961.0,118.876,7.184132964207731e-10
2,1981.0,1981.0,118.698,2.3045475229236306e-9
2,2001.0,2001.0,118.599,1.2931735451013453e-9
2,2021.0,2021.0,118.502,1.2786559797733212e-9
2,2041.0,2041.0,118.328,2.313722385953718e-9
2,2061.0,2061.0,118.217,1.4886651571651395e-9
2,2081.0,2081.0,117.992,3.0425191463165495e-9
2,2101.0,2101.0,117.906,1.1725491145287392e-9
2,2121.0,2121.0,117.746,2.1999563388121585e-9
2,2141.0,2141.0,117.639,1.483411048521742e-9
2,2161.0,2161.0,117.457,2.5436284590107764e-9
2,2181.0,2181.0,117.35,1.5074147608793509e-9
2,2201.0,2201.0,117.147,2.8822765743008887e-9
2,2221.0,2221.0,116.984,2.3317251850085242e-9
2,2241.0,2241.0,116.859,1.802015507718607e-9
2,2261.0,2261.0,116.692,2.425945528972706e-9
2,2281.0,2281.0,116.531,2.3561602199432955e-9
2,2301.0,2301.0,116.422,1.6072880096332938e-9
2,2321.0,2321.0,116.314,1.6048880465940363e-9
2,2341.0,2341.0,116.232,1.2280227720315357e-9
2,2361.0,2361.0,116.162,1.0565771611538291e-9
2,2381.0,2381.0,115.964,3.01044470010281e-9
2,2401.0,2401.0,115.866,1.500617999934789e-9
2,2421.0,2421.0,115.75,1.7893842743418668e-9
2,2441.0,2441.0,115.51,3.7270208556646595e-9
2,2461.0,2461.0,115.32,2.9692020161577137e-9
2,2481.0,2481.0,115.268,8.183688513188208e-10
2,2501.0,2501.0,115.098,2.6944074775827214e-9
2,2521.0,2521.0,115.089,1.436740812085762e-10
2,2541.0,2541.0,114.89,3.1991028538589877e-9
2,2561.0,2561.0,114.632,4.171919161327275e-9
2,2581.0,2581.0,114.534,1.5945808536854364e-9
2,2601.0,2601.0,114.376,2.5878820906065727e-9
2,2621.0,2621.0,114.238,2.274737097503464e-9
2,2641.0,2641.0,114.105,2.206429347088572e-9
2,2661.0,2661.0,113.996,1.820039620590789e-9
2,2681.0,2681.0,113.859,2.3022804452769536e-9
2,2701.0,2701.0,113.706,2.587043688917786e-9
2,2721.0,2721.0,113.61,1.6334733774399433e-9
2,2741.0,2741.0,113.499,1.900853469783723e-9
2,2761.0,2761.0,113.295,3.514070057081544e-9
2,2781.0,2781.0,113.192,1.7846940401714993e-9
2,2801.0,2801.0,113.085,1.865604494052765e-9
2,2821.0,2821.0,112.938,2.5784299460842392e-9
2,2841.0,2841.0,112.748,3.3512878692761774e-9
2,2861.0,2861.0,112.579,2.997092021262049e-9
2,2881.0,2881.0,112.467,1.9976291172827287e-9
2,2901.0,2901.0,112.377,1.6149304435429637e-9
2,2921.0,2921.0,112.199,3.212160091461694e-9
2,2941.0,2941.0,112.001,3.591518464779437e-9
2,2961.0,2961.0,111.963,6.932382223685578e-10
2,2981.0,2981.0,111.751,3.8893164507287065e-9
2,3001.0,3001.0,111.649,1.8811854737088856e-9
2,3041.0,3041.0,111.38,5.0189436285743475e-9
2,3081.0,3081.0,111.326,1.0192944426091732e-9
2,3101.0,3101.0,111.325,1.899366162949207e-11
2,3141.0,3141.0,111.164,3.0951709243796e-9
2,3181.0,3181.0,111.152,2.3345217020066435e-10
2,3201.0,3201.0,111.101,9.98126905622175e-10
2,3281.0,3281.0,111.071,6.015878968388943e-10
2,3301.0,3301.0,110.799,5.480185916708215e-9
2,3321.0,3321.0,110.548,5.075730067648784e-9
2,3341.0,3341.0,110.508,8.126827747259771e-10
2,3361.0,3361.0,110.401,2.185485756611125e-9
2,3381.0,3381.0,110.243,3.2424751799361406e-9
2,3401.0,3401.0,110.15,1.917651381320124e-9
2,3421.0,3421.0,110.081,1.430088440610595e-9
2,3441.0,3441.0,109.862,4.559541915554216e-9
2,3461.0,3461.0,109.598,5.5162403610239015e-9
2,3501.0,3501.0,109.417,3.817920019143858e-9
2,3521.0,3521.0,109.247,3.600597000417009e-9
2,3541.0,3541.0,109.196,1.0852168183961317e-9
2,3561.0,3561.0,109.028,3.5914187691265172e-9
2,3581.0,3581.0,109.006,4.725344811014935e-10
2,3621.0,3621.0,108.905,2.1923572899280487e-9
2,3641.0,3641.0,108.832,1.5920549539817584e-9
2,3661.0,3661.0,108.779,1.1615521786511726e-9
2,3681.0,3681.0,108.67,2.4001147765196617e-9
2,3701.0,3701.0,108.573,2.145452439083942e-9
2,3721.0,3721.0,108.514,1.3110757336755557e-9
2,3741.0,3741.0,108.478,8.039262548632411e-10
2,3781.0,3781.0,108.473,1.1282896869609292e-10
2,3801.0,3801.0,108.386,1.972771810579664e-9
2,3821.0,3821.0,108.294,2.0953953340235696e-9
2,4041.0,4041.0,108.047,5.940280010801094e-9
2,4061.0,4061.0,107.851,4.72737398153302e-9
2,4081.0,4081.0,107.716,3.267118761522491e-9
2,4101.0,4101.0,107.584,3.2061955785013945e-9
2,4121.0,4121.0,107.378,5.020116659241415e-9
2,4141.0,4141.0,107.23,3.618221364599722e-9
2,4161.0,4161.0,107.121,2.6744347601140847e-9
2,4181.0,4181.0,106.965,3.841274244025373e-9
2,4201.0,4201.0,106.795,4.199623180960124e-9
2,4221.0,4221.0,106.672,3.048831977299527e-9
2,4241.0,4241.0,106.608,1.5925044664556048e-9
2,4261.0,4261.0,106.507,2.5230694608504047e-9
2,4281.0,4281.0,106.361,3.6600813978858203e-9
2,4301.0,4301.0,106.223,3.4710541109261824e-9
2,4341.0,4341.0,106.036,4.7400157721103995e-9
2,4361.0,4361.0,105.951,2.1617054714118714e-9
2,4381.0,4381.0,105.897,1.378712337277615e-9
2,4401.0,4401.0,105.672,5.763259841399768e-9
2,4421.0,4421.0,105.611,1.5674625926967445e-9
2,4441.0,4441.0,105.509,2.6308288921404505e-9
2,4461.0,4461.0,105.385,3.209226820330977e-9
2,4481.0,4481.0,105.244,3.660955947187964e-9
2,4501.0,4501.0,105.099,3.776481481721239e-9
2,4521.0,4521.0,104.95,3.89245566165797e-9
2,4541.0,4541.0,104.799,3.956495068141286e-9
2,4561.0,4561.0,104.696,2.70740508119408e-9
2,4581.0,4581.0,104.593,2.7166031499505583e-9
3,6721.0,6721.0,90.896,4.95066975491896e-7
3,6721.0,6721.0,90.896,1.23319848111616e8
