fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
11,,,,232.0,-1493.218177411773,-1493.218177411773,1,1,140.626,0.0
259,,,,1924.0,-495.218177411773,-495.218177411773,249,1,140.602,0.0
262,,,,1940.0,-483.218177411773,-483.218177411773,252,1,140.575,0.0
263,,,,1946.0,-479.218177411773,-479.218177411773,253,1,140.508,0.0
264,,,,1951.0,-475.218177411773,-475.218177411773,254,1,140.494,0.0
265,,,,1956.0,-471.218177411773,-471.218177411773,255,1,140.493,0.0
269,,,,1973.0,-455.218177411773,-455.218177411773,259,1,140.46,0.0
270,,,,1977.0,-451.218177411773,-451.218177411773,260,1,140.402,0.0
275,,,,1985.0,-431.218177411773,-431.218177411773,265,1,140.309,0.0
276,,,,1986.0,-427.218177411773,-427.218177411773,266,1,140.213,0.0
277,,,,1987.0,-423.218177411773,-423.218177411773,267,1,140.125,0.0
278,,,,1987.0,-419.218177411773,-419.218177411773,268,1,140.057,0.0
279,,,,1988.0,-415.218177411773,-415.218177411773,269,1,140.032,0.0
282,,,,1992.0,-403.218177411773,-403.218177411773,272,1,139.988,0.0
283,,,,1993.0,-399.218177411773,-399.218177411773,273,1,139.93,0.0
286,,,,2000.0,-387.218177411773,-387.218177411773,276,1,139.921,0.0
287,,,,2001.0,-383.218177411773,-383.218177411773,277,1,139.848,0.0
288,,,,2003.0,-379.218177411773,-379.218177411773,278,1,139.832,0.0
423,,,,1914.0,163.781822588227,163.781822588227,413,1,139.8,0.0
424,,,,1917.0,167.781822588227,167.781822588227,414,1,139.778,0.0
427,,,,1928.0,179.781822588227,179.781822588227,417,1,139.694,0.0
428,,,,1933.0,183.781822588227,183.781822588227,418,1,139.622,0.0
432,,,,1948.0,199.781822588227,199.781822588227,422,1,139.584,0.0
433,,,,1951.0,203.781822588227,203.781822588227,423,1,139.488,0.0
434,,,,1954.0,207.781822588227,207.781822588227,424,1,139.418,0.0
435,,,,1956.0,211.781822588227,211.781822588227,425,1,139.396,0.0
761,,,,1513.0,1522.781822588227,1522.781822588227,751,1,139.343,0.0
762,,,,1525.0,1526.781822588227,1526.781822588227,752,1,139.302,0.0
766,,,,1574.0,1542.781822588227,1542.781822588227,756,1,139.264,0.0
767,,,,1586.0,1546.781822588227,1546.781822588227,757,1,139.184,0.0
768,,,,1598.0,1551.781822588227,1551.781822588227,758,1,139.166,0.0
775,,,,1665.0,1579.781822588227,1579.781822588227,765,1,139.156,0.0
776,,,,1676.0,1583.781822588227,1583.781822588227,766,1,139.131,0.0
780,,,,1725.0,1599.781822588227,1599.781822588227,770,1,139.062,0.0
781,,,,1739.0,1603.781822588227,1603.781822588227,771,1,139.019,0.0
785,,,,1788.0,1619.781822588227,1619.781822588227,775,1,138.961,0.0
788,,,,1819.0,1631.781822588227,1631.781822588227,778,1,138.895,0.0
789,,,,1829.0,1635.781822588227,1635.781822588227,779,1,138.859,0.0
792,,,,1859.0,1647.781822588227,1647.781822588227,782,1,138.791,0.0
