fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,,,,3007.259705535456,3007.259705535456,1,0,140.308,0.0
9,,,,3088.259705535456,3088.259705535456,9,0,140.307,0.0
10,,,,3098.259705535456,3098.259705535456,10,0,140.305,0.0
78,,,,3780.259705535456,3780.259705535456,36,1,140.203,0.0
79,,,,3790.259705535456,3790.259705535456,37,1,140.117,0.0
98,,,,3981.259705535456,3981.259705535456,56,1,140.094,0.0
100,,,,4001.259705535456,4001.259705535456,58,1,140.04,0.0
101,,,,4011.259705535456,4011.259705535456,59,1,140.029,0.0
102,,,,4021.259705535456,4021.259705535456,60,1,139.972,0.0
103,,,,4031.259705535456,4031.259705535456,61,1,139.946,0.0
104,,,,4041.259705535456,4041.259705535456,62,1,139.891,0.0
105,,,,4051.259705535456,4051.259705535456,63,1,139.836,0.0
106,,,,4061.259705535456,4061.259705535456,64,1,139.804,0.0
107,,,,4071.259705535456,4071.259705535456,65,1,139.746,0.0
108,,,,4081.259705535456,4081.259705535456,66,1,139.689,0.0
109,,,,4091.259705535456,4091.259705535456,67,1,139.676,0.0
110,,,,4101.259705535456,4101.259705535456,68,1,139.669,0.0
111,,,,4111.259705535456,4111.259705535456,69,1,139.539,0.0
113,,,,4131.259705535456,4131.259705535456,71,1,139.52,0.0
114,,,,4141.259705535456,4141.259705535456,72,1,139.482,0.0
116,,,,4161.259705535456,4161.259705535456,74,1,139.443,0.0
118,,,,4182.259705535456,4182.259705535456,76,1,139.335,0.0
119,,,,4192.259705535456,4192.259705535456,77,1,139.33,0.0
127,,,,4272.259705535456,4272.259705535456,85,1,139.325,0.0
128,,,,4282.259705535456,4282.259705535456,86,1,139.235,0.0
129,,,,4292.259705535456,4292.259705535456,87,1,139.215,0.0
132,,,,4322.259705535456,4322.259705535456,90,1,139.153,0.0
133,,,,4332.259705535456,4332.259705535456,91,1,139.058,0.0
134,,,,4342.259705535456,4342.259705535456,92,1,138.992,0.0
135,,,,4352.259705535456,4352.259705535456,93,1,138.894,0.0
136,,,,4362.259705535456,4362.259705535456,94,1,138.816,0.0
137,,,,4372.259705535456,4372.259705535456,95,1,138.799,0.0
138,,,,4382.259705535456,4382.259705535456,96,1,138.736,0.0
139,,,,4392.259705535456,4392.259705535456,97,1,138.672,0.0
140,,,,4402.259705535456,4402.259705535456,98,1,138.566,0.0
141,,,,4412.259705535456,4412.259705535456,99,1,138.537,0.0
142,,,,4422.259705535456,4422.259705535456,100,1,138.361,0.0
143,,,,4432.259705535456,4432.259705535456,101,1,138.314,0.0
144,,,,4442.259705535456,4442.259705535456,102,1,138.283,0.0
145,,,,4452.259705535456,4452.259705535456,103,1,138.226,0.0
148,,,,4483.259705535456,4483.259705535456,106,1,138.224,0.0
153,,,,4533.259705535456,4533.259705535456,111,1,138.082,0.0
154,,,,4543.259705535456,4543.259705535456,112,1,137.926,0.0
155,,,,4553.259705535456,4553.259705535456,113,1,137.894,0.0
156,,,,4563.259705535456,4563.259705535456,114,1,137.834,0.0
158,,,,4583.259705535456,4583.259705535456,116,1,137.764,0.0
160,,,,4603.259705535456,4603.259705535456,118,1,137.756,0.0
161,,,,4612.259705535456,4612.259705535456,119,1,137.621,0.0
162,,,,4623.259705535456,4623.259705535456,120,1,137.528,0.0
163,,,,4633.259705535456,4633.259705535456,121,1,137.5,0.0
164,,,,4643.259705535456,4643.259705535456,122,1,137.383,0.0
165,,,,4653.259705535456,4653.259705535456,123,1,137.364,0.0
166,,,,4663.259705535456,4663.259705535456,124,1,137.207,0.0
168,,,,4683.259705535456,4683.259705535456,126,1,137.065,0.0
170,,,,4703.259705535456,4703.259705535456,128,1,136.893,0.0
171,,,,4713.259705535456,4713.259705535456,129,1,136.891,0.0
172,,,,4723.259705535456,4723.259705535456,130,1,136.73,0.0
174,,,,4743.259705535456,4743.259705535456,132,1,136.696,0.0
175,,,,4753.259705535456,4753.259705535456,133,1,136.686,0.0
178,,,,4784.259705535456,4784.259705535456,136,1,136.621,0.0
179,,,,4794.259705535456,4794.259705535456,137,1,136.601,0.0
180,,,,4804.259705535456,4804.259705535456,138,1,136.509,0.0
181,,,,4814.259705535456,4814.259705535456,139,1,136.491,0.0
182,,,,4824.259705535456,4824.259705535456,140,1,136.351,0.0
184,,,,4844.259705535456,4844.259705535456,142,1,136.234,0.0
185,,,,4854.259705535456,4854.259705535456,143,1,136.233,0.0
186,,,,4864.259705535456,4864.259705535456,144,1,136.185,0.0
187,,,,4874.259705535456,4874.259705535456,145,1,136.028,0.0
189,,,,4894.259705535456,4894.259705535456,147,1,135.889,0.0
190,,,,4904.259705535456,4904.259705535456,148,1,135.868,0.0
191,,,,4914.259705535456,4914.259705535456,149,1,135.73,0.0
192,,,,4924.259705535456,4924.259705535456,150,1,135.682,0.0
193,,,,4934.259705535456,4934.259705535456,151,1,135.601,0.0
194,,,,4944.259705535456,4944.259705535456,152,1,135.533,0.0
195,,,,4954.259705535456,4954.259705535456,153,1,135.488,0.0
196,,,,4964.259705535456,4964.259705535456,154,1,135.367,0.0
197,,,,4974.259705535456,4974.259705535456,155,1,135.257,0.0
198,,,,4984.259705535456,4984.259705535456,156,1,135.152,0.0
199,,,,4994.259705535456,4994.259705535456,157,1,135.144,0.0
203,,,,5034.259705535456,5034.259705535456,161,1,135.097,0.0
205,,,,5054.259705535456,5054.259705535456,163,1,135.094,0.0
206,,,,5064.259705535456,5064.259705535456,164,1,135.0,0.0
207,,,,5075.259705535456,5075.259705535456,165,1,134.91,0.0
208,,,,5084.259705535456,5084.259705535456,166,1,134.895,0.0
209,,,,5095.259705535456,5095.259705535456,167,1,134.779,0.0
210,,,,5105.259705535456,5105.259705535456,168,1,134.757,0.0
211,,,,5114.259705535456,5114.259705535456,169,1,134.738,0.0
217,,,,5175.259705535456,5175.259705535456,175,1,134.635,0.0
218,,,,5185.259705535456,5185.259705535456,176,1,134.627,0.0
219,,,,5195.259705535456,5195.259705535456,177,1,134.476,0.0
221,,,,5215.259705535456,5215.259705535456,179,1,134.364,0.0
222,,,,5225.259705535456,5225.259705535456,180,1,134.334,0.0
223,,,,5235.259705535456,5235.259705535456,181,1,134.275,0.0
224,,,,5245.259705535456,5245.259705535456,182,1,134.263,0.0
226,,,,5265.259705535456,5265.259705535456,184,1,134.181,0.0
228,,,,5285.259705535456,5285.259705535456,186,1,134.135,0.0
229,,,,5295.259705535456,5295.259705535456,187,1,134.1,0.0
230,,,,5305.259705535456,5305.259705535456,188,1,134.018,0.0
231,,,,5315.259705535456,5315.259705535456,189,1,133.941,0.0
235,,,,5356.259705535456,5356.259705535456,193,1,133.823,0.0
236,,,,5366.259705535456,5366.259705535456,194,1,133.694,0.0
237,,,,5376.259705535456,5376.259705535456,195,1,133.654,0.0
238,,,,5386.259705535456,5386.259705535456,196,1,133.529,0.0
239,,,,5396.259705535456,5396.259705535456,197,1,133.494,0.0
243,,,,5436.259705535456,5436.259705535456,201,1,133.487,0.0
244,,,,5446.259705535456,5446.259705535456,202,1,133.382,0.0
245,,,,5456.259705535456,5456.259705535456,203,1,133.249,0.0
247,,,,5476.259705535456,5476.259705535456,205,1,133.116,0.0
248,,,,5485.259705535456,5485.259705535456,206,1,133.088,0.0
249,,,,5496.259705535456,5496.259705535456,207,1,133.029,0.0
250,,,,5506.259705535456,5506.259705535456,208,1,132.932,0.0
251,,,,5516.259705535456,5516.259705535456,209,1,132.854,0.0
252,,,,5526.259705535456,5526.259705535456,210,1,132.829,0.0
253,,,,5536.259705535456,5536.259705535456,211,1,132.711,0.0
254,,,,5546.259705535456,5546.259705535456,212,1,132.684,0.0
255,,,,5556.259705535456,5556.259705535456,213,1,132.663,0.0
256,,,,5566.259705535456,5566.259705535456,214,1,132.523,0.0
258,,,,5586.259705535456,5586.259705535456,216,1,132.422,0.0
259,,,,5596.259705535456,5596.259705535456,217,1,132.421,0.0
260,,,,5606.259705535456,5606.259705535456,218,1,132.32,0.0
261,,,,5616.259705535456,5616.259705535456,219,1,132.227,0.0
263,,,,5636.259705535456,5636.259705535456,221,1,132.154,0.0
264,,,,5646.259705535456,5646.259705535456,222,1,132.144,0.0
265,,,,5656.259705535456,5656.259705535456,223,1,132.109,0.0
266,,,,5667.259705535456,5667.259705535456,224,1,132.046,0.0
268,,,,5687.259705535456,5687.259705535456,226,1,131.975,0.0
270,,,,5707.259705535456,5707.259705535456,228,1,131.896,0.0
272,,,,5727.259705535456,5727.259705535456,230,1,131.825,0.0
273,,,,5737.259705535456,5737.259705535456,231,1,131.824,0.0
274,,,,5747.259705535456,5747.259705535456,232,1,131.815,0.0
275,,,,5757.259705535456,5757.259705535456,233,1,131.734,0.0
