fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
27,,,,-840.740294464544,-840.740294464544,1,0,140.319,0.0
171,,,,-405.740294464544,-405.740294464544,133,1,140.315,0.0
172,,,,-402.740294464544,-402.740294464544,134,1,140.284,0.0
173,,,,-399.740294464544,-399.740294464544,135,1,140.277,0.0
174,,,,-396.740294464544,-396.740294464544,136,1,140.243,0.0
175,,,,-393.740294464544,-393.740294464544,137,1,140.217,0.0
177,,,,-387.740294464544,-387.740294464544,139,1,140.195,0.0
178,,,,-383.740294464544,-383.740294464544,140,1,140.158,0.0
180,,,,-377.740294464544,-377.740294464544,142,1,140.149,0.0
181,,,,-374.740294464544,-374.740294464544,143,1,140.107,0.0
182,,,,-371.740294464544,-371.740294464544,144,1,140.089,0.0
183,,,,-368.740294464544,-368.740294464544,145,1,140.071,0.0
184,,,,-365.740294464544,-365.740294464544,146,1,140.027,0.0
185,,,,-362.740294464544,-362.740294464544,147,1,140.005,0.0
186,,,,-359.740294464544,-359.740294464544,148,1,140.002,0.0
187,,,,-356.740294464544,-356.740294464544,149,1,139.979,0.0
188,,,,-353.740294464544,-353.740294464544,150,1,139.95,0.0
190,,,,-347.740294464544,-347.740294464544,152,1,139.948,0.0
191,,,,-344.740294464544,-344.740294464544,153,1,139.919,0.0
193,,,,-338.740294464544,-338.740294464544,155,1,139.914,0.0
194,,,,-335.740294464544,-335.740294464544,156,1,139.881,0.0
195,,,,-332.740294464544,-332.740294464544,157,1,139.876,0.0
197,,,,-326.740294464544,-326.740294464544,159,1,139.854,0.0
198,,,,-323.740294464544,-323.740294464544,160,1,139.831,0.0
200,,,,-317.740294464544,-317.740294464544,162,1,139.822,0.0
201,,,,-314.740294464544,-314.740294464544,163,1,139.795,0.0
211,,,,-284.740294464544,-284.740294464544,173,1,139.78,0.0
212,,,,-281.740294464544,-281.740294464544,174,1,139.775,0.0
214,,,,-275.740294464544,-275.740294464544,176,1,139.763,0.0
215,,,,-272.740294464544,-272.740294464544,177,1,139.744,0.0
218,,,,-263.740294464544,-263.740294464544,180,1,139.719,0.0
221,,,,-254.740294464544,-254.740294464544,183,1,139.7,0.0
222,,,,-251.740294464544,-251.740294464544,184,1,139.68,0.0
226,,,,-239.740294464544,-239.740294464544,188,1,139.641,0.0
227,,,,-236.740294464544,-236.740294464544,189,1,139.595,0.0
228,,,,-233.740294464544,-233.740294464544,190,1,139.591,0.0
232,,,,-221.740294464544,-221.740294464544,194,1,139.577,0.0
236,,,,-209.740294464544,-209.740294464544,198,1,139.53,0.0
237,,,,-206.740294464544,-206.740294464544,199,1,139.484,0.0
238,,,,-203.740294464544,-203.740294464544,200,1,139.468,0.0
243,,,,-188.740294464544,-188.740294464544,205,1,139.428,0.0
244,,,,-185.740294464544,-185.740294464544,206,1,139.412,0.0
250,,,,-167.740294464544,-167.740294464544,212,1,139.362,0.0
251,,,,-164.740294464544,-164.740294464544,213,1,139.328,0.0
253,,,,-158.740294464544,-158.740294464544,215,1,139.326,0.0
254,,,,-155.740294464544,-155.740294464544,216,1,139.292,0.0
255,,,,-152.740294464544,-152.740294464544,217,1,139.279,0.0
258,,,,-143.740294464544,-143.740294464544,220,1,139.259,0.0
262,,,,-131.740294464544,-131.740294464544,224,1,139.221,0.0
263,,,,-128.740294464544,-128.740294464544,225,1,139.217,0.0
266,,,,-119.740294464544,-119.740294464544,228,1,139.205,0.0
267,,,,-116.740294464544,-116.740294464544,229,1,139.183,0.0
271,,,,-103.740294464544,-103.740294464544,233,1,139.171,0.0
272,,,,-100.740294464544,-100.740294464544,234,1,139.153,0.0
277,,,,-85.740294464544,-85.740294464544,239,1,139.133,0.0
284,,,,-64.740294464544,-64.740294464544,246,1,139.108,0.0
304,,,,-4.740294464544,-4.740294464544,266,1,139.092,0.0
305,,,,-1.740294464544,-1.740294464544,267,1,139.056,0.0
306,,,,1.259705535456,1.259705535456,268,1,139.021,0.0
307,,,,4.259705535456,4.259705535456,269,1,138.997,0.0
308,,,,7.259705535456,7.259705535456,270,1,138.986,0.0
309,,,,10.259705535456,10.259705535456,271,1,138.977,0.0
310,,,,13.259705535456,13.259705535456,272,1,138.97,0.0
311,,,,16.259705535456,16.259705535456,273,1,138.964,0.0
389,,,,250.259705535456,250.259705535456,351,1,138.961,0.0
390,,,,253.259705535456,253.259705535456,352,1,138.946,0.0
391,,,,256.259705535456,256.259705535456,353,1,138.916,0.0
392,,,,259.259705535456,259.259705535456,354,1,138.885,0.0
393,,,,262.259705535456,262.259705535456,355,1,138.854,0.0
394,,,,265.259705535456,265.259705535456,356,1,138.844,0.0
396,,,,271.259705535456,271.259705535456,358,1,138.838,0.0
397,,,,274.259705535456,274.259705535456,359,1,138.795,0.0
398,,,,277.259705535456,277.259705535456,360,1,138.765,0.0
399,,,,280.259705535456,280.259705535456,361,1,138.756,0.0
400,,,,283.259705535456,283.259705535456,362,1,138.715,0.0
401,,,,286.259705535456,286.259705535456,363,1,138.67,0.0
402,,,,289.259705535456,289.259705535456,364,1,138.664,0.0
