leg,tickLead,tickRace,distance,area
1,972.0,972.0,216.844,0.0
1,1040.0,1040.0,216.798,0.0
1,1044.0,1044.0,216.71,0.0
1,1048.0,1048.0,216.632,0.0
1,1052.0,1052.0,216.566,0.0
1,1056.0,1056.0,216.524,0.0
1,1060.0,1060.0,216.502,0.0
1,1068.0,1068.0,216.271,0.0
1,1160.0,1160.0,216.25,0.0
1,1164.0,1164.0,216.169,0.0
1,1168.0,1168.0,216.112,0.0
1,1172.0,1172.0,216.077,0.0
1,1176.0,1176.0,216.062,0.0
1,1228.0,1228.0,216.061,0.0
1,1232.0,1232.0,216.036,0.0
1,1252.0,1252.0,216.011,0.0
1,1280.0,1280.0,216.01,0.0
1,1288.0,1288.0,215.983,0.0
1,1292.0,1292.0,215.921,0.0
1,1296.0,1296.0,215.907,0.0
1,1376.0,1376.0,215.899,0.0
1,1380.0,1380.0,215.892,0.0
1,1392.0,1392.0,215.861,0.0
1,1396.0,1396.0,215.848,0.0
1,1412.0,1412.0,215.809,0.0
1,1428.0,1428.0,215.778,0.0
1,1444.0,1444.0,215.752,0.0
1,1448.0,1448.0,215.735,0.0
1,1468.0,1468.0,215.724,0.0
1,1472.0,1472.0,215.687,0.0
1,1492.0,1492.0,215.649,0.0
1,1496.0,1496.0,215.58,0.0
1,1512.0,1512.0,215.577,0.0
1,1524.0,1524.0,215.574,0.0
1,1528.0,1528.0,215.535,0.0
1,1544.0,1544.0,215.523,0.0
1,1548.0,1548.0,215.485,0.0
1,1568.0,1568.0,215.478,0.0
1,1592.0,1592.0,215.419,0.0
1,1616.0,1616.0,215.401,0.0
1,1620.0,1620.0,215.343,0.0
1,1624.0,1624.0,215.284,0.0
1,1628.0,1628.0,215.217,0.0
1,1632.0,1632.0,215.162,0.0
1,1636.0,1636.0,215.108,0.0
1,1640.0,1640.0,215.057,0.0
1,1644.0,1644.0,215.01,0.0
1,1648.0,1648.0,214.953,0.0
1,1652.0,1652.0,214.874,0.0
1,1656.0,1656.0,214.791,0.0
1,1660.0,1660.0,214.716,0.0
1,1664.0,1664.0,214.651,0.0
1,1668.0,1668.0,214.594,0.0
1,1672.0,1672.0,214.554,0.0
1,1676.0,1676.0,214.521,0.0
1,1680.0,1680.0,214.469,0.0
1,1684.0,1684.0,214.417,0.0
1,1688.0,1688.0,214.364,0.0
1,1692.0,1692.0,214.301,0.0
1,1696.0,1696.0,214.238,0.0
1,1700.0,1700.0,214.172,0.0
1,1704.0,1704.0,214.107,0.0
1,1708.0,1708.0,214.045,0.0
1,1712.0,1712.0,213.979,0.0
1,1716.0,1716.0,213.912,0.0
1,1720.0,1720.0,213.837,0.0
1,1724.0,1724.0,213.762,0.0
1,1728.0,1728.0,213.69,0.0
1,1732.0,1732.0,213.631,0.0
1,1736.0,1736.0,213.571,0.0
1,1740.0,1740.0,213.52,0.0
1,1744.0,1744.0,213.481,0.0
1,1748.0,1748.0,213.439,0.0
1,1752.0,1752.0,213.392,0.0
1,1756.0,1756.0,213.341,0.0
1,1760.0,1760.0,213.296,0.0
1,1764.0,1764.0,213.257,0.0
1,1768.0,1768.0,213.208,0.0
1,1772.0,1772.0,213.143,0.0
1,1776.0,1776.0,213.08,0.0
1,1780.0,1780.0,213.026,0.0
1,1784.0,1784.0,212.975,0.0
1,1788.0,1788.0,212.918,0.0
1,1792.0,1792.0,212.853,0.0
1,1796.0,1796.0,212.791,0.0
1,1800.0,1800.0,212.731,0.0
1,1804.0,1804.0,212.673,0.0
1,1808.0,1808.0,212.625,0.0
1,1812.0,1812.0,212.584,0.0
1,1816.0,1816.0,212.534,0.0
1,1820.0,1820.0,212.474,0.0
1,1824.0,1824.0,212.413,0.0
1,1828.0,1828.0,212.347,0.0
1,1832.0,1832.0,212.287,0.0
1,1836.0,1836.0,212.215,0.0
1,1840.0,1840.0,212.142,0.0
1,1844.0,1844.0,212.079,0.0
1,1848.0,1848.0,212.022,0.0
1,1852.0,1852.0,211.96,0.0
1,1856.0,1856.0,211.888,0.0
1,1860.0,1860.0,211.806,0.0
1,1864.0,1864.0,211.719,0.0
1,1868.0,1868.0,211.644,0.0
1,1872.0,1872.0,211.584,0.0
1,1876.0,1876.0,211.516,0.0
1,1880.0,1880.0,211.433,0.0
1,1884.0,1884.0,211.364,0.0
1,1888.0,1888.0,211.32,0.0
1,1892.0,1892.0,211.306,0.0
1,1896.0,1896.0,211.303,0.0
1,1900.0,1900.0,211.289,0.0
1,1904.0,1904.0,211.275,0.0
1,1908.0,1908.0,211.261,0.0
1,1912.0,1912.0,211.249,0.0
1,1916.0,1916.0,211.24,0.0
1,1920.0,1920.0,211.231,0.0
1,1952.0,1952.0,211.176,0.0
1,1956.0,1956.0,211.105,0.0
1,1960.0,1960.0,211.063,0.0
1,1980.0,1980.0,211.012,0.0
1,1984.0,1984.0,210.986,0.0
1,1992.0,1992.0,210.985,0.0
1,1996.0,1996.0,210.92,0.0
1,2000.0,2000.0,210.901,0.0
1,2012.0,2012.0,210.856,0.0
1,2016.0,2016.0,210.802,0.0
1,2028.0,2028.0,210.781,0.0
1,2032.0,2032.0,210.71,0.0
1,2036.0,2036.0,210.686,0.0
1,2048.0,2048.0,210.622,0.0
1,2052.0,2052.0,210.58,0.0
1,2064.0,2064.0,210.575,0.0
1,2068.0,2068.0,210.5,0.0
1,2072.0,2072.0,210.455,0.0
1,2084.0,2084.0,210.414,0.0
1,2088.0,2088.0,210.344,0.0
1,2092.0,2092.0,210.327,0.0
1,2112.0,2112.0,210.303,0.0
1,2116.0,2116.0,210.243,0.0
