fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
131,,,,-2864.0,-2864.0,1,1,216.848,0.0
375,,,,-1644.0,-1644.0,245,1,216.802,0.0
376,,,,-1639.0,-1639.0,246,1,216.72,0.0
377,,,,-1634.0,-1634.0,247,1,216.633,0.0
378,,,,-1629.0,-1629.0,248,1,216.574,0.0
388,,,,-1579.0,-1579.0,258,1,216.519,0.0
389,,,,-1574.0,-1574.0,259,1,216.443,0.0
390,,,,-1569.0,-1569.0,260,1,216.345,0.0
391,,,,-1564.0,-1564.0,261,1,216.286,0.0
392,,,,-1559.0,-1559.0,262,1,216.278,0.0
401,,,,-1514.0,-1514.0,271,1,216.269,0.0
402,,,,-1509.0,-1509.0,272,1,216.242,0.0
403,,,,-1504.0,-1504.0,273,1,216.222,0.0
404,,,,-1499.0,-1499.0,274,1,216.209,0.0
405,,,,-1494.0,-1494.0,275,1,216.193,0.0
406,,,,-1489.0,-1489.0,276,1,216.176,0.0
407,,,,-1484.0,-1484.0,277,1,216.158,0.0
408,,,,-1479.0,-1479.0,278,1,216.143,0.0
409,,,,-1474.0,-1474.0,279,1,216.128,0.0
410,,,,-1469.0,-1469.0,280,1,216.103,0.0
411,,,,-1464.0,-1464.0,281,1,216.073,0.0
412,,,,-1459.0,-1459.0,282,1,216.052,0.0
413,,,,-1454.0,-1454.0,283,1,216.035,0.0
414,,,,-1449.0,-1449.0,284,1,216.032,0.0
415,,,,-1444.0,-1444.0,285,1,216.029,0.0
416,,,,-1439.0,-1439.0,286,1,216.02,0.0
417,,,,-1434.0,-1434.0,287,1,216.008,0.0
418,,,,-1429.0,-1429.0,288,1,215.995,0.0
419,,,,-1424.0,-1424.0,289,1,215.981,0.0
420,,,,-1419.0,-1419.0,290,1,215.979,0.0
684,,,,-99.0,-99.0,554,1,215.96,0.0
685,,,,-94.0,-94.0,555,1,215.926,0.0
688,,,,-79.0,-79.0,558,1,215.878,0.0
689,,,,-74.0,-74.0,559,1,215.872,0.0
690,,,,-69.0,-69.0,560,1,215.827,0.0
691,,,,-64.0,-64.0,561,1,215.758,0.0
692,,,,-59.0,-59.0,562,1,215.725,0.0
693,,,,-54.0,-54.0,563,1,215.716,0.0
694,,,,-49.0,-49.0,564,1,215.71,0.0
741,,,,186.0,186.0,611,1,215.668,0.0
742,,,,191.0,191.0,612,1,215.616,0.0
743,,,,196.0,196.0,613,1,215.545,0.0
744,,,,201.0,201.0,614,1,215.477,0.0
745,,,,206.0,206.0,615,1,215.419,0.0
746,,,,211.0,211.0,616,1,215.378,0.0
747,,,,216.0,216.0,617,1,215.338,0.0
748,,,,221.0,221.0,618,1,215.278,0.0
749,,,,226.0,226.0,619,1,215.208,0.0
750,,,,231.0,231.0,620,1,215.147,0.0
751,,,,236.0,236.0,621,1,215.087,0.0
752,,,,241.0,241.0,622,1,214.995,0.0
753,,,,246.0,246.0,623,1,214.899,0.0
754,,,,251.0,251.0,624,1,214.813,0.0
755,,,,256.0,256.0,625,1,214.739,0.0
756,,,,261.0,261.0,626,1,214.668,0.0
757,,,,266.0,266.0,627,1,214.575,0.0
758,,,,271.0,271.0,628,1,214.481,0.0
759,,,,276.0,276.0,629,1,214.415,0.0
762,,,,291.0,291.0,632,1,214.35,0.0
763,,,,296.0,296.0,633,1,214.348,0.0
766,,,,311.0,311.0,636,1,214.27,0.0
767,,,,316.0,316.0,637,1,214.207,0.0
772,,,,341.0,341.0,642,1,214.156,0.0
774,,,,351.0,351.0,644,1,214.15,0.0
777,,,,366.0,366.0,647,1,214.13,0.0
778,,,,371.0,371.0,648,1,214.096,0.0
781,,,,386.0,386.0,651,1,214.008,0.0
782,,,,391.0,391.0,652,1,213.95,0.0
785,,,,406.0,406.0,655,1,213.92,0.0
786,,,,411.0,411.0,656,1,213.914,0.0
789,,,,426.0,426.0,659,1,213.827,0.0
790,,,,431.0,431.0,660,1,213.755,0.0
791,,,,436.0,436.0,661,1,213.66,0.0
792,,,,441.0,441.0,662,1,213.586,0.0
793,,,,446.0,446.0,663,1,213.582,0.0
795,,,,456.0,456.0,665,1,213.525,0.0
796,,,,461.0,461.0,666,1,213.464,0.0
799,,,,476.0,476.0,669,1,213.458,0.0
800,,,,481.0,481.0,670,1,213.407,0.0
806,,,,511.0,511.0,676,1,213.338,0.0
807,,,,516.0,516.0,677,1,213.276,0.0
808,,,,521.0,521.0,678,1,213.248,0.0
809,,,,526.0,526.0,679,1,213.196,0.0
810,,,,531.0,531.0,680,1,213.153,0.0
811,,,,536.0,536.0,681,1,213.141,0.0
813,,,,546.0,546.0,683,1,213.111,0.0
814,,,,551.0,551.0,684,1,213.097,0.0
837,,,,666.0,666.0,707,1,213.084,0.0
838,,,,671.0,671.0,708,1,213.001,0.0
839,,,,676.0,676.0,709,1,212.976,0.0
846,,,,711.0,711.0,716,1,212.956,0.0
847,,,,716.0,716.0,717,1,212.856,0.0
848,,,,721.0,721.0,718,1,212.746,0.0
849,,,,726.0,726.0,719,1,212.654,0.0
850,,,,731.0,731.0,720,1,212.608,0.0
853,,,,746.0,746.0,723,1,212.607,0.0
854,,,,751.0,751.0,724,1,212.572,0.0
871,,,,836.0,836.0,741,1,212.565,0.0
872,,,,841.0,841.0,742,1,212.496,0.0
873,,,,846.0,846.0,743,1,212.467,0.0
874,,,,851.0,851.0,744,1,212.423,0.0
892,,,,941.0,941.0,762,1,212.365,0.0
893,,,,946.0,946.0,763,1,212.297,0.0
894,,,,951.0,951.0,764,1,212.234,0.0
895,,,,956.0,956.0,765,1,212.169,0.0
896,,,,961.0,961.0,766,1,212.106,0.0
897,,,,966.0,966.0,767,1,212.1,0.0
898,,,,971.0,971.0,768,1,212.055,0.0
899,,,,976.0,976.0,769,1,212.027,0.0
900,,,,981.0,981.0,770,1,211.905,0.0
901,,,,986.0,986.0,771,1,211.898,0.0
902,,,,991.0,991.0,772,1,211.867,0.0
903,,,,996.0,996.0,773,1,211.839,0.0
904,,,,1001.0,1001.0,774,1,211.821,0.0
905,,,,1006.0,1006.0,775,1,211.797,0.0
906,,,,1011.0,1011.0,776,1,211.773,0.0
907,,,,1016.0,1016.0,777,1,211.765,0.0
912,,,,1041.0,1041.0,782,1,211.724,0.0
913,,,,1046.0,1046.0,783,1,211.636,0.0
914,,,,1051.0,1051.0,784,1,211.543,0.0
915,,,,1056.0,1056.0,785,1,211.451,0.0
916,,,,1061.0,1061.0,786,1,211.376,0.0
917,,,,1066.0,1066.0,787,1,211.347,0.0
919,,,,1076.0,1076.0,789,1,211.343,0.0
920,,,,1081.0,1081.0,790,1,211.322,0.0
921,,,,1086.0,1086.0,791,1,211.296,0.0
922,,,,1091.0,1091.0,792,1,211.255,0.0
923,,,,1096.0,1096.0,793,1,211.215,0.0
924,,,,1101.0,1101.0,794,1,211.161,0.0
925,,,,1106.0,1106.0,795,1,211.083,0.0
926,,,,1111.0,1111.0,796,1,211.009,0.0
927,,,,1116.0,1116.0,797,1,210.988,0.0
940,,,,1181.0,1181.0,810,1,210.961,0.0
941,,,,1186.0,1186.0,811,1,210.882,0.0
942,,,,1191.0,1191.0,812,1,210.828,0.0
946,,,,1211.0,1211.0,816,1,210.785,0.0
947,,,,1216.0,1216.0,817,1,210.703,0.0
948,,,,1221.0,1221.0,818,1,210.669,0.0
954,,,,1251.0,1251.0,824,1,210.606,0.0
955,,,,1256.0,1256.0,825,1,210.514,0.0
956,,,,1261.0,1261.0,826,1,210.448,0.0
957,,,,1266.0,1266.0,827,1,210.421,0.0
958,,,,1271.0,1271.0,828,1,210.416,0.0
1003,,,,1496.0,1496.0,873,1,210.404,0.0
1004,,,,1501.0,1501.0,874,1,210.329,0.0
1005,,,,1506.0,1506.0,875,1,210.251,0.0
1006,,,,1511.0,1511.0,876,1,210.19,0.0
1007,,,,1516.0,1516.0,877,1,210.153,0.0
1008,,,,1521.0,1521.0,878,1,210.126,0.0
1009,,,,1526.0,1526.0,879,1,210.058,0.0
1010,,,,1531.0,1531.0,880,1,209.988,0.0
1011,,,,1536.0,1536.0,881,1,209.957,0.0
1014,,,,1551.0,1551.0,884,1,209.931,0.0
1015,,,,1556.0,1556.0,885,1,209.843,0.0
1016,,,,1561.0,1561.0,886,1,209.769,0.0
1021,,,,1586.0,1586.0,891,1,209.697,0.0
1022,,,,1591.0,1591.0,892,1,209.633,0.0
1023,,,,1596.0,1596.0,893,1,209.632,0.0
1026,,,,1611.0,1611.0,896,1,209.56,0.0
1027,,,,1616.0,1616.0,897,1,209.477,0.0
1028,,,,1621.0,1621.0,898,1,209.42,0.0
1029,,,,1626.0,1626.0,899,1,209.408,0.0
1034,,,,1651.0,1651.0,904,1,209.367,0.0
1035,,,,1656.0,1656.0,905,1,209.297,0.0
1036,,,,1661.0,1661.0,906,1,209.24,0.0
1037,,,,1666.0,1666.0,907,1,209.194,0.0
1038,,,,1671.0,1671.0,908,1,209.13,0.0
1039,,,,1676.0,1676.0,909,1,209.058,0.0
1040,,,,1681.0,1681.0,910,1,208.993,0.0
1041,,,,1686.0,1686.0,911,1,208.94,0.0
1042,,,,1691.0,1691.0,912,1,208.879,0.0
1043,,,,1696.0,1696.0,913,1,208.812,0.0
1044,,,,1701.0,1701.0,914,1,208.748,0.0
1045,,,,1706.0,1706.0,915,1,208.692,0.0
1046,,,,1711.0,1711.0,916,1,208.632,0.0
1047,,,,1716.0,1716.0,917,1,208.556,0.0
1048,,,,1721.0,1721.0,918,1,208.48,0.0
1049,,,,1726.0,1726.0,919,1,208.412,0.0
1050,,,,1731.0,1731.0,920,1,208.355,0.0
1051,,,,1736.0,1736.0,921,1,208.272,0.0
1052,,,,1741.0,1741.0,922,1,208.215,0.0
1053,,,,1746.0,1746.0,923,1,208.162,0.0
1054,,,,1751.0,1751.0,924,1,208.11,0.0
1055,,,,1756.0,1756.0,925,1,208.073,0.0
1058,,,,1771.0,1771.0,928,1,207.994,0.0
1061,,,,1786.0,1786.0,931,1,207.929,0.0
1062,,,,1791.0,1791.0,932,1,207.919,0.0
1064,,,,1801.0,1801.0,934,1,207.839,0.0
1065,,,,1806.0,1806.0,935,1,207.805,0.0
1067,,,,1816.0,1816.0,937,1,207.774,0.0
1068,,,,1821.0,1821.0,938,1,207.706,0.0
1072,,,,1841.0,1841.0,942,1,207.633,0.0
1075,,,,1856.0,1856.0,945,1,207.587,0.0
1076,,,,1861.0,1861.0,946,1,207.541,0.0
1079,,,,1876.0,1876.0,949,1,207.521,0.0
1080,,,,1881.0,1881.0,950,1,207.453,0.0
1083,,,,1896.0,1896.0,953,1,207.445,0.0
1084,,,,1901.0,1901.0,954,1,207.348,0.0
1085,,,,1906.0,1906.0,955,1,207.341,0.0
1087,,,,1916.0,1916.0,957,1,207.313,0.0
1088,,,,1921.0,1921.0,958,1,207.225,0.0
1089,,,,1926.0,1926.0,959,1,207.161,0.0
1095,,,,1956.0,1956.0,965,1,207.116,0.0
1096,,,,1961.0,1961.0,966,1,207.04,0.0
1097,,,,1966.0,1966.0,967,1,206.937,0.0
1098,,,,1971.0,1971.0,968,1,206.857,0.0
1099,,,,1976.0,1976.0,969,1,206.792,0.0
1100,,,,1981.0,1981.0,970,1,206.727,0.0
1101,,,,1986.0,1986.0,971,1,206.667,0.0
1102,,,,1991.0,1991.0,972,1,206.602,0.0
1103,,,,1996.0,1996.0,973,1,206.531,0.0
1104,,,,2001.0,2001.0,974,1,206.446,0.0
1105,,,,2006.0,2006.0,975,1,206.356,0.0
1106,,,,2011.0,2011.0,976,1,206.273,0.0
1107,,,,2016.0,2016.0,977,1,206.196,0.0
1108,,,,2021.0,2021.0,978,1,206.128,0.0
1109,,,,2026.0,2026.0,979,1,206.069,0.0
1110,,,,2031.0,2031.0,980,1,205.991,0.0
1111,,,,2036.0,2036.0,981,1,205.921,0.0
1112,,,,2041.0,2041.0,982,1,205.877,0.0
1113,,,,2046.0,2046.0,983,1,205.841,0.0
1114,,,,2051.0,2051.0,984,1,205.793,0.0
1115,,,,2056.0,2056.0,985,1,205.762,0.0
1116,,,,2061.0,2061.0,986,1,205.724,0.0
1117,,,,2066.0,2066.0,987,1,205.682,0.0
1118,,,,2071.0,2071.0,988,1,205.634,0.0
1119,,,,2076.0,2076.0,989,1,205.602,0.0
1120,,,,2081.0,2081.0,990,1,205.558,0.0
1121,,,,2086.0,2086.0,991,1,205.527,0.0
1122,,,,2091.0,2091.0,992,1,205.483,0.0
1123,,,,2096.0,2096.0,993,1,205.434,0.0
1124,,,,2101.0,2101.0,994,1,205.409,0.0
1125,,,,2106.0,2106.0,995,1,205.367,0.0
1126,,,,2111.0,2111.0,996,1,205.261,0.0
1127,,,,2116.0,2116.0,997,1,205.145,0.0
1128,,,,2121.0,2121.0,998,1,205.049,0.0
1129,,,,2126.0,2126.0,999,1,204.976,0.0
1130,,,,2131.0,2131.0,1000,1,204.917,0.0
1131,,,,2136.0,2136.0,1001,1,204.879,0.0
1132,,,,2141.0,2141.0,1002,1,204.84,0.0
1133,,,,2146.0,2146.0,1003,1,204.813,0.0
1134,,,,2151.0,2151.0,1004,1,204.783,0.0
1135,,,,2156.0,2156.0,1005,1,204.741,0.0
1136,,,,2161.0,2161.0,1006,1,204.693,0.0
1137,,,,2166.0,2166.0,1007,1,204.637,0.0
1138,,,,2171.0,2171.0,1008,1,204.584,0.0
1139,,,,2176.0,2176.0,1009,1,204.529,0.0
1140,,,,2181.0,2181.0,1010,1,204.461,0.0
1141,,,,2186.0,2186.0,1011,1,204.366,0.0
1142,,,,2191.0,2191.0,1012,1,204.275,0.0
1143,,,,2196.0,2196.0,1013,1,204.183,0.0
1144,,,,2201.0,2201.0,1014,1,204.085,0.0
1145,,,,2206.0,2206.0,1015,1,203.967,0.0
1146,,,,2211.0,2211.0,1016,1,203.865,0.0
1147,,,,2216.0,2216.0,1017,1,203.77,0.0
1148,,,,2221.0,2221.0,1018,1,203.677,0.0
1149,,,,2226.0,2226.0,1019,1,203.577,0.0
1150,,,,2231.0,2231.0,1020,1,203.479,0.0
1151,,,,2236.0,2236.0,1021,1,203.407,0.0
1152,,,,2241.0,2241.0,1022,1,203.363,0.0
