fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,,,,-2012.557497241515,-2012.557497241515,1,1,200.905,0.0
2,,,,-2002.557497241515,-2002.557497241515,2,1,200.903,0.0
63,,,,-1389.557497241515,-1389.557497241515,63,1,200.744,0.0
64,,,,-1379.557497241515,-1379.557497241515,64,1,200.544,0.0
65,,,,-1369.557497241515,-1369.557497241515,65,1,200.36,0.0
66,,,,-1359.557497241515,-1359.557497241515,66,1,200.252,0.0
67,,,,-1349.557497241515,-1349.557497241515,67,1,200.199,0.0
68,,,,-1339.557497241515,-1339.557497241515,68,1,200.139,0.0
70,,,,-1319.557497241515,-1319.557497241515,70,1,200.035,0.0
71,,,,-1308.557497241515,-1308.557497241515,71,1,200.033,0.0
72,,,,-1298.557497241515,-1298.557497241515,72,1,199.922,0.0
73,,,,-1288.557497241515,-1288.557497241515,73,1,199.903,0.0
74,,,,-1278.557497241515,-1278.557497241515,74,1,199.838,0.0
76,,,,-1258.557497241515,-1258.557497241515,76,1,199.722,0.0
78,,,,-1238.557497241515,-1238.557497241515,78,1,199.659,0.0
79,,,,-1228.557497241515,-1228.557497241515,79,1,199.604,0.0
80,,,,-1218.557497241515,-1218.557497241515,80,1,199.59,0.0
81,,,,-1208.557497241515,-1208.557497241515,81,1,199.555,0.0
82,,,,-1198.557497241515,-1198.557497241515,82,1,199.46,0.0
83,,,,-1188.557497241515,-1188.557497241515,83,1,199.452,0.0
84,,,,-1178.557497241515,-1178.557497241515,84,1,199.449,0.0
85,,,,-1168.557497241515,-1168.557497241515,85,1,199.388,0.0
87,,,,-1148.557497241515,-1148.557497241515,87,1,199.322,0.0
88,,,,-1138.557497241515,-1138.557497241515,88,1,199.172,0.0
89,,,,-1128.557497241515,-1128.557497241515,89,1,199.103,0.0
95,,,,-1067.557497241515,-1067.557497241515,95,1,199.017,0.0
96,,,,-1057.557497241515,-1057.557497241515,96,1,198.847,0.0
97,,,,-1047.557497241515,-1047.557497241515,97,1,198.688,0.0
98,,,,-1037.557497241515,-1037.557497241515,98,1,198.524,0.0
99,,,,-1027.557497241515,-1027.557497241515,99,1,198.361,0.0
100,,,,-1017.557497241515,-1017.557497241515,100,1,198.355,0.0
110,,,,-916.557497241515,-916.557497241515,110,1,198.268,0.0
111,,,,-906.557497241515,-906.557497241515,111,1,198.136,0.0
112,,,,-896.557497241515,-896.557497241515,112,1,197.973,0.0
113,,,,-886.557497241515,-886.557497241515,113,1,197.815,0.0
114,,,,-876.557497241515,-876.557497241515,114,1,197.656,0.0
115,,,,-866.557497241515,-866.557497241515,115,1,197.506,0.0
116,,,,-856.557497241515,-856.557497241515,116,1,197.344,0.0
117,,,,-845.557497241515,-845.557497241515,117,1,197.226,0.0
118,,,,-835.557497241515,-835.557497241515,118,1,197.146,0.0
119,,,,-825.557497241515,-825.557497241515,119,1,197.058,0.0
120,,,,-815.557497241515,-815.557497241515,120,1,197.022,0.0
121,,,,-805.557497241515,-805.557497241515,121,1,197.021,0.0
122,,,,-795.557497241515,-795.557497241515,122,1,196.909,0.0
123,,,,-785.557497241515,-785.557497241515,123,1,196.869,0.0
124,,,,-775.557497241515,-775.557497241515,124,1,196.766,0.0
125,,,,-765.557497241515,-765.557497241515,125,1,196.745,0.0
127,,,,-745.557497241515,-745.557497241515,127,1,196.741,0.0
128,,,,-735.557497241515,-735.557497241515,128,1,196.74,0.0
138,,,,-634.557497241515,-634.557497241515,138,1,196.653,0.0
139,,,,-624.557497241515,-624.557497241515,139,1,196.59,0.0
140,,,,-614.557497241515,-614.557497241515,140,1,196.444,0.0
141,,,,-604.557497241515,-604.557497241515,141,1,196.274,0.0
142,,,,-594.557497241515,-594.557497241515,142,1,196.12,0.0
143,,,,-584.557497241515,-584.557497241515,143,1,195.945,0.0
144,,,,-574.557497241515,-574.557497241515,144,1,195.842,0.0
151,,,,-503.557497241515,-503.557497241515,151,1,195.74,0.0
153,,,,-483.557497241515,-483.557497241515,153,1,195.721,0.0
154,,,,-473.557497241515,-473.557497241515,154,1,195.588,0.0
155,,,,-463.557497241515,-463.557497241515,155,1,195.457,0.0
156,,,,-453.557497241515,-453.557497241515,156,1,195.329,0.0
159,,,,-423.557497241515,-423.557497241515,159,1,195.234,0.0
160,,,,-412.557497241515,-412.557497241515,160,1,195.184,0.0
161,,,,-402.557497241515,-402.557497241515,161,1,195.178,0.0
162,,,,-392.557497241515,-392.557497241515,162,1,195.077,0.0
164,,,,-372.557497241515,-372.557497241515,164,1,195.007,0.0
165,,,,-362.557497241515,-362.557497241515,165,1,194.999,0.0
166,,,,-352.557497241515,-352.557497241515,166,1,194.891,0.0
169,,,,-322.557497241515,-322.557497241515,169,1,194.855,0.0
172,,,,-292.557497241515,-292.557497241515,172,1,194.757,0.0
173,,,,-281.557497241515,-281.557497241515,173,1,194.607,0.0
174,,,,-271.557497241515,-271.557497241515,174,1,194.44,0.0
175,,,,-261.557497241515,-261.557497241515,175,1,194.367,0.0
215,,,,141.442502758485,141.442502758485,215,1,194.249,0.0
216,,,,151.442502758485,151.442502758485,216,1,194.125,0.0
219,,,,182.442502758485,182.442502758485,219,1,194.044,0.0
226,,,,252.442502758485,252.442502758485,226,1,193.992,0.0
227,,,,262.442502758485,262.442502758485,227,1,193.854,0.0
228,,,,272.442502758485,272.442502758485,228,1,193.697,0.0
229,,,,282.442502758485,282.442502758485,229,1,193.548,0.0
230,,,,292.442502758485,292.442502758485,230,1,193.467,0.0
231,,,,302.442502758485,302.442502758485,231,1,193.449,0.0
264,,,,635.442502758485,635.442502758485,264,1,193.406,0.0
265,,,,645.442502758485,645.442502758485,265,1,193.226,0.0
266,,,,655.442502758485,655.442502758485,266,1,193.033,0.0
267,,,,665.442502758485,665.442502758485,267,1,192.845,0.0
268,,,,675.442502758485,675.442502758485,268,1,192.65,0.0
269,,,,686.442502758485,686.442502758485,269,1,192.45,0.0
270,,,,696.442502758485,696.442502758485,270,1,192.266,0.0
271,,,,706.442502758485,706.442502758485,271,1,192.078,0.0
272,,,,716.442502758485,716.442502758485,272,1,191.878,0.0
273,,,,726.442502758485,726.442502758485,273,1,191.682,0.0
274,,,,736.442502758485,736.442502758485,274,1,191.488,0.0
275,,,,746.442502758485,746.442502758485,275,1,191.298,0.0
276,,,,756.442502758485,756.442502758485,276,1,191.111,0.0
277,,,,766.442502758485,766.442502758485,277,1,190.938,0.0
278,,,,776.442502758485,776.442502758485,278,1,190.752,0.0
279,,,,786.442502758485,786.442502758485,279,1,190.57,0.0
280,,,,796.442502758485,796.442502758485,280,1,190.379,0.0
281,,,,807.442502758485,807.442502758485,281,1,190.211,0.0
282,,,,817.442502758485,817.442502758485,282,1,190.03,0.0
283,,,,827.442502758485,827.442502758485,283,1,189.851,0.0
284,,,,837.442502758485,837.442502758485,284,1,189.649,0.0
285,,,,847.442502758485,847.442502758485,285,1,189.474,0.0
286,,,,857.442502758485,857.442502758485,286,1,189.331,0.0
287,,,,867.442502758485,867.442502758485,287,1,189.19,0.0
288,,,,877.442502758485,877.442502758485,288,1,189.157,0.0
290,,,,897.442502758485,897.442502758485,290,1,189.078,0.0
291,,,,907.442502758485,907.442502758485,291,1,189.04,0.0
295,,,,947.442502758485,947.442502758485,295,1,188.999,0.0
296,,,,958.442502758485,958.442502758485,296,1,188.935,0.0
298,,,,978.442502758485,978.442502758485,298,1,188.885,0.0
299,,,,988.442502758485,988.442502758485,299,1,188.881,0.0
300,,,,998.442502758485,998.442502758485,300,1,188.765,0.0
301,,,,1008.442502758485,1008.442502758485,301,1,188.702,0.0
302,,,,1018.442502758485,1018.442502758485,302,1,188.678,0.0
