fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
24,,,,-2569.0,-2569.0,1,1,173.933,0.0
25,,,,-2559.0,-2559.0,2,1,173.932,0.0
30,,,,-2509.0,-2509.0,7,1,173.9,0.0
31,,,,-2499.0,-2499.0,8,1,173.839,0.0
32,,,,-2488.0,-2488.0,9,1,173.815,0.0
33,,,,-2478.0,-2478.0,10,1,173.808,0.0
34,,,,-2468.0,-2468.0,11,1,173.801,0.0
154,,,,-1263.0,-1263.0,131,1,173.739,0.0
155,,,,-1253.0,-1253.0,132,1,173.621,0.0
156,,,,-1243.0,-1243.0,133,1,173.541,0.0
157,,,,-1233.0,-1233.0,134,1,173.444,0.0
158,,,,-1223.0,-1223.0,135,1,173.331,0.0
159,,,,-1213.0,-1213.0,136,1,173.207,0.0
160,,,,-1203.0,-1203.0,137,1,173.073,0.0
161,,,,-1193.0,-1193.0,138,1,172.929,0.0
162,,,,-1183.0,-1183.0,139,1,172.79,0.0
163,,,,-1173.0,-1173.0,140,1,172.639,0.0
164,,,,-1163.0,-1163.0,141,1,172.494,0.0
165,,,,-1153.0,-1153.0,142,1,172.362,0.0
166,,,,-1143.0,-1143.0,143,1,172.25,0.0
167,,,,-1133.0,-1133.0,144,1,172.162,0.0
173,,,,-1072.0,-1072.0,150,1,172.073,0.0
176,,,,-1042.0,-1042.0,153,1,171.951,0.0
177,,,,-1032.0,-1032.0,154,1,171.801,0.0
178,,,,-1022.0,-1022.0,155,1,171.647,0.0
179,,,,-1012.0,-1012.0,156,1,171.483,0.0
180,,,,-1002.0,-1002.0,157,1,171.323,0.0
181,,,,-992.0,-992.0,158,1,171.183,0.0
182,,,,-982.0,-982.0,159,1,171.061,0.0
183,,,,-972.0,-972.0,160,1,170.953,0.0
184,,,,-962.0,-962.0,161,1,170.827,0.0
185,,,,-952.0,-952.0,162,1,170.674,0.0
186,,,,-942.0,-942.0,163,1,170.536,0.0
187,,,,-932.0,-932.0,164,1,170.398,0.0
188,,,,-922.0,-922.0,165,1,170.255,0.0
189,,,,-912.0,-912.0,166,1,170.133,0.0
190,,,,-901.0,-901.0,167,1,170.001,0.0
191,,,,-891.0,-891.0,168,1,169.916,0.0
192,,,,-881.0,-881.0,169,1,169.811,0.0
193,,,,-871.0,-871.0,170,1,169.683,0.0
194,,,,-861.0,-861.0,171,1,169.544,0.0
195,,,,-851.0,-851.0,172,1,169.421,0.0
196,,,,-841.0,-841.0,173,1,169.294,0.0
199,,,,-811.0,-811.0,176,1,169.269,0.0
207,,,,-731.0,-731.0,184,1,169.195,0.0
208,,,,-721.0,-721.0,185,1,169.114,0.0
209,,,,-711.0,-711.0,186,1,169.016,0.0
210,,,,-701.0,-701.0,187,1,168.886,0.0
211,,,,-691.0,-691.0,188,1,168.787,0.0
212,,,,-681.0,-681.0,189,1,168.693,0.0
213,,,,-671.0,-671.0,190,1,168.655,0.0
214,,,,-660.0,-660.0,191,1,168.563,0.0
