fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
25,,,,-2970.0,-2970.0,1,1,173.915,0.0
26,,,,-2967.0,-2967.0,2,1,173.902,0.0
27,,,,-2964.0,-2964.0,3,1,173.878,0.0
28,,,,-2961.0,-2961.0,4,1,173.847,0.0
29,,,,-2958.0,-2958.0,5,1,173.82,0.0
30,,,,-2955.0,-2955.0,6,1,173.796,0.0
31,,,,-2952.0,-2952.0,7,1,173.776,0.0
32,,,,-2949.0,-2949.0,8,1,173.759,0.0
33,,,,-2946.0,-2946.0,9,1,173.744,0.0
34,,,,-2943.0,-2943.0,10,1,173.73,0.0
35,,,,-2940.0,-2940.0,11,1,173.718,0.0
36,,,,-2937.0,-2937.0,12,1,173.702,0.0
37,,,,-2934.0,-2934.0,13,1,173.693,0.0
38,,,,-2931.0,-2931.0,14,1,173.683,0.0
39,,,,-2928.0,-2928.0,15,1,173.676,0.0
40,,,,-2925.0,-2925.0,16,1,173.67,0.0
41,,,,-2922.0,-2922.0,17,1,173.665,0.0
42,,,,-2919.0,-2919.0,18,1,173.662,0.0
43,,,,-2915.0,-2915.0,19,1,173.659,0.0
415,,,,-1790.0,-1790.0,391,1,173.653,0.0
416,,,,-1787.0,-1787.0,392,1,173.632,0.0
417,,,,-1784.0,-1784.0,393,1,173.607,0.0
418,,,,-1781.0,-1781.0,394,1,173.569,0.0
419,,,,-1778.0,-1778.0,395,1,173.537,0.0
420,,,,-1775.0,-1775.0,396,1,173.51,0.0
421,,,,-1772.0,-1772.0,397,1,173.489,0.0
422,,,,-1769.0,-1769.0,398,1,173.467,0.0
423,,,,-1766.0,-1766.0,399,1,173.45,0.0
430,,,,-1744.0,-1744.0,406,1,173.44,0.0
460,,,,-1654.0,-1654.0,436,1,173.414,0.0
461,,,,-1651.0,-1651.0,437,1,173.381,0.0
467,,,,-1633.0,-1633.0,443,1,173.37,0.0
472,,,,-1617.0,-1617.0,448,1,173.367,0.0
473,,,,-1614.0,-1614.0,449,1,173.316,0.0
474,,,,-1611.0,-1611.0,450,1,173.288,0.0
483,,,,-1584.0,-1584.0,459,1,173.274,0.0
484,,,,-1581.0,-1581.0,460,1,173.252,0.0
485,,,,-1578.0,-1578.0,461,1,173.232,0.0
486,,,,-1575.0,-1575.0,462,1,173.206,0.0
487,,,,-1572.0,-1572.0,463,1,173.189,0.0
488,,,,-1569.0,-1569.0,464,1,173.183,0.0
492,,,,-1557.0,-1557.0,468,1,173.182,0.0
493,,,,-1554.0,-1554.0,469,1,173.159,0.0
494,,,,-1551.0,-1551.0,470,1,173.13,0.0
495,,,,-1548.0,-1548.0,471,1,173.096,0.0
496,,,,-1545.0,-1545.0,472,1,173.061,0.0
497,,,,-1542.0,-1542.0,473,1,173.026,0.0
498,,,,-1539.0,-1539.0,474,1,172.989,0.0
499,,,,-1536.0,-1536.0,475,1,172.948,0.0
500,,,,-1533.0,-1533.0,476,1,172.907,0.0
501,,,,-1530.0,-1530.0,477,1,172.858,0.0
502,,,,-1527.0,-1527.0,478,1,172.813,0.0
503,,,,-1524.0,-1524.0,479,1,172.773,0.0
