fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
29,,,,-3922.197875609058,-3922.197875609058,1,0,173.852,0.0
30,,,,-3918.197875609058,-3918.197875609058,2,0,173.83,0.0
31,,,,-3913.197875609058,-3913.197875609058,3,0,173.797,0.0
32,,,,-3909.197875609058,-3909.197875609058,4,0,173.766,0.0
33,,,,-3905.197875609058,-3905.197875609058,5,0,173.743,0.0
34,,,,-3901.197875609058,-3901.197875609058,6,0,173.722,0.0
35,,,,-3897.197875609058,-3897.197875609058,7,0,173.704,0.0
36,,,,-3893.197875609058,-3893.197875609058,8,0,173.692,0.0
37,,,,-3889.197875609058,-3889.197875609058,9,0,173.68,0.0
38,,,,-3885.197875609058,-3885.197875609058,10,0,173.665,0.0
39,,,,-3881.197875609058,-3881.197875609058,11,0,173.651,0.0
40,,,,-3877.197875609058,-3877.197875609058,12,0,173.641,0.0
41,,,,-3873.197875609058,-3873.197875609058,13,0,173.624,0.0
42,,,,-3869.197875609058,-3869.197875609058,14,0,173.608,0.0
43,,,,-3865.197875609058,-3865.197875609058,15,0,173.594,0.0
44,,,,-3861.197875609058,-3861.197875609058,16,0,173.586,0.0
45,,,,-3857.197875609058,-3857.197875609058,17,0,173.577,0.0
46,,,,-3853.197875609058,-3853.197875609058,18,0,173.567,0.0
47,,,,-3849.197875609058,-3849.197875609058,19,0,173.557,0.0
48,,,,-3845.197875609058,-3845.197875609058,20,0,173.548,0.0
49,,,,-3841.197875609058,-3841.197875609058,21,0,173.544,0.0
63,,,,-3784.197875609058,-3784.197875609058,35,0,173.504,0.0
64,,,,-3780.197875609058,-3780.197875609058,36,0,173.434,0.0
65,,,,-3776.197875609058,-3776.197875609058,37,0,173.361,0.0
66,,,,-3772.197875609058,-3772.197875609058,38,0,173.292,0.0
67,,,,-3768.197875609058,-3768.197875609058,39,0,173.237,0.0
68,,,,-3764.197875609058,-3764.197875609058,40,0,173.191,0.0
