fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
21,,,,232.0,-4011.351874964448,-4011.351874964448,1,0,174.268,0.0
22,,,,232.0,-4009.351874964448,-4009.351874964448,2,0,174.267,0.0
23,,,,232.0,-4007.351874964448,-4007.351874964448,3,0,174.262,0.0
24,,,,232.0,-4005.351874964448,-4005.351874964448,4,0,174.257,0.0
25,,,,232.0,-4003.351874964448,-4003.351874964448,5,0,174.25,0.0
26,,,,233.0,-4001.351874964448,-4001.351874964448,6,0,174.24,0.0
27,,,,233.0,-3999.351874964448,-3999.351874964448,7,0,174.231,0.0
28,,,,234.0,-3997.351874964448,-3997.351874964448,8,0,174.219,0.0
29,,,,235.0,-3995.351874964448,-3995.351874964448,9,0,174.207,0.0
30,,,,236.0,-3993.351874964448,-3993.351874964448,10,0,174.196,0.0
31,,,,237.0,-3992.351874964448,-3992.351874964448,11,0,174.19,0.0
32,,,,237.0,-3991.351874964448,-3991.351874964448,12,0,174.184,0.0
33,,,,239.0,-3989.351874964448,-3989.351874964448,13,0,174.177,0.0
34,,,,241.0,-3987.351874964448,-3987.351874964448,14,0,174.167,0.0
35,,,,243.0,-3985.351874964448,-3985.351874964448,15,0,174.156,0.0
36,,,,246.0,-3983.351874964448,-3983.351874964448,16,0,174.142,0.0
37,,,,248.0,-3981.351874964448,-3981.351874964448,17,0,174.129,0.0
38,,,,251.0,-3979.351874964448,-3979.351874964448,18,0,174.118,0.0
39,,,,254.0,-3977.351874964448,-3977.351874964448,19,0,174.102,0.0
40,,,,256.0,-3975.351874964448,-3975.351874964448,20,0,174.086,0.0
41,,,,260.0,-3973.351874964448,-3973.351874964448,21,0,174.071,0.0
42,,,,264.0,-3971.351874964448,-3971.351874964448,22,0,174.057,0.0
43,,,,267.0,-3969.351874964448,-3969.351874964448,23,0,174.042,0.0
44,,,,271.0,-3967.351874964448,-3967.351874964448,24,0,174.025,0.0
45,,,,275.0,-3965.351874964448,-3965.351874964448,25,0,174.009,0.0
46,,,,278.0,-3963.351874964448,-3963.351874964448,26,0,173.99,0.0
47,,,,281.0,-3961.351874964448,-3961.351874964448,27,0,173.975,0.0
48,,,,285.0,-3959.351874964448,-3959.351874964448,28,0,173.96,0.0
49,,,,289.0,-3957.351874964448,-3957.351874964448,29,0,173.944,0.0
50,,,,292.0,-3955.351874964448,-3955.351874964448,30,0,173.928,0.0
51,,,,296.0,-3953.351874964448,-3953.351874964448,31,0,173.911,0.0
52,,,,299.0,-3951.351874964448,-3951.351874964448,32,0,173.892,0.0
53,,,,302.0,-3949.351874964448,-3949.351874964448,33,0,173.874,0.0
54,,,,306.0,-3947.351874964448,-3947.351874964448,34,0,173.855,0.0
55,,,,309.0,-3945.351874964448,-3945.351874964448,35,0,173.837,0.0
56,,,,313.0,-3943.351874964448,-3943.351874964448,36,0,173.824,0.0
57,,,,316.0,-3941.351874964448,-3941.351874964448,37,0,173.815,0.0
58,,,,320.0,-3939.351874964448,-3939.351874964448,38,0,173.809,0.0
59,,,,323.0,-3937.351874964448,-3937.351874964448,39,0,173.804,0.0
60,,,,327.0,-3935.351874964448,-3935.351874964448,40,0,173.801,0.0
74,,,,376.0,-3907.351874964448,-3907.351874964448,54,0,173.784,0.0
75,,,,379.0,-3905.351874964448,-3905.351874964448,55,0,173.768,0.0
76,,,,383.0,-3903.351874964448,-3903.351874964448,56,0,173.752,0.0
77,,,,386.0,-3901.351874964448,-3901.351874964448,57,0,173.731,0.0
78,,,,389.0,-3899.351874964448,-3899.351874964448,58,0,173.71,0.0
79,,,,393.0,-3897.351874964448,-3897.351874964448,59,0,173.687,0.0
80,,,,396.0,-3895.351874964448,-3895.351874964448,60,0,173.669,0.0
81,,,,400.0,-3893.351874964448,-3893.351874964448,61,0,173.653,0.0
82,,,,403.0,-3891.351874964448,-3891.351874964448,62,0,173.643,0.0
83,,,,407.0,-3889.351874964448,-3889.351874964448,63,0,173.633,0.0
84,,,,412.0,-3887.351874964448,-3887.351874964448,64,0,173.629,0.0
85,,,,416.0,-3885.351874964448,-3885.351874964448,65,0,173.624,0.0
1203,,,,1797.0,-1644.351874964448,-1644.351874964448,221,1,173.618,0.0
1204,,,,1795.0,-1642.351874964448,-1642.351874964448,222,1,173.592,0.0
1205,,,,1792.0,-1640.351874964448,-1640.351874964448,223,1,173.565,0.0
1206,,,,1790.0,-1638.351874964448,-1638.351874964448,224,1,173.54,0.0
1207,,,,1787.0,-1636.351874964448,-1636.351874964448,225,1,173.516,0.0
1208,,,,1784.0,-1634.351874964448,-1634.351874964448,226,1,173.492,0.0
1209,,,,1780.0,-1632.351874964448,-1632.351874964448,227,1,173.467,0.0
1210,,,,1776.0,-1630.351874964448,-1630.351874964448,228,1,173.445,0.0
