fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
27,,,,-4124.874534731668,-4124.874534731668,1,0,173.811,0.0
28,,,,-4119.874534731668,-4119.874534731668,2,0,173.764,0.0
29,,,,-4114.874534731668,-4114.874534731668,3,0,173.717,0.0
30,,,,-4109.874534731668,-4109.874534731668,4,0,173.673,0.0
31,,,,-4104.874534731668,-4104.874534731668,5,0,173.621,0.0
32,,,,-4099.874534731668,-4099.874534731668,6,0,173.58,0.0
33,,,,-4094.874534731668,-4094.874534731668,7,0,173.537,0.0
34,,,,-4089.874534731668,-4089.874534731668,8,0,173.495,0.0
35,,,,-4084.874534731668,-4084.874534731668,9,0,173.449,0.0
36,,,,-4079.874534731668,-4079.874534731668,10,0,173.414,0.0
37,,,,-4074.874534731668,-4074.874534731668,11,0,173.389,0.0
38,,,,-4069.874534731668,-4069.874534731668,12,0,173.366,0.0
39,,,,-4064.874534731668,-4064.874534731668,13,0,173.341,0.0
40,,,,-4059.874534731668,-4059.874534731668,14,0,173.315,0.0
41,,,,-4054.874534731668,-4054.874534731668,15,0,173.289,0.0
42,,,,-4049.874534731668,-4049.874534731668,16,0,173.27,0.0
43,,,,-4044.874534731668,-4044.874534731668,17,0,173.25,0.0
44,,,,-4039.874534731668,-4039.874534731668,18,0,173.233,0.0
45,,,,-4034.874534731668,-4034.874534731668,19,0,173.215,0.0
46,,,,-4029.874534731668,-4029.874534731668,20,0,173.2,0.0
47,,,,-4024.874534731668,-4024.874534731668,21,0,173.19,0.0
48,,,,-4019.874534731668,-4019.874534731668,22,0,173.187,0.0
49,,,,-4014.874534731668,-4014.874534731668,23,0,173.18,0.0
50,,,,-4009.874534731668,-4009.874534731668,24,0,173.172,0.0
252,,,,-2995.874534731668,-2995.874534731668,44,1,173.154,0.0
253,,,,-2990.874534731668,-2990.874534731668,45,1,173.101,0.0
254,,,,-2985.874534731668,-2985.874534731668,46,1,173.049,0.0
255,,,,-2980.874534731668,-2980.874534731668,47,1,173.009,0.0
256,,,,-2975.874534731668,-2975.874534731668,48,1,172.986,0.0
257,,,,-2970.874534731668,-2970.874534731668,49,1,172.97,0.0
258,,,,-2965.874534731668,-2965.874534731668,50,1,172.951,0.0
259,,,,-2960.874534731668,-2960.874534731668,51,1,172.947,0.0
260,,,,-2955.874534731668,-2955.874534731668,52,1,172.91,0.0
261,,,,-2950.874534731668,-2950.874534731668,53,1,172.892,0.0
273,,,,-2890.874534731668,-2890.874534731668,65,1,172.877,0.0
274,,,,-2885.874534731668,-2885.874534731668,66,1,172.867,0.0
