fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
222,,,,1276.0,1276.0,1,0,158.552,0.0
225,,,,1291.0,1291.0,4,0,158.551,0.0
226,,,,1296.0,1296.0,5,0,158.55,0.0
244,,,,1386.0,1386.0,23,0,158.547,0.0
245,,,,1391.0,1391.0,24,0,158.519,0.0
246,,,,1396.0,1396.0,1,1,158.487,0.0
247,,,,1401.0,1401.0,2,1,158.452,0.0
248,,,,1406.0,1406.0,3,1,158.412,0.0
249,,,,1411.0,1411.0,4,1,158.373,0.0
250,,,,1416.0,1416.0,5,1,158.34,0.0
251,,,,1421.0,1421.0,6,1,158.309,0.0
252,,,,1426.0,1426.0,7,1,158.28,0.0
253,,,,1431.0,1431.0,8,1,158.25,0.0
254,,,,1436.0,1436.0,9,1,158.217,0.0
255,,,,1441.0,1441.0,10,1,158.186,0.0
256,,,,1446.0,1446.0,11,1,158.157,0.0
257,,,,1451.0,1451.0,12,1,158.126,0.0
258,,,,1456.0,1456.0,13,1,158.093,0.0
259,,,,1461.0,1461.0,14,1,158.059,0.0
260,,,,1466.0,1466.0,15,1,158.027,0.0
261,,,,1471.0,1471.0,16,1,157.997,0.0
262,,,,1476.0,1476.0,17,1,157.974,0.0
263,,,,1481.0,1481.0,18,1,157.951,0.0
264,,,,1486.0,1486.0,19,1,157.935,0.0
265,,,,1491.0,1491.0,20,1,157.923,0.0
266,,,,1496.0,1496.0,21,1,157.89,0.0
267,,,,1501.0,1501.0,22,1,157.849,0.0
268,,,,1506.0,1506.0,23,1,157.787,0.0
269,,,,1511.0,1511.0,24,1,157.717,0.0
270,,,,1516.0,1516.0,25,1,157.64,0.0
271,,,,1521.0,1521.0,26,1,157.572,0.0
272,,,,1526.0,1526.0,27,1,157.524,0.0
373,,,,2031.0,2031.0,128,1,157.441,0.0
374,,,,2036.0,2036.0,129,1,157.352,0.0
375,,,,2041.0,2041.0,130,1,157.276,0.0
376,,,,2046.0,2046.0,131,1,157.201,0.0
377,,,,2051.0,2051.0,132,1,157.14,0.0
378,,,,2056.0,2056.0,133,1,157.061,0.0
379,,,,2061.0,2061.0,134,1,157.013,0.0
386,,,,2096.0,2096.0,141,1,156.947,0.0
387,,,,2101.0,2101.0,142,1,156.854,0.0
388,,,,2106.0,2106.0,143,1,156.764,0.0
389,,,,2111.0,2111.0,144,1,156.685,0.0
390,,,,2116.0,2116.0,145,1,156.603,0.0
391,,,,2121.0,2121.0,146,1,156.522,0.0
392,,,,2126.0,2126.0,147,1,156.44,0.0
393,,,,2131.0,2131.0,148,1,156.365,0.0
394,,,,2136.0,2136.0,149,1,156.288,0.0
395,,,,2141.0,2141.0,150,1,156.208,0.0
396,,,,2146.0,2146.0,151,1,156.125,0.0
397,,,,2151.0,2151.0,152,1,156.038,0.0
398,,,,2156.0,2156.0,153,1,155.949,0.0
399,,,,2161.0,2161.0,154,1,155.867,0.0
400,,,,2166.0,2166.0,155,1,155.779,0.0
401,,,,2171.0,2171.0,156,1,155.696,0.0
402,,,,2176.0,2176.0,157,1,155.617,0.0
403,,,,2181.0,2181.0,158,1,155.532,0.0
404,,,,2186.0,2186.0,159,1,155.454,0.0
405,,,,2191.0,2191.0,160,1,155.375,0.0
406,,,,2196.0,2196.0,161,1,155.303,0.0
407,,,,2201.0,2201.0,162,1,155.233,0.0
408,,,,2206.0,2206.0,163,1,155.16,0.0
409,,,,2211.0,2211.0,164,1,155.083,0.0
410,,,,2216.0,2216.0,165,1,154.999,0.0
411,,,,2221.0,2221.0,166,1,154.91,0.0
412,,,,2226.0,2226.0,167,1,154.819,0.0
413,,,,2231.0,2231.0,168,1,154.734,0.0
414,,,,2236.0,2236.0,169,1,154.642,0.0
415,,,,2241.0,2241.0,170,1,154.55,0.0
416,,,,2246.0,2246.0,171,1,154.457,0.0
417,,,,2251.0,2251.0,172,1,154.364,0.0
418,,,,2256.0,2256.0,173,1,154.269,0.0
419,,,,2261.0,2261.0,174,1,154.182,0.0
420,,,,2266.0,2266.0,175,1,154.092,0.0
421,,,,2271.0,2271.0,176,1,154.001,0.0
422,,,,2276.0,2276.0,177,1,153.916,0.0
423,,,,2281.0,2281.0,178,1,153.825,0.0
424,,,,2286.0,2286.0,179,1,153.738,0.0
425,,,,2291.0,2291.0,180,1,153.651,0.0
426,,,,2296.0,2296.0,181,1,153.564,0.0
427,,,,2301.0,2301.0,182,1,153.475,0.0
428,,,,2306.0,2306.0,183,1,153.386,0.0
429,,,,2311.0,2311.0,184,1,153.296,0.0
430,,,,2316.0,2316.0,185,1,153.198,0.0
431,,,,2321.0,2321.0,186,1,153.097,0.0
432,,,,2326.0,2326.0,187,1,153.01,0.0
433,,,,2331.0,2331.0,188,1,152.934,0.0
434,,,,2336.0,2336.0,189,1,152.859,0.0
435,,,,2341.0,2341.0,190,1,152.796,0.0
436,,,,2346.0,2346.0,191,1,152.733,0.0
437,,,,2351.0,2351.0,192,1,152.691,0.0
442,,,,2376.0,2376.0,197,1,152.639,0.0
443,,,,2381.0,2381.0,198,1,152.565,0.0
444,,,,2386.0,2386.0,199,1,152.482,0.0
445,,,,2391.0,2391.0,200,1,152.388,0.0
446,,,,2396.0,2396.0,201,1,152.311,0.0
447,,,,2401.0,2401.0,202,1,152.242,0.0
448,,,,2406.0,2406.0,203,1,152.173,0.0
449,,,,2411.0,2411.0,204,1,152.101,0.0
450,,,,2416.0,2416.0,205,1,152.023,0.0
451,,,,2421.0,2421.0,206,1,151.939,0.0
452,,,,2426.0,2426.0,207,1,151.856,0.0
453,,,,2431.0,2431.0,208,1,151.779,0.0
454,,,,2436.0,2436.0,209,1,151.713,0.0
455,,,,2441.0,2441.0,210,1,151.654,0.0
456,,,,2446.0,2446.0,211,1,151.626,0.0
