fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
331,,,,-644.69878842348,-644.69878842348,1,0,158.543,0.0
340,,,,-599.69878842348,-599.69878842348,9,1,158.538,0.0
341,,,,-594.69878842348,-594.69878842348,10,1,158.474,0.0
342,,,,-589.69878842348,-589.69878842348,11,1,158.414,0.0
343,,,,-584.69878842348,-584.69878842348,12,1,158.354,0.0
344,,,,-579.69878842348,-579.69878842348,13,1,158.293,0.0
345,,,,-574.69878842348,-574.69878842348,14,1,158.233,0.0
346,,,,-569.69878842348,-569.69878842348,15,1,158.169,0.0
347,,,,-564.69878842348,-564.69878842348,16,1,158.087,0.0
348,,,,-559.69878842348,-559.69878842348,17,1,158.007,0.0
349,,,,-554.69878842348,-554.69878842348,18,1,157.921,0.0
350,,,,-549.69878842348,-549.69878842348,19,1,157.824,0.0
351,,,,-544.69878842348,-544.69878842348,20,1,157.732,0.0
352,,,,-539.69878842348,-539.69878842348,21,1,157.654,0.0
353,,,,-534.69878842348,-534.69878842348,22,1,157.585,0.0
354,,,,-529.69878842348,-529.69878842348,23,1,157.53,0.0
355,,,,-524.69878842348,-524.69878842348,24,1,157.501,0.0
356,,,,-519.69878842348,-519.69878842348,25,1,157.489,0.0
469,,,,45.30121157652,45.30121157652,138,1,157.473,0.0
470,,,,50.30121157652,50.30121157652,139,1,157.423,0.0
471,,,,55.30121157652,55.30121157652,140,1,157.384,0.0
472,,,,60.30121157652,60.30121157652,141,1,157.336,0.0
473,,,,65.30121157652,65.30121157652,142,1,157.274,0.0
474,,,,70.30121157652,70.30121157652,143,1,157.211,0.0
475,,,,75.30121157652,75.30121157652,144,1,157.143,0.0
476,,,,80.30121157652,80.30121157652,145,1,157.072,0.0
477,,,,85.30121157652,85.30121157652,146,1,157.001,0.0
478,,,,90.30121157652,90.30121157652,147,1,156.936,0.0
479,,,,95.30121157652,95.30121157652,148,1,156.886,0.0
480,,,,100.30121157652,100.30121157652,149,1,156.834,0.0
481,,,,105.30121157652,105.30121157652,150,1,156.784,0.0
482,,,,110.30121157652,110.30121157652,151,1,156.731,0.0
483,,,,115.30121157652,115.30121157652,152,1,156.672,0.0
484,,,,120.30121157652,120.30121157652,153,1,156.614,0.0
485,,,,125.30121157652,125.30121157652,154,1,156.551,0.0
486,,,,130.30121157652,130.30121157652,155,1,156.5,0.0
487,,,,135.30121157652,135.30121157652,156,1,156.445,0.0
488,,,,140.30121157652,140.30121157652,157,1,156.403,0.0
489,,,,145.30121157652,145.30121157652,158,1,156.37,0.0
490,,,,150.30121157652,150.30121157652,159,1,156.345,0.0
491,,,,155.30121157652,155.30121157652,160,1,156.328,0.0
492,,,,160.30121157652,160.30121157652,161,1,156.318,0.0
493,,,,165.30121157652,165.30121157652,162,1,156.283,0.0
494,,,,170.30121157652,170.30121157652,163,1,156.258,0.0
500,,,,200.30121157652,200.30121157652,169,1,156.22,0.0
501,,,,205.30121157652,205.30121157652,170,1,156.216,0.0
506,,,,230.30121157652,230.30121157652,175,1,156.212,0.0
525,,,,325.30121157652,325.30121157652,194,1,156.162,0.0
526,,,,330.30121157652,330.30121157652,195,1,156.106,0.0
527,,,,335.30121157652,335.30121157652,196,1,156.043,0.0
528,,,,340.30121157652,340.30121157652,197,1,155.979,0.0
529,,,,345.30121157652,345.30121157652,198,1,155.92,0.0
530,,,,350.30121157652,350.30121157652,199,1,155.867,0.0
531,,,,355.30121157652,355.30121157652,200,1,155.808,0.0
532,,,,360.30121157652,360.30121157652,201,1,155.747,0.0
533,,,,365.30121157652,365.30121157652,202,1,155.674,0.0
534,,,,370.30121157652,370.30121157652,203,1,155.61,0.0
535,,,,375.30121157652,375.30121157652,204,1,155.535,0.0
536,,,,380.30121157652,380.30121157652,205,1,155.458,0.0
537,,,,385.30121157652,385.30121157652,206,1,155.375,0.0
538,,,,390.30121157652,390.30121157652,207,1,155.317,0.0
539,,,,395.30121157652,395.30121157652,208,1,155.257,0.0
540,,,,400.30121157652,400.30121157652,209,1,155.19,0.0
541,,,,405.30121157652,405.30121157652,210,1,155.123,0.0
542,,,,410.30121157652,410.30121157652,211,1,155.058,0.0
543,,,,415.30121157652,415.30121157652,212,1,155.0,0.0
544,,,,420.30121157652,420.30121157652,213,1,154.936,0.0
545,,,,425.30121157652,425.30121157652,214,1,154.877,0.0
546,,,,430.30121157652,430.30121157652,215,1,154.826,0.0
547,,,,435.30121157652,435.30121157652,216,1,154.766,0.0
548,,,,440.30121157652,440.30121157652,217,1,154.695,0.0
549,,,,445.30121157652,445.30121157652,218,1,154.617,0.0
550,,,,450.30121157652,450.30121157652,219,1,154.541,0.0
551,,,,455.30121157652,455.30121157652,220,1,154.468,0.0
552,,,,460.30121157652,460.30121157652,221,1,154.394,0.0
553,,,,465.30121157652,465.30121157652,222,1,154.316,0.0
554,,,,470.30121157652,470.30121157652,223,1,154.232,0.0
555,,,,475.30121157652,475.30121157652,224,1,154.148,0.0
556,,,,480.30121157652,480.30121157652,225,1,154.065,0.0
557,,,,485.30121157652,485.30121157652,226,1,153.977,0.0
558,,,,490.30121157652,490.30121157652,227,1,153.912,0.0
562,,,,510.30121157652,510.30121157652,231,1,153.879,0.0
566,,,,530.30121157652,530.30121157652,235,1,153.827,0.0
569,,,,545.30121157652,545.30121157652,238,1,153.786,0.0
573,,,,565.30121157652,565.30121157652,242,1,153.741,0.0
582,,,,610.30121157652,610.30121157652,251,1,153.687,0.0
583,,,,615.30121157652,615.30121157652,252,1,153.656,0.0
586,,,,630.30121157652,630.30121157652,255,1,153.619,0.0
587,,,,635.30121157652,635.30121157652,256,1,153.583,0.0
594,,,,670.30121157652,670.30121157652,263,1,153.575,0.0
595,,,,675.30121157652,675.30121157652,264,1,153.551,0.0
598,,,,690.30121157652,690.30121157652,267,1,153.498,0.0
602,,,,710.30121157652,710.30121157652,271,1,153.451,0.0
606,,,,730.30121157652,730.30121157652,275,1,153.422,0.0
607,,,,735.30121157652,735.30121157652,276,1,153.405,0.0
611,,,,755.30121157652,755.30121157652,280,1,153.361,0.0
612,,,,760.30121157652,760.30121157652,281,1,153.359,0.0
622,,,,810.30121157652,810.30121157652,291,1,153.335,0.0
648,,,,940.30121157652,940.30121157652,317,1,153.292,0.0
649,,,,945.30121157652,945.30121157652,318,1,153.227,0.0
650,,,,950.30121157652,950.30121157652,319,1,153.154,0.0
651,,,,955.30121157652,955.30121157652,320,1,153.109,0.0
652,,,,960.30121157652,960.30121157652,321,1,153.086,0.0
653,,,,965.30121157652,965.30121157652,322,1,153.052,0.0
654,,,,970.30121157652,970.30121157652,323,1,152.98,0.0
655,,,,975.30121157652,975.30121157652,324,1,152.914,0.0
656,,,,980.30121157652,980.30121157652,325,1,152.859,0.0
657,,,,985.30121157652,985.30121157652,326,1,152.815,0.0
658,,,,990.30121157652,990.30121157652,327,1,152.757,0.0
659,,,,995.30121157652,995.30121157652,328,1,152.692,0.0
660,,,,1000.30121157652,1000.30121157652,329,1,152.627,0.0
661,,,,1005.30121157652,1005.30121157652,330,1,152.559,0.0
662,,,,1010.30121157652,1010.30121157652,331,1,152.49,0.0
663,,,,1015.30121157652,1015.30121157652,332,1,152.412,0.0
664,,,,1020.30121157652,1020.30121157652,333,1,152.339,0.0
665,,,,1025.30121157652,1025.30121157652,334,1,152.266,0.0
666,,,,1030.30121157652,1030.30121157652,335,1,152.185,0.0
667,,,,1035.30121157652,1035.30121157652,336,1,152.103,0.0
668,,,,1040.30121157652,1040.30121157652,337,1,152.017,0.0
669,,,,1045.30121157652,1045.30121157652,338,1,151.927,0.0
670,,,,1050.30121157652,1050.30121157652,339,1,151.836,0.0
671,,,,1055.30121157652,1055.30121157652,340,1,151.748,0.0
672,,,,1060.30121157652,1060.30121157652,341,1,151.665,0.0
673,,,,1065.30121157652,1065.30121157652,342,1,151.594,0.0
674,,,,1070.30121157652,1070.30121157652,343,1,151.519,0.0
675,,,,1075.30121157652,1075.30121157652,344,1,151.443,0.0
676,,,,1080.30121157652,1080.30121157652,345,1,151.369,0.0
677,,,,1085.30121157652,1085.30121157652,346,1,151.304,0.0
678,,,,1090.30121157652,1090.30121157652,347,1,151.24,0.0
679,,,,1095.30121157652,1095.30121157652,348,1,151.187,0.0
