fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
24,,,,-1589.03560045651,-1589.03560045651,1,0,158.935,0.0
40,,,,-1540.03560045651,-1540.03560045651,12,1,158.929,0.0
41,,,,-1537.03560045651,-1537.03560045651,13,1,158.922,0.0
42,,,,-1534.03560045651,-1534.03560045651,14,1,158.916,0.0
43,,,,-1531.03560045651,-1531.03560045651,15,1,158.909,0.0
44,,,,-1528.03560045651,-1528.03560045651,16,1,158.903,0.0
45,,,,-1525.03560045651,-1525.03560045651,17,1,158.898,0.0
136,,,,-1252.03560045651,-1252.03560045651,108,1,158.884,0.0
137,,,,-1249.03560045651,-1249.03560045651,109,1,158.833,0.0
138,,,,-1246.03560045651,-1246.03560045651,110,1,158.782,0.0
139,,,,-1243.03560045651,-1243.03560045651,111,1,158.728,0.0
140,,,,-1240.03560045651,-1240.03560045651,112,1,158.681,0.0
141,,,,-1237.03560045651,-1237.03560045651,113,1,158.637,0.0
142,,,,-1233.03560045651,-1233.03560045651,114,1,158.598,0.0
143,,,,-1230.03560045651,-1230.03560045651,115,1,158.571,0.0
144,,,,-1227.03560045651,-1227.03560045651,116,1,158.537,0.0
145,,,,-1224.03560045651,-1224.03560045651,117,1,158.504,0.0
146,,,,-1221.03560045651,-1221.03560045651,118,1,158.474,0.0
147,,,,-1218.03560045651,-1218.03560045651,119,1,158.441,0.0
148,,,,-1215.03560045651,-1215.03560045651,120,1,158.406,0.0
149,,,,-1212.03560045651,-1212.03560045651,121,1,158.361,0.0
150,,,,-1209.03560045651,-1209.03560045651,122,1,158.323,0.0
151,,,,-1206.03560045651,-1206.03560045651,123,1,158.291,0.0
152,,,,-1203.03560045651,-1203.03560045651,124,1,158.254,0.0
153,,,,-1200.03560045651,-1200.03560045651,125,1,158.226,0.0
154,,,,-1197.03560045651,-1197.03560045651,126,1,158.201,0.0
155,,,,-1194.03560045651,-1194.03560045651,127,1,158.173,0.0
156,,,,-1191.03560045651,-1191.03560045651,128,1,158.133,0.0
157,,,,-1188.03560045651,-1188.03560045651,129,1,158.107,0.0
247,,,,-917.03560045651,-917.03560045651,219,1,158.105,0.0
248,,,,-914.03560045651,-914.03560045651,220,1,158.077,0.0
249,,,,-911.03560045651,-911.03560045651,221,1,158.047,0.0
250,,,,-908.03560045651,-908.03560045651,222,1,158.023,0.0
251,,,,-905.03560045651,-905.03560045651,223,1,158.004,0.0
252,,,,-902.03560045651,-902.03560045651,224,1,157.983,0.0
253,,,,-899.03560045651,-899.03560045651,225,1,157.949,0.0
254,,,,-896.03560045651,-896.03560045651,226,1,157.897,0.0
255,,,,-893.03560045651,-893.03560045651,227,1,157.868,0.0
256,,,,-890.03560045651,-890.03560045651,228,1,157.852,0.0
261,,,,-875.03560045651,-875.03560045651,233,1,157.84,0.0
262,,,,-871.03560045651,-871.03560045651,234,1,157.825,0.0
