leg,tickLead,tickRace,distance,area
0,-279.0,-279.0,159.294,0.0
0,-39.0,-39.0,159.29,0.0
0,-29.0,-29.0,159.288,0.0
0,-19.0,-19.0,159.285,0.0
1,22.0,22.0,159.251,0.0
1,32.0,32.0,159.203,0.0
1,42.0,42.0,159.142,0.0
1,52.0,52.0,159.059,0.0
1,62.0,62.0,158.985,0.0
1,72.0,72.0,158.85,0.0
1,82.0,82.0,158.678,0.0
1,92.0,92.0,158.503,0.0
1,102.0,102.0,158.347,0.0
1,112.0,112.0,158.217,0.0
1,122.0,122.0,158.073,0.0
1,965.0,965.0,157.931,0.0
1,995.0,995.0,157.914,0.0
1,1025.0,1025.0,157.745,0.0
1,1055.0,1055.0,157.568,0.0
1,1065.0,1065.0,157.347,0.0
1,1075.0,1075.0,157.116,0.0
1,1085.0,1085.0,156.888,0.0
1,1095.0,1095.0,156.688,0.0
1,1105.0,1105.0,156.495,0.0
1,1116.0,1116.0,156.315,0.0
1,1126.0,1126.0,156.151,0.0
1,1136.0,1136.0,155.993,0.0
1,1146.0,1146.0,155.819,0.0
1,1156.0,1156.0,155.664,0.0
1,1166.0,1166.0,155.496,0.0
1,1176.0,1176.0,155.313,0.0
1,1186.0,1186.0,155.129,0.0
1,1196.0,1196.0,154.956,0.0
1,1206.0,1206.0,154.79,0.0
1,1216.0,1216.0,154.617,0.0
1,1226.0,1226.0,154.452,0.0
1,1236.0,1236.0,154.28,0.0
1,1246.0,1246.0,154.094,0.0
1,1256.0,1256.0,153.896,0.0
1,1266.0,1266.0,153.704,0.0
1,1276.0,1276.0,153.525,0.0
1,1286.0,1286.0,153.455,0.0
1,1316.0,1316.0,153.436,0.0
1,1356.0,1356.0,153.35,0.0
1,1366.0,1366.0,153.214,0.0
1,1376.0,1376.0,153.106,0.0
1,1386.0,1386.0,153.005,0.0
1,1397.0,1397.0,152.889,0.0
1,1407.0,1407.0,152.774,0.0
1,1417.0,1417.0,152.707,0.0
1,1427.0,1427.0,152.644,0.0
1,1437.0,1437.0,152.578,0.0
1,1447.0,1447.0,152.511,0.0
1,1457.0,1457.0,152.456,0.0
1,1467.0,1467.0,152.399,0.0
1,1477.0,1477.0,152.354,0.0
1,1487.0,1487.0,152.315,0.0
1,1497.0,1497.0,152.291,0.0
1,1527.0,1527.0,152.279,0.0
1,1537.0,1537.0,152.228,0.0
1,1547.0,1547.0,152.194,0.0
1,1557.0,1557.0,152.148,0.0
1,1567.0,1567.0,152.127,0.0
1,1577.0,1577.0,152.126,0.0
1,1637.0,1637.0,152.087,0.0
1,1848.0,1848.0,152.063,0.0
1,1868.0,1868.0,151.989,0.0
1,1888.0,1888.0,151.943,0.0
1,1938.0,1938.0,151.877,0.0
1,1969.0,1969.0,151.793,0.0
1,1999.0,1999.0,151.767,0.0
1,2009.0,2009.0,151.727,0.0
1,2049.0,2049.0,151.626,0.0
1,2059.0,2059.0,151.581,0.0
1,2069.0,2069.0,151.54,0.0
1,2079.0,2079.0,151.506,0.0
1,2089.0,2089.0,151.497,0.0
1,2561.0,2561.0,151.457,0.0
1,2571.0,2571.0,151.317,0.0
1,2581.0,2581.0,151.194,0.0
1,2591.0,2591.0,151.151,0.0
1,2848.0,2848.0,150.995,0.0
1,2858.0,2858.0,150.818,0.0
1,2868.0,2868.0,150.633,0.0
2,2878.0,2878.0,150.456,3.35469639671228e-9
2,2888.0,2888.0,150.273,3.476304941473884e-9
2,2898.0,2898.0,150.086,3.560204250808055e-9
2,2908.0,2908.0,149.882,3.892187684127388e-9
2,2918.0,2918.0,149.669,4.072207896488763e-9
2,2928.0,2928.0,149.467,3.8697722043190965e-9
2,2938.0,2938.0,149.274,3.7050852736945314e-9
2,2948.0,2948.0,149.091,3.5206327317459037e-9
2,2958.0,2958.0,148.896,3.759450543384366e-9
2,2968.0,2968.0,148.715,3.496920246686218e-9
2,2978.0,2978.0,148.584,2.5367853120039806e-9
2,2988.0,2988.0,148.435,2.8923135362265447e-9
2,2998.0,2998.0,148.253,3.540766392398808e-9
2,3008.0,3008.0,148.04,4.152150661909701e-9
2,3019.0,3019.0,147.851,3.6927588681792006e-9
2,3029.0,3029.0,147.706,2.839244559211097e-9
2,3149.0,3149.0,147.656,1.0171653609318524e-9
2,3159.0,3159.0,147.517,2.834884258666076e-9
2,3179.0,3179.0,147.47,9.640188810716058e-10
2,3189.0,3189.0,147.412,1.192957723425694e-9
2,3199.0,3199.0,147.273,2.8660340606648573e-9
2,3209.0,3209.0,147.085,3.884165145605817e-9
2,3219.0,3219.0,146.893,3.974031574434819e-9
2,3229.0,3229.0,146.7,4.001891664978931e-9
