fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
25,,,,242.0,-1133.76125802116,-1133.76125802116,1,1,127.766,0.0
56,,,,456.0,-1042.76125802116,-1042.76125802116,32,1,127.717,0.0
57,,,,469.0,-1039.76125802116,-1039.76125802116,33,1,127.66,0.0
58,,,,483.0,-1036.76125802116,-1036.76125802116,34,1,127.602,0.0
59,,,,496.0,-1033.76125802116,-1033.76125802116,35,1,127.544,0.0
60,,,,509.0,-1030.76125802116,-1030.76125802116,36,1,127.489,0.0
61,,,,522.0,-1027.76125802116,-1027.76125802116,37,1,127.441,0.0
62,,,,535.0,-1024.76125802116,-1024.76125802116,38,1,127.396,0.0
63,,,,548.0,-1021.76125802116,-1021.76125802116,39,1,127.357,0.0
64,,,,562.0,-1018.76125802116,-1018.76125802116,40,1,127.323,0.0
65,,,,575.0,-1015.76125802116,-1015.76125802116,41,1,127.297,0.0
66,,,,588.0,-1012.76125802116,-1012.76125802116,42,1,127.279,0.0
67,,,,602.0,-1008.76125802116,-1008.76125802116,43,1,127.274,0.0
105,,,,959.0,-894.76125802116,-894.76125802116,81,1,127.249,0.0
106,,,,964.0,-891.76125802116,-891.76125802116,82,1,127.221,0.0
107,,,,970.0,-887.76125802116,-887.76125802116,83,1,127.212,0.0
116,,,,1029.0,-860.76125802116,-860.76125802116,92,1,127.189,0.0
117,,,,1036.0,-857.76125802116,-857.76125802116,93,1,127.152,0.0
118,,,,1043.0,-854.76125802116,-854.76125802116,94,1,127.134,0.0
129,,,,1120.0,-821.76125802116,-821.76125802116,105,1,127.133,0.0
130,,,,1126.0,-818.76125802116,-818.76125802116,106,1,127.113,0.0
142,,,,1203.0,-782.76125802116,-782.76125802116,118,1,127.085,0.0
143,,,,1210.0,-779.76125802116,-779.76125802116,119,1,127.042,0.0
144,,,,1217.0,-776.76125802116,-776.76125802116,120,1,127.0,0.0
145,,,,1224.0,-773.76125802116,-773.76125802116,121,1,126.973,0.0
152,,,,1276.0,-751.76125802116,-751.76125802116,128,1,126.963,0.0
153,,,,1284.0,-748.76125802116,-748.76125802116,129,1,126.923,0.0
154,,,,1292.0,-745.76125802116,-745.76125802116,130,1,126.887,0.0
160,,,,1348.0,-727.76125802116,-727.76125802116,136,1,126.86,0.0
161,,,,1358.0,-724.76125802116,-724.76125802116,137,1,126.842,0.0
166,,,,1411.0,-709.76125802116,-709.76125802116,142,1,126.832,0.0
167,,,,1421.0,-706.76125802116,-706.76125802116,143,1,126.791,0.0
168,,,,1430.0,-703.76125802116,-703.76125802116,144,1,126.765,0.0
178,,,,1525.0,-673.76125802116,-673.76125802116,154,1,126.751,0.0
179,,,,1533.0,-670.76125802116,-670.76125802116,155,1,126.714,0.0
180,,,,1542.0,-667.76125802116,-667.76125802116,156,1,126.693,0.0
188,,,,1605.0,-642.76125802116,-642.76125802116,164,1,126.69,0.0
189,,,,1612.0,-639.76125802116,-639.76125802116,165,1,126.673,0.0
201,,,,1674.0,-603.76125802116,-603.76125802116,177,1,126.645,0.0
202,,,,1678.0,-600.76125802116,-600.76125802116,178,1,126.605,0.0
203,,,,1682.0,-597.76125802116,-597.76125802116,179,1,126.563,0.0
204,,,,1686.0,-594.76125802116,-594.76125802116,180,1,126.516,0.0
205,,,,1691.0,-591.76125802116,-591.76125802116,181,1,126.483,0.0
206,,,,1697.0,-588.76125802116,-588.76125802116,182,1,126.458,0.0
207,,,,1702.0,-585.76125802116,-585.76125802116,183,1,126.446,0.0
251,,,,1819.0,-452.76125802116,-452.76125802116,227,1,126.409,0.0
252,,,,1819.0,-449.76125802116,-449.76125802116,228,1,126.363,0.0
253,,,,1818.0,-446.76125802116,-446.76125802116,229,1,126.318,0.0
