fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,247.0,1715.933630106351,1715.933630106351,1,1,216.815,0.0
4,,,,246.0,1745.933630106351,1745.933630106351,4,1,216.814,0.0
5,,,,244.0,1755.933630106351,1755.933630106351,5,1,216.812,0.0
39,,,,293.0,2115.933630106351,2115.933630106351,39,1,216.631,0.0
40,,,,307.0,2125.933630106351,2125.933630106351,40,1,216.53,0.0
81,,,,795.0,2536.933630106351,2536.933630106351,81,1,216.519,0.0
82,,,,799.0,2546.933630106351,2546.933630106351,82,1,216.437,0.0
84,,,,813.0,2566.933630106351,2566.933630106351,84,1,216.398,0.0
85,,,,819.0,2576.933630106351,2576.933630106351,85,1,216.304,0.0
86,,,,822.0,2586.933630106351,2586.933630106351,86,1,216.209,0.0
87,,,,827.0,2596.933630106351,2596.933630106351,87,1,216.162,0.0
88,,,,831.0,2606.933630106351,2606.933630106351,88,1,216.076,0.0
89,,,,839.0,2616.933630106351,2616.933630106351,89,1,215.916,0.0
90,,,,846.0,2626.933630106351,2626.933630106351,90,1,215.887,0.0
93,,,,859.0,2657.933630106351,2657.933630106351,93,1,215.824,0.0
94,,,,882.0,2667.933630106351,2667.933630106351,94,1,215.637,0.0
95,,,,882.0,2677.933630106351,2677.933630106351,95,1,215.616,0.0
103,,,,933.0,2757.933630106351,2757.933630106351,103,1,215.511,0.0
104,,,,941.0,2767.933630106351,2767.933630106351,104,1,215.397,0.0
105,,,,941.0,2777.933630106351,2777.933630106351,105,1,215.306,0.0
115,,,,1009.0,2877.933630106351,2877.933630106351,115,1,215.222,0.0
117,,,,1068.0,2897.933630106351,2897.933630106351,117,1,215.132,0.0
118,,,,1068.0,2907.933630106351,2907.933630106351,118,1,215.057,0.0
120,,,,1122.0,2927.933630106351,2927.933630106351,120,1,214.942,0.0
121,,,,1161.0,2938.933630106351,2938.933630106351,121,1,214.935,0.0
122,,,,1196.0,2947.933630106351,2947.933630106351,122,1,214.827,0.0
123,,,,1212.0,2957.933630106351,2957.933630106351,123,1,214.801,0.0
125,,,,1255.0,2977.933630106351,2977.933630106351,125,1,214.722,0.0
126,,,,1265.0,2988.933630106351,2988.933630106351,126,1,214.562,0.0
