fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
23,,,,243.0,889.58045217487,889.58045217487,1,1,201.293,0.0
132,,,,709.0,1107.58045217487,1107.58045217487,110,1,201.286,0.0
133,,,,713.0,1109.58045217487,1109.58045217487,111,1,201.276,0.0
134,,,,716.0,1111.58045217487,1111.58045217487,112,1,201.275,0.0
140,,,,742.0,1123.58045217487,1123.58045217487,118,1,201.262,0.0
141,,,,746.0,1125.58045217487,1125.58045217487,119,1,201.214,0.0
142,,,,750.0,1128.58045217487,1128.58045217487,120,1,201.195,0.0
143,,,,755.0,1130.58045217487,1130.58045217487,121,1,201.194,0.0
147,,,,772.0,1138.58045217487,1138.58045217487,125,1,201.19,0.0
148,,,,777.0,1140.58045217487,1140.58045217487,126,1,201.159,0.0
149,,,,781.0,1142.58045217487,1142.58045217487,127,1,201.136,0.0
150,,,,786.0,1144.58045217487,1144.58045217487,128,1,201.125,0.0
156,,,,815.0,1156.58045217487,1156.58045217487,134,1,201.113,0.0
157,,,,819.0,1158.58045217487,1158.58045217487,135,1,201.083,0.0
158,,,,824.0,1160.58045217487,1160.58045217487,136,1,201.065,0.0
159,,,,829.0,1162.58045217487,1162.58045217487,137,1,201.062,0.0
163,,,,850.0,1170.58045217487,1170.58045217487,141,1,201.049,0.0
164,,,,857.0,1172.58045217487,1172.58045217487,142,1,201.019,0.0
165,,,,863.0,1174.58045217487,1174.58045217487,143,1,200.998,0.0
166,,,,869.0,1176.58045217487,1176.58045217487,144,1,200.993,0.0
170,,,,891.0,1184.58045217487,1184.58045217487,148,1,200.992,0.0
171,,,,898.0,1186.58045217487,1186.58045217487,149,1,200.961,0.0
172,,,,903.0,1188.58045217487,1188.58045217487,150,1,200.933,0.0
173,,,,909.0,1190.58045217487,1190.58045217487,151,1,200.922,0.0
178,,,,935.0,1200.58045217487,1200.58045217487,156,1,200.904,0.0
179,,,,941.0,1202.58045217487,1202.58045217487,157,1,200.873,0.0
180,,,,946.0,1204.58045217487,1204.58045217487,158,1,200.851,0.0
181,,,,952.0,1206.58045217487,1206.58045217487,159,1,200.847,0.0
189,,,,993.0,1222.58045217487,1222.58045217487,167,1,200.839,0.0
190,,,,998.0,1224.58045217487,1224.58045217487,168,1,200.811,0.0
191,,,,1003.0,1226.58045217487,1226.58045217487,169,1,200.797,0.0
197,,,,1031.0,1238.58045217487,1238.58045217487,175,1,200.796,0.0
198,,,,1035.0,1240.58045217487,1240.58045217487,176,1,200.766,0.0
199,,,,1040.0,1242.58045217487,1242.58045217487,177,1,200.75,0.0
205,,,,1067.0,1254.58045217487,1254.58045217487,183,1,200.741,0.0
206,,,,1072.0,1256.58045217487,1256.58045217487,184,1,200.712,0.0
207,,,,1076.0,1258.58045217487,1258.58045217487,185,1,200.701,0.0
214,,,,1106.0,1272.58045217487,1272.58045217487,192,1,200.674,0.0
215,,,,1110.0,1274.58045217487,1274.58045217487,193,1,200.645,0.0
216,,,,1114.0,1276.58045217487,1276.58045217487,194,1,200.629,0.0
217,,,,1118.0,1278.58045217487,1278.58045217487,195,1,200.627,0.0
222,,,,1138.0,1288.58045217487,1288.58045217487,200,1,200.599,0.0
223,,,,1143.0,1290.58045217487,1290.58045217487,201,1,200.572,0.0
224,,,,1146.0,1292.58045217487,1292.58045217487,202,1,200.561,0.0
231,,,,1178.0,1306.58045217487,1306.58045217487,209,1,200.542,0.0
232,,,,1182.0,1308.58045217487,1308.58045217487,210,1,200.526,0.0
239,,,,1216.0,1322.58045217487,1322.58045217487,217,1,200.513,0.0
240,,,,1220.0,1324.58045217487,1324.58045217487,218,1,200.487,0.0
241,,,,1225.0,1326.58045217487,1326.58045217487,219,1,200.473,0.0
249,,,,1263.0,1342.58045217487,1342.58045217487,227,1,200.454,0.0
250,,,,1271.0,1344.58045217487,1344.58045217487,228,1,200.429,0.0
265,,,,1363.0,1374.58045217487,1374.58045217487,243,1,200.41,0.0
266,,,,1369.0,1376.58045217487,1376.58045217487,244,1,200.407,0.0
272,,,,1409.0,1388.58045217487,1388.58045217487,250,1,200.384,0.0
273,,,,1415.0,1390.58045217487,1390.58045217487,251,1,200.369,0.0
290,,,,1531.0,1424.58045217487,1424.58045217487,268,1,200.352,0.0
291,,,,1538.0,1426.58045217487,1426.58045217487,269,1,200.332,0.0
298,,,,1586.0,1440.58045217487,1440.58045217487,276,1,200.313,0.0
299,,,,1593.0,1442.58045217487,1442.58045217487,277,1,200.286,0.0
300,,,,1599.0,1444.58045217487,1444.58045217487,278,1,200.279,0.0
308,,,,1649.0,1460.58045217487,1460.58045217487,286,1,200.265,0.0
309,,,,1655.0,1462.58045217487,1462.58045217487,287,1,200.235,0.0
310,,,,1660.0,1464.58045217487,1464.58045217487,288,1,200.208,0.0
311,,,,1665.0,1466.58045217487,1466.58045217487,289,1,200.192,0.0
312,,,,1670.0,1468.58045217487,1468.58045217487,290,1,200.188,0.0
320,,,,1709.0,1484.58045217487,1484.58045217487,298,1,200.172,0.0
321,,,,1714.0,1486.58045217487,1486.58045217487,299,1,200.142,0.0
322,,,,1719.0,1488.58045217487,1488.58045217487,300,1,200.12,0.0
323,,,,1723.0,1490.58045217487,1490.58045217487,301,1,200.107,0.0
324,,,,1728.0,1492.58045217487,1492.58045217487,302,1,200.103,0.0
329,,,,1751.0,1502.58045217487,1502.58045217487,307,1,200.084,0.0
330,,,,1755.0,1504.58045217487,1504.58045217487,308,1,200.059,0.0
331,,,,1760.0,1506.58045217487,1506.58045217487,309,1,200.046,0.0
338,,,,1788.0,1520.58045217487,1520.58045217487,316,1,200.023,0.0
339,,,,1792.0,1522.58045217487,1522.58045217487,317,1,199.992,0.0
340,,,,1796.0,1524.58045217487,1524.58045217487,318,1,199.968,0.0
341,,,,1799.0,1526.58045217487,1526.58045217487,319,1,199.965,0.0
350,,,,1833.0,1544.58045217487,1544.58045217487,328,1,199.937,0.0
351,,,,1836.0,1546.58045217487,1546.58045217487,329,1,199.919,0.0
352,,,,1839.0,1548.58045217487,1548.58045217487,330,1,199.91,0.0
362,,,,1859.0,1569.58045217487,1569.58045217487,340,1,199.883,0.0
363,,,,1861.0,1571.58045217487,1571.58045217487,341,1,199.848,0.0
364,,,,1862.0,1573.58045217487,1573.58045217487,342,1,199.815,0.0
365,,,,1864.0,1575.58045217487,1575.58045217487,343,1,199.784,0.0
366,,,,1865.0,1577.58045217487,1577.58045217487,344,1,199.755,0.0
367,,,,1867.0,1579.58045217487,1579.58045217487,345,1,199.724,0.0
368,,,,1868.0,1581.58045217487,1581.58045217487,346,1,199.696,0.0
369,,,,1869.0,1583.58045217487,1583.58045217487,347,1,199.67,0.0
370,,,,1870.0,1585.58045217487,1585.58045217487,348,1,199.642,0.0
371,,,,1871.0,1587.58045217487,1587.58045217487,349,1,199.615,0.0
372,,,,1872.0,1589.58045217487,1589.58045217487,350,1,199.586,0.0
373,,,,1872.0,1591.58045217487,1591.58045217487,351,1,199.556,0.0
374,,,,1873.0,1593.58045217487,1593.58045217487,352,1,199.526,0.0
375,,,,1873.0,1595.58045217487,1595.58045217487,353,1,199.495,0.0
376,,,,1874.0,1597.58045217487,1597.58045217487,354,1,199.465,0.0
377,,,,1874.0,1599.58045217487,1599.58045217487,355,1,199.433,0.0
378,,,,1874.0,1601.58045217487,1601.58045217487,356,1,199.401,0.0
379,,,,1874.0,1603.58045217487,1603.58045217487,357,1,199.368,0.0
380,,,,1874.0,1605.58045217487,1605.58045217487,358,1,199.336,0.0
381,,,,1874.0,1607.58045217487,1607.58045217487,359,1,199.306,0.0
382,,,,1874.0,1609.58045217487,1609.58045217487,360,1,199.27,0.0
383,,,,1874.0,1611.58045217487,1611.58045217487,361,1,199.237,0.0
384,,,,1875.0,1613.58045217487,1613.58045217487,362,1,199.207,0.0
385,,,,1876.0,1615.58045217487,1615.58045217487,363,1,199.174,0.0
386,,,,1877.0,1617.58045217487,1617.58045217487,364,1,199.138,0.0
387,,,,1878.0,1619.58045217487,1619.58045217487,365,1,199.102,0.0
388,,,,1879.0,1621.58045217487,1621.58045217487,366,1,199.066,0.0
389,,,,1880.0,1623.58045217487,1623.58045217487,367,1,199.029,0.0
390,,,,1881.0,1625.58045217487,1625.58045217487,368,1,198.99,0.0
391,,,,1882.0,1627.58045217487,1627.58045217487,369,1,198.95,0.0
392,,,,1883.0,1629.58045217487,1629.58045217487,370,1,198.912,0.0
393,,,,1884.0,1631.58045217487,1631.58045217487,371,1,198.87,0.0
394,,,,1884.0,1633.58045217487,1633.58045217487,372,1,198.829,0.0
395,,,,1884.0,1635.58045217487,1635.58045217487,373,1,198.785,0.0
396,,,,1884.0,1637.58045217487,1637.58045217487,374,1,198.744,0.0
397,,,,1884.0,1639.58045217487,1639.58045217487,375,1,198.702,0.0
398,,,,1884.0,1641.58045217487,1641.58045217487,376,1,198.661,0.0
399,,,,1883.0,1643.58045217487,1643.58045217487,377,1,198.62,0.0
400,,,,1883.0,1645.58045217487,1645.58045217487,378,1,198.575,0.0
401,,,,1882.0,1647.58045217487,1647.58045217487,379,1,198.529,0.0
402,,,,1881.0,1649.58045217487,1649.58045217487,380,1,198.484,0.0
403,,,,1881.0,1651.58045217487,1651.58045217487,381,1,198.441,0.0
404,,,,1879.0,1653.58045217487,1653.58045217487,382,1,198.396,0.0
405,,,,1878.0,1655.58045217487,1655.58045217487,383,1,198.349,0.0
406,,,,1876.0,1657.58045217487,1657.58045217487,384,1,198.304,0.0
407,,,,1874.0,1659.58045217487,1659.58045217487,385,1,198.259,0.0
408,,,,1872.0,1661.58045217487,1661.58045217487,386,1,198.214,0.0
409,,,,1870.0,1663.58045217487,1663.58045217487,387,1,198.168,0.0
410,,,,1869.0,1665.58045217487,1665.58045217487,388,1,198.123,0.0
411,,,,1866.0,1667.58045217487,1667.58045217487,389,1,198.081,0.0
412,,,,1864.0,1669.58045217487,1669.58045217487,390,1,198.038,0.0
413,,,,1862.0,1671.58045217487,1671.58045217487,391,1,197.994,0.0
414,,,,1860.0,1673.58045217487,1673.58045217487,392,1,197.952,0.0
415,,,,1858.0,1675.58045217487,1675.58045217487,393,1,197.908,0.0
416,,,,1855.0,1677.58045217487,1677.58045217487,394,1,197.864,0.0
417,,,,1853.0,1679.58045217487,1679.58045217487,395,1,197.82,0.0
418,,,,1851.0,1681.58045217487,1681.58045217487,396,1,197.779,0.0
419,,,,1848.0,1683.58045217487,1683.58045217487,397,1,197.737,0.0
420,,,,1846.0,1685.58045217487,1685.58045217487,398,1,197.691,0.0
421,,,,1843.0,1687.58045217487,1687.58045217487,399,1,197.646,0.0
422,,,,1840.0,1689.58045217487,1689.58045217487,400,1,197.602,0.0
423,,,,1837.0,1691.58045217487,1691.58045217487,401,1,197.559,0.0
424,,,,1834.0,1693.58045217487,1693.58045217487,402,1,197.513,0.0
425,,,,1831.0,1695.58045217487,1695.58045217487,403,1,197.469,0.0
426,,,,1828.0,1697.58045217487,1697.58045217487,404,1,197.425,0.0
427,,,,1825.0,1699.58045217487,1699.58045217487,405,1,197.381,0.0
428,,,,1821.0,1701.58045217487,1701.58045217487,406,1,197.336,0.0
429,,,,1818.0,1703.58045217487,1703.58045217487,407,1,197.294,0.0
430,,,,1814.0,1705.58045217487,1705.58045217487,408,1,197.253,0.0
431,,,,1811.0,1707.58045217487,1707.58045217487,409,1,197.216,0.0
