fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
21,,,,238.0,480.427576938485,480.427576938485,1,0,201.277,0.0
176,,,,1186.0,950.427576938485,950.427576938485,63,1,201.251,0.0
177,,,,1194.0,953.427576938485,953.427576938485,64,1,201.233,0.0
182,,,,1235.0,969.427576938485,969.427576938485,69,1,201.205,0.0
183,,,,1245.0,973.427576938485,973.427576938485,70,1,201.184,0.0
188,,,,1280.0,988.427576938485,988.427576938485,75,1,201.18,0.0
189,,,,1287.0,991.427576938485,991.427576938485,76,1,201.142,0.0
190,,,,1294.0,994.427576938485,994.427576938485,77,1,201.123,0.0
191,,,,1301.0,997.427576938485,997.427576938485,78,1,201.119,0.0
197,,,,1337.0,1015.427576938485,1015.427576938485,84,1,201.085,0.0
198,,,,1343.0,1018.427576938485,1018.427576938485,85,1,201.047,0.0
199,,,,1349.0,1021.427576938485,1021.427576938485,86,1,201.03,0.0
204,,,,1378.0,1036.427576938485,1036.427576938485,91,1,200.997,0.0
205,,,,1385.0,1039.427576938485,1039.427576938485,92,1,200.952,0.0
206,,,,1392.0,1042.427576938485,1042.427576938485,93,1,200.932,0.0
211,,,,1426.0,1058.427576938485,1058.427576938485,98,1,200.906,0.0
212,,,,1433.0,1061.427576938485,1061.427576938485,99,1,200.857,0.0
213,,,,1440.0,1064.427576938485,1064.427576938485,100,1,200.812,0.0
214,,,,1447.0,1067.427576938485,1067.427576938485,101,1,200.795,0.0
220,,,,1492.0,1085.427576938485,1085.427576938485,107,1,200.783,0.0
221,,,,1499.0,1088.427576938485,1088.427576938485,108,1,200.743,0.0
222,,,,1507.0,1091.427576938485,1091.427576938485,109,1,200.728,0.0
228,,,,1552.0,1109.427576938485,1109.427576938485,115,1,200.71,0.0
229,,,,1558.0,1112.427576938485,1112.427576938485,116,1,200.674,0.0
235,,,,1599.0,1130.427576938485,1130.427576938485,122,1,200.629,0.0
236,,,,1604.0,1133.427576938485,1133.427576938485,123,1,200.592,0.0
237,,,,1611.0,1137.427576938485,1137.427576938485,124,1,200.581,0.0
243,,,,1646.0,1155.427576938485,1155.427576938485,130,1,200.546,0.0
244,,,,1652.0,1158.427576938485,1158.427576938485,131,1,200.529,0.0
251,,,,1680.0,1179.427576938485,1179.427576938485,138,1,200.483,0.0
252,,,,1681.0,1182.427576938485,1182.427576938485,139,1,200.437,0.0
253,,,,1683.0,1185.427576938485,1185.427576938485,140,1,200.417,0.0
254,,,,1684.0,1188.427576938485,1188.427576938485,141,1,200.414,0.0
260,,,,1694.0,1206.427576938485,1206.427576938485,147,1,200.387,0.0
261,,,,1696.0,1209.427576938485,1209.427576938485,148,1,200.341,0.0
262,,,,1697.0,1212.427576938485,1212.427576938485,149,1,200.315,0.0
268,,,,1703.0,1230.427576938485,1230.427576938485,155,1,200.279,0.0
269,,,,1702.0,1234.427576938485,1234.427576938485,156,1,200.226,0.0
270,,,,1701.0,1237.427576938485,1237.427576938485,157,1,200.219,0.0
280,,,,1695.0,1267.427576938485,1267.427576938485,167,1,200.195,0.0
281,,,,1695.0,1270.427576938485,1270.427576938485,168,1,200.17,0.0
282,,,,1697.0,1273.427576938485,1273.427576938485,169,1,200.158,0.0
283,,,,1699.0,1276.427576938485,1276.427576938485,170,1,200.145,0.0
284,,,,1700.0,1279.427576938485,1279.427576938485,171,1,200.136,0.0
291,,,,1714.0,1300.427576938485,1300.427576938485,178,1,200.132,0.0
292,,,,1716.0,1303.427576938485,1303.427576938485,179,1,200.105,0.0
293,,,,1718.0,1306.427576938485,1306.427576938485,180,1,200.098,0.0
300,,,,1727.0,1328.427576938485,1328.427576938485,187,1,200.068,0.0
301,,,,1727.0,1331.427576938485,1331.427576938485,188,1,200.05,0.0
308,,,,1734.0,1352.427576938485,1352.427576938485,195,1,200.047,0.0
309,,,,1736.0,1355.427576938485,1355.427576938485,196,1,200.0,0.0
310,,,,1737.0,1358.427576938485,1358.427576938485,197,1,199.956,0.0
311,,,,1739.0,1361.427576938485,1361.427576938485,198,1,199.915,0.0
312,,,,1740.0,1364.427576938485,1364.427576938485,199,1,199.876,0.0
313,,,,1741.0,1367.427576938485,1367.427576938485,200,1,199.835,0.0
314,,,,1742.0,1370.427576938485,1370.427576938485,201,1,199.789,0.0
315,,,,1743.0,1373.427576938485,1373.427576938485,202,1,199.772,0.0
316,,,,1745.0,1376.427576938485,1376.427576938485,203,1,199.685,0.0
317,,,,1747.0,1379.427576938485,1379.427576938485,204,1,199.637,0.0
