fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2012-01-05T02:22:35Z,-33.36797600,147.94673400,1128.00,
2,,,,,2012-01-05T02:22:39Z,-33.36797300,147.94620800,1155.00,
3,,,,,2012-01-05T02:22:42Z,-33.36766300,147.94616700,1155.00,
4,,,,,2012-01-05T02:22:45Z,-33.36747200,147.94654400,1159.00,
5,,,,,2012-01-05T02:22:48Z,-33.36749500,147.94698700,1161.00,
6,,,,,2012-01-05T02:22:51Z,-33.36769600,147.94736300,1165.00,
7,,,,,2012-01-05T02:22:54Z,-33.36799800,147.94765000,1169.00,
8,,,,,2012-01-05T02:22:57Z,-33.36841100,147.94766800,1179.00,
9,,,,,2012-01-05T02:23:00Z,-33.36860700,147.94725700,1186.00,
10,,,,,2012-01-05T02:23:03Z,-33.36838200,147.94697000,1195.00,
11,,,,,2012-01-05T02:23:06Z,-33.36810200,147.94707300,1198.00,
12,,,,,2012-01-05T02:23:09Z,-33.36808500,147.94756800,1207.00,
13,,,,,2012-01-05T02:23:12Z,-33.36839800,147.94780400,1217.00,
14,,,,,2012-01-05T02:23:15Z,-33.36874700,147.94767200,1224.00,
15,,,,,2012-01-05T02:23:18Z,-33.36870200,147.94726300,1229.00,
16,,,,,2012-01-05T02:23:21Z,-33.36839200,147.94727500,1230.00,
17,,,,,2012-01-05T02:23:24Z,-33.36828700,147.94765500,1235.00,
18,,,,,2012-01-05T02:23:27Z,-33.36843400,147.94803300,1242.00,
19,,,,,2012-01-05T02:23:30Z,-33.36889200,147.94799900,1246.00,
20,,,,,2012-01-05T02:23:33Z,-33.36901900,147.94758700,1253.00,
21,,,,,2012-01-05T02:23:36Z,-33.36883100,147.94731600,1255.00,
22,,,,,2012-01-05T02:23:39Z,-33.36851800,147.94765700,1259.00,
23,,,,,2012-01-05T02:23:42Z,-33.36861900,147.94809200,1263.00,
24,,,,,2012-01-05T02:23:45Z,-33.36898500,147.94819600,1265.00,
25,,,,,2012-01-05T02:23:48Z,-33.36923100,147.94785800,1268.00,
26,,,,,2012-01-05T02:23:51Z,-33.36902300,147.94756300,1271.00,
27,,,,,2012-01-05T02:23:54Z,-33.36876900,147.94784700,1271.00,
28,,,,,2012-01-05T02:23:57Z,-33.36884000,147.94830000,1276.00,
29,,,,,2012-01-05T02:24:00Z,-33.36908000,147.94868400,1275.00,
30,,,,,2012-01-05T02:24:03Z,-33.36939000,147.94907000,1274.00,
31,,,,,2012-01-05T02:24:06Z,-33.36959700,147.94949700,1276.00,
32,,,,,2012-01-05T02:24:09Z,-33.36975600,147.94997300,1275.00,
33,,,,,2012-01-05T02:24:12Z,-33.37007400,147.95035700,1281.00,
34,,,,,2012-01-05T02:24:15Z,-33.37048700,147.95028000,1286.00,
35,,,,,2012-01-05T02:24:18Z,-33.37054900,147.94987100,1290.00,
36,,,,,2012-01-05T02:24:21Z,-33.37027200,147.94997600,1294.00,
37,,,,,2012-01-05T02:24:24Z,-33.37035200,147.95038900,1302.00,
38,,,,,2012-01-05T02:24:27Z,-33.37072600,147.95059600,1304.00,
39,,,,,2012-01-05T02:24:30Z,-33.37114300,147.95045400,1306.00,
40,,,,,2012-01-05T02:24:33Z,-33.37115200,147.95002000,1305.00,
41,,,,,2012-01-05T02:24:36Z,-33.37086000,147.94978400,1307.00,
42,,,,,2012-01-05T02:24:39Z,-33.37045400,147.94984200,1311.00,
43,,,,,2012-01-05T02:24:42Z,-33.37020100,147.95005000,1316.00,
44,,,,,2012-01-05T02:24:45Z,-33.37024800,147.95048000,1315.00,
45,,,,,2012-01-05T02:24:48Z,-33.37067100,147.95067200,1322.00,
46,,,,,2012-01-05T02:24:51Z,-33.37102200,147.95036400,1321.00,
47,,,,,2012-01-05T02:24:54Z,-33.37108200,147.94990300,1325.00,
48,,,,,2012-01-05T02:24:57Z,-33.37086800,147.94970800,1325.00,
49,,,,,2012-01-05T02:25:00Z,-33.37062700,147.94993600,1323.00,
50,,,,,2012-01-05T02:25:03Z,-33.37047200,147.95033800,1324.00,
51,,,,,2012-01-05T02:25:06Z,-33.37029100,147.95066900,1326.00,
52,,,,,2012-01-05T02:25:09Z,-33.37009800,147.95099000,1323.00,
53,,,,,2012-01-05T02:25:12Z,-33.36997000,147.95139400,1320.00,
54,,,,,2012-01-05T02:25:15Z,-33.36973600,147.95182800,1320.00,
55,,,,,2012-01-05T02:25:18Z,-33.36955800,147.95226300,1321.00,
56,,,,,2012-01-05T02:25:21Z,-33.36941100,147.95273800,1320.00,
57,,,,,2012-01-05T02:25:24Z,-33.36917300,147.95319400,1318.00,
58,,,,,2012-01-05T02:25:27Z,-33.36893400,147.95365400,1327.00,
59,,,,,2012-01-05T02:25:30Z,-33.36895300,147.95417500,1330.00,
60,,,,,2012-01-05T02:25:33Z,-33.36927600,147.95453200,1342.00,
61,,,,,2012-01-05T02:25:36Z,-33.36964300,147.95451500,1342.00,
62,,,,,2012-01-05T02:25:39Z,-33.36982500,147.95410700,1346.00,
63,,,,,2012-01-05T02:25:42Z,-33.36968300,147.95379800,1356.00,
64,,,,,2012-01-05T02:25:45Z,-33.36934100,147.95376500,1361.00,
65,,,,,2012-01-05T02:25:48Z,-33.36909100,147.95415100,1363.00,
66,,,,,2012-01-05T02:25:51Z,-33.36918100,147.95468000,1367.00,
67,,,,,2012-01-05T02:25:54Z,-33.36953000,147.95502100,1371.00,
68,,,,,2012-01-05T02:25:57Z,-33.36997400,147.95510500,1369.00,
69,,,,,2012-01-05T02:26:00Z,-33.37042000,147.95490200,1373.00,
70,,,,,2012-01-05T02:26:03Z,-33.37063300,147.95453200,1378.00,
71,,,,,2012-01-05T02:26:06Z,-33.37055600,147.95413900,1381.00,
72,,,,,2012-01-05T02:26:09Z,-33.37028400,147.95394500,1386.00,
73,,,,,2012-01-05T02:26:12Z,-33.36993700,147.95391200,1390.00,
74,,,,,2012-01-05T02:26:15Z,-33.36958400,147.95398300,1397.00,
75,,,,,2012-01-05T02:26:18Z,-33.36941800,147.95438700,1401.00,
76,,,,,2012-01-05T02:26:21Z,-33.36956900,147.95488000,1403.00,
77,,,,,2012-01-05T02:26:24Z,-33.36994200,147.95503500,1403.00,
78,,,,,2012-01-05T02:26:27Z,-33.37029200,147.95482100,1410.00,
79,,,,,2012-01-05T02:26:30Z,-33.37028600,147.95444600,1414.00,
80,,,,,2012-01-05T02:26:33Z,-33.36995800,147.95432500,1416.00,
81,,,,,2012-01-05T02:26:36Z,-33.36971200,147.95460600,1422.00,
82,,,,,2012-01-05T02:26:39Z,-33.36979600,147.95512700,1420.00,
83,,,,,2012-01-05T02:26:42Z,-33.37013200,147.95546100,1424.00,
84,,,,,2012-01-05T02:26:45Z,-33.37058600,147.95548000,1426.00,
85,,,,,2012-01-05T02:26:48Z,-33.37089700,147.95523200,1434.00,
86,,,,,2012-01-05T02:26:51Z,-33.37093900,147.95484700,1435.00,
87,,,,,2012-01-05T02:26:54Z,-33.37069200,147.95454700,1440.00,
88,,,,,2012-01-05T02:26:57Z,-33.37034600,147.95459100,1446.00,
89,,,,,2012-01-05T02:27:00Z,-33.37019900,147.95501200,1445.00,
90,,,,,2012-01-05T02:27:03Z,-33.37043900,147.95548000,1447.00,
91,,,,,2012-01-05T02:27:06Z,-33.37089200,147.95564100,1451.00,
92,,,,,2012-01-05T02:27:09Z,-33.37132600,147.95554600,1455.00,
93,,,,,2012-01-05T02:27:12Z,-33.37152000,147.95524400,1460.00,
94,,,,,2012-01-05T02:27:15Z,-33.37144700,147.95486500,1461.00,
95,,,,,2012-01-05T02:27:18Z,-33.37107600,147.95466300,1464.00,
96,,,,,2012-01-05T02:27:21Z,-33.37081100,147.95474100,1473.00,
97,,,,,2012-01-05T02:27:24Z,-33.37064700,147.95510400,1471.00,
98,,,,,2012-01-05T02:27:27Z,-33.37072000,147.95559300,1471.00,
99,,,,,2012-01-05T02:27:30Z,-33.37110200,147.95591100,1471.00,
100,,,,,2012-01-05T02:27:33Z,-33.37159800,147.95593000,1472.00,
101,,,,,2012-01-05T02:27:36Z,-33.37191100,147.95571000,1475.00,
102,,,,,2012-01-05T02:27:39Z,-33.37197900,147.95531400,1476.00,
103,,,,,2012-01-05T02:27:42Z,-33.37178100,147.95496600,1478.00,
104,,,,,2012-01-05T02:27:45Z,-33.37151500,147.95475100,1478.00,
105,,,,,2012-01-05T02:27:48Z,-33.37120600,147.95467900,1477.00,
106,,,,,2012-01-05T02:27:51Z,-33.37088500,147.95491000,1479.00,
107,,,,,2012-01-05T02:27:54Z,-33.37073200,147.95529800,1480.00,
108,,,,,2012-01-05T02:27:57Z,-33.37092600,147.95578100,1479.00,
109,,,,,2012-01-05T02:28:00Z,-33.37124600,147.95615400,1489.00,
110,,,,,2012-01-05T02:28:03Z,-33.37163200,147.95639200,1495.00,
111,,,,,2012-01-05T02:28:06Z,-33.37198000,147.95625900,1496.00,
112,,,,,2012-01-05T02:28:09Z,-33.37202800,147.95584300,1493.00,
113,,,,,2012-01-05T02:28:12Z,-33.37183600,147.95553700,1496.00,
114,,,,,2012-01-05T02:28:15Z,-33.37150600,147.95551200,1496.00,
115,,,,,2012-01-05T02:28:18Z,-33.37125700,147.95586600,1502.00,
116,,,,,2012-01-05T02:28:21Z,-33.37127700,147.95633700,1507.00,
117,,,,,2012-01-05T02:28:24Z,-33.37163200,147.95659200,1502.00,
118,,,,,2012-01-05T02:28:27Z,-33.37208400,147.95645800,1501.00,
119,,,,,2012-01-05T02:28:30Z,-33.37241500,147.95615800,1511.00,
120,,,,,2012-01-05T02:28:33Z,-33.37275300,147.95586700,1506.00,
121,,,,,2012-01-05T02:28:36Z,-33.37312100,147.95561100,1511.00,
