fixIdx,legIdx,tickLead,togo,area
202,2,5.72169396427,123.256,0.9440795041045857
203,2,15.72169396427,123.098,2.4840276463546798
204,2,25.72169396427,122.96,3.5495937670693944
205,2,35.72169396427,122.843,4.179438193819241
206,2,45.72169396427,122.724,5.44088158174812
207,2,55.72169396427,122.605,6.630881581748118
208,2,65.72169396427,122.474,8.609541909319386
209,2,75.72169396427,122.321,11.58541917653375
210,2,85.72169396427,122.184,11.74387207310503
211,2,95.72169396427,122.015,16.176966279961338
212,2,105.72169396427,121.842,18.289853055818902
213,2,115.72169396427,121.692,17.358254094641158
214,2,125.72169396427,121.592,12.572169396426286
215,2,135.72169396427,121.467,16.96521174553375
216,2,145.72169396427,121.314,22.295419176534157
217,2,155.72169396427,121.146,26.16124458599614
218,2,165.72169396427,120.971,29.001296443746778
219,2,175.72169396427,120.804,29.34552289203337
220,2,185.72169396427,120.646,29.344027646354892
221,2,195.72169396427,120.458,36.79567846528323
222,2,205.72169396427,120.248,43.201555732495414
223,2,215.72169396427,120.077,36.888409667891565
224,2,225.72169396427,119.9,39.952739831674094
225,2,235.72169396427,119.714,43.84423507735588
226,2,245.72169396427,119.554,39.31547103428236
227,2,255.72169396427,119.38,44.495574749784666
228,2,265.72169396427,119.203,47.032739831673794
229,2,275.72169396427,119.013,52.38712185321067
230,2,285.72169396427,118.823,54.287121853214714
231,2,296.72169396427,118.618,60.82794726267485
232,2,306.72169396427,118.443,53.67629644374638
233,2,315.72169396427,118.324,37.57088158174806
234,2,326.72169396427,118.203,39.53332496967507
235,2,336.72169396427,118.063,47.14103715499799
236,2,346.72169396427,117.944,41.259881581748054
237,2,356.72169396427,117.839,37.45577786624977
243,2,416.72169396427,117.811,11.668207430996054
244,2,426.72169396427,117.652,67.8487493403215
245,2,436.72169396427,117.605,20.5259196163194
247,2,456.72169396427,117.548,26.033136555964376
250,2,486.72169396427,117.53,8.760990491357193
251,2,496.72169396427,117.521,4.4704952456786
258,2,566.72169396427,117.396,70.84021174553375
260,2,586.72169396427,117.345,29.922806392178906
262,2,607.72169396427,117.265,48.61773551714057
264,2,627.72169396427,117.212,33.269249780104595
265,2,637.72169396427,117.18,20.407094206854392
266,2,647.72169396427,117.156,15.545320655143069
267,2,657.72169396427,117.072,55.24862229300077
269,2,677.72169396427,117.025,31.852919616318687
271,2,697.72169396427,116.958,46.747353495611165
273,2,717.72169396427,116.885,52.393683659386895
275,2,737.72169396427,116.877,5.901773551721373
277,2,757.72169396427,116.824,40.15924978010424
279,2,777.72169396427,116.78,34.21975453442549
281,2,797.72169396427,116.681,78.97444770246572
282,2,807.72169396427,116.594,70.27178737489416
284,2,827.72169396427,116.545,40.55836300424293
288,2,867.72169396427,116.494,44.25380639217945
290,2,887.72169396427,116.386,95.87394294814479
292,2,908.72169396427,116.357,26.352929124960525
293,2,918.72169396427,116.281,69.82284874127846
295,2,938.72169396427,116.244,34.73270267668375
297,2,958.72169396427,116.141,98.74833447831448
299,2,978.72169396427,116.056,83.19134398697074
300,2,988.72169396427,115.877,176.98118321960635
301,2,998.72169396427,115.812,64.91691010767528
305,2,1038.72169396427,115.787,25.96804234909789
309,2,1078.72169396427,115.691,103.55728262057383
310,2,1088.72169396427,115.534,170.92930595238653
311,2,1098.72169396427,115.358,193.37501813771362
312,2,1108.72169396427,115.193,182.93907950411148
313,2,1118.72169396427,115.039,172.2831408704935
314,2,1128.72169396427,114.923,130.93171649985493
315,2,1138.72169396427,114.792,149.17254190931962
316,2,1148.72169396427,114.668,142.441490051564
317,2,1158.72169396427,114.517,174.96697578861688
318,2,1168.72169396427,114.372,169.4646456248145
319,2,1178.72169396427,114.355,20.038268797387765
321,2,1198.72169396427,114.28,89.90412704732366
322,2,1209.72169396427,114.148,159.68326360328967
324,2,1229.72169396427,114.11,46.7294243706382
325,2,1239.72169396427,114.056,66.94497147407311
327,2,1259.72169396427,113.975,102.03745721110973
329,2,1279.72169396427,113.925,63.98608469820986
331,2,1299.72169396427,113.892,42.89081590082253
336,2,1349.72169396427,113.88,16.196660327571852
338,2,1369.72169396427,113.87,13.697216939630241
342,2,1409.72169396427,113.817,74.71524978012249
345,2,1439.72169396427,113.714,148.29133447831177
347,2,1459.72169396427,113.644,102.18051857748894
350,2,1489.72169396427,113.637,10.42805185775734
357,2,1560.72169396427,113.626,17.167938633600226
