fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,1,1,1641.93829240405,1641.93829240405,,,,1019.0,180.482
2,1,2,1646.93829240405,1646.93829240405,,,,1033.0,180.41
5,1,5,1661.93829240405,1661.93829240405,,,,1092.0,180.343
6,1,6,1666.93829240405,1666.93829240405,,,,1116.0,180.22
7,1,7,1671.93829240405,1671.93829240405,,,,1130.0,180.182
8,1,8,1676.93829240405,1676.93829240405,,,,1146.0,180.159
10,1,10,1686.93829240405,1686.93829240405,,,,1181.0,180.097
11,1,11,1691.93829240405,1691.93829240405,,,,1198.0,180.002
14,1,14,1706.93829240405,1706.93829240405,,,,1237.0,179.993
15,1,15,1711.93829240405,1711.93829240405,,,,1254.0,179.87
16,1,16,1716.93829240405,1716.93829240405,,,,1262.0,179.85
18,1,18,1726.93829240405,1726.93829240405,,,,1297.0,179.795
19,1,19,1731.93829240405,1731.93829240405,,,,1306.0,179.723
21,1,21,1741.93829240405,1741.93829240405,,,,1338.0,179.697
22,1,22,1746.93829240405,1746.93829240405,,,,1349.0,179.605
23,1,23,1751.93829240405,1751.93829240405,,,,1368.0,179.6
26,1,26,1766.93829240405,1766.93829240405,,,,1396.0,179.562
27,1,27,1771.93829240405,1771.93829240405,,,,1415.0,179.461
30,1,30,1786.93829240405,1786.93829240405,,,,1453.0,179.367
31,1,31,1791.93829240405,1791.93829240405,,,,1462.0,179.342
34,1,34,1806.93829240405,1806.93829240405,,,,1497.0,179.248
35,1,35,1811.93829240405,1811.93829240405,,,,1506.0,179.201
37,1,37,1821.93829240405,1821.93829240405,,,,1528.0,179.189
38,1,38,1826.93829240405,1826.93829240405,,,,1535.0,179.072
39,1,39,1831.93829240405,1831.93829240405,,,,1542.0,179.008
42,1,42,1846.93829240405,1846.93829240405,,,,1571.0,178.959
43,1,43,1851.93829240405,1851.93829240405,,,,1576.0,178.842
44,1,44,1856.93829240405,1856.93829240405,,,,1583.0,178.782
48,1,48,1876.93829240405,1876.93829240405,,,,1614.0,178.694
49,1,49,1881.93829240405,1881.93829240405,,,,1621.0,178.549
50,1,50,1886.93829240405,1886.93829240405,,,,1630.0,178.495
51,1,51,1891.93829240405,1891.93829240405,,,,1632.0,178.466
55,1,55,1911.93829240405,1911.93829240405,,,,1645.0,178.408
56,1,56,1916.93829240405,1916.93829240405,,,,1649.0,178.289
57,1,57,1921.93829240405,1921.93829240405,,,,1651.0,178.215
58,1,58,1926.93829240405,1926.93829240405,,,,1655.0,178.213
