fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2012-01-12T02:05:46Z,-33.35611700,147.93503300,227.00,
2,,,,,2012-01-12T02:05:56Z,-33.35611700,147.93501700,227.00,
3,,,,,2012-01-12T02:06:06Z,-33.35610000,147.93501700,227.00,
4,,,,,2012-01-12T02:06:16Z,-33.35610000,147.93501700,227.00,
5,,,,,2012-01-12T02:06:26Z,-33.35611700,147.93501700,227.00,
6,,,,,2012-01-12T02:06:36Z,-33.35610000,147.93503300,227.00,
7,,,,,2012-01-12T02:06:46Z,-33.35610000,147.93505000,227.00,
8,,,,,2012-01-12T02:07:06Z,-33.35616700,147.93490000,227.00,
9,,,,,2012-01-12T02:07:16Z,-33.35616700,147.93498300,228.00,
10,,,,,2012-01-12T02:07:26Z,-33.35608300,147.93540000,228.00,
11,,,,,2012-01-12T02:09:36Z,-33.35610000,147.93501700,228.00,
12,,,,,2012-01-12T02:09:46Z,-33.35620000,147.93495000,228.00,
13,,,,,2012-01-12T02:09:56Z,-33.35625000,147.93491700,228.00,
14,,,,,2012-01-12T02:10:06Z,-33.35630000,147.93485000,229.00,
15,,,,,2012-01-12T02:10:16Z,-33.35630000,147.93485000,230.00,
16,,,,,2012-01-12T02:10:26Z,-33.35630000,147.93483300,230.00,
17,,,,,2012-01-12T02:10:36Z,-33.35631700,147.93485000,230.00,
18,,,,,2012-01-12T02:10:46Z,-33.35633300,147.93485000,230.00,
19,,,,,2012-01-12T02:10:56Z,-33.35631700,147.93483300,230.00,
20,,,,,2012-01-12T02:11:06Z,-33.35631700,147.93483300,230.00,
21,,,,,2012-01-12T02:11:16Z,-33.35630000,147.93481700,230.00,
22,,,,,2012-01-12T02:11:26Z,-33.35631700,147.93476700,231.00,
23,,,,,2012-01-12T02:11:36Z,-33.35633300,147.93471700,230.00,
24,,,,,2012-01-12T02:11:46Z,-33.35633300,147.93471700,230.00,
25,,,,,2012-01-12T02:11:56Z,-33.35633300,147.93471700,230.00,
26,,,,,2012-01-12T02:12:06Z,-33.35633300,147.93473300,231.00,
27,,,,,2012-01-12T02:12:16Z,-33.35635000,147.93470000,232.00,
28,,,,,2012-01-12T02:12:26Z,-33.35636700,147.93468300,233.00,
29,,,,,2012-01-12T02:12:36Z,-33.35640000,147.93461700,233.00,
30,,,,,2012-01-12T02:12:46Z,-33.35641700,147.93461700,233.00,
31,,,,,2012-01-12T02:12:57Z,-33.35696700,147.93415000,234.00,
32,,,,,2012-01-12T02:13:07Z,-33.35786700,147.93311700,238.00,
33,,,,,2012-01-12T02:13:17Z,-33.35885000,147.93196700,246.00,
34,,,,,2012-01-12T02:13:27Z,-33.35988300,147.93081700,265.00,
35,,,,,2012-01-12T02:13:38Z,-33.36078300,147.92963300,291.00,
36,,,,,2012-01-12T02:13:48Z,-33.36155000,147.92841700,317.00,
37,,,,,2012-01-12T02:13:58Z,-33.36248300,147.92731700,338.00,
38,,,,,2012-01-12T02:14:08Z,-33.36328300,147.92630000,357.00,
39,,,,,2012-01-12T02:14:18Z,-33.36416700,147.92546700,376.00,
40,,,,,2012-01-12T02:14:28Z,-33.36510000,147.92468300,392.00,
41,,,,,2012-01-12T02:14:38Z,-33.36600000,147.92420000,411.00,
42,,,,,2012-01-12T02:14:48Z,-33.36681700,147.92380000,432.00,
43,,,,,2012-01-12T02:14:58Z,-33.36776700,147.92351700,458.00,
44,,,,,2012-01-12T02:15:08Z,-33.36880000,147.92363300,488.00,
45,,,,,2012-01-12T02:15:18Z,-33.36960000,147.92435000,531.00,
46,,,,,2012-01-12T02:15:28Z,-33.36980000,147.92598300,573.00,
47,,,,,2012-01-12T02:15:38Z,-33.36918300,147.92778300,610.00,
48,,,,,2012-01-12T02:15:48Z,-33.36766700,147.92911700,642.00,
49,,,,,2012-01-12T02:15:58Z,-33.36575000,147.92915000,670.00,
50,,,,,2012-01-12T02:16:08Z,-33.36433300,147.92791700,697.00,
51,,,,,2012-01-12T02:16:18Z,-33.36336700,147.92635000,729.00,
52,,,,,2012-01-12T02:16:28Z,-33.36290000,147.92480000,766.00,
53,,,,,2012-01-12T02:16:38Z,-33.36388300,147.92451700,799.00,
54,,,,,2012-01-12T02:16:48Z,-33.36503300,147.92468300,827.00,
55,,,,,2012-01-12T02:16:58Z,-33.36418300,147.92570000,853.00,
56,,,,,2012-01-12T02:17:08Z,-33.36428300,147.92508300,878.00,
57,,,,,2012-01-12T02:17:18Z,-33.36320000,147.92590000,902.00,
58,,,,,2012-01-12T02:17:28Z,-33.36366700,147.92533300,926.00,
59,,,,,2012-01-12T02:17:38Z,-33.36371700,147.92670000,950.00,
60,,,,,2012-01-12T02:17:48Z,-33.36211700,147.92775000,967.00,
61,,,,,2012-01-12T02:17:58Z,-33.36036700,147.92733300,983.00,
62,,,,,2012-01-12T02:18:08Z,-33.36086700,147.92710000,1001.00,
63,,,,,2012-01-12T02:18:18Z,-33.36181700,147.92701700,1020.00,
64,,,,,2012-01-12T02:18:29Z,-33.36276700,147.92638300,1035.00,
65,,,,,2012-01-12T02:18:39Z,-33.36341700,147.92575000,1048.00,
66,,,,,2012-01-12T02:18:49Z,-33.36400000,147.92655000,1059.00,
67,,,,,2012-01-12T02:18:59Z,-33.36310000,147.92806700,1065.00,
68,,,,,2012-01-12T02:19:09Z,-33.36138300,147.92781700,1069.00,
69,,,,,2012-01-12T02:19:19Z,-33.36118300,147.92673300,1074.00,
70,,,,,2012-01-12T02:19:29Z,-33.36100000,147.92826700,1078.00,
71,,,,,2012-01-12T02:19:39Z,-33.35911700,147.92928300,1082.00,
72,,,,,2012-01-12T02:19:49Z,-33.35765000,147.92860000,1087.00,
73,,,,,2012-01-12T02:19:59Z,-33.35820000,147.92861700,1097.00,
74,,,,,2012-01-12T02:20:09Z,-33.35711700,147.93003300,1111.00,
75,,,,,2012-01-12T02:20:19Z,-33.35591700,147.92966700,1125.00,
76,,,,,2012-01-12T02:20:29Z,-33.35693300,147.92965000,1140.00,
77,,,,,2012-01-12T02:20:39Z,-33.35698300,147.93140000,1156.00,
78,,,,,2012-01-12T02:20:49Z,-33.35505000,147.93191700,1169.00,
79,,,,,2012-01-12T02:20:59Z,-33.35396700,147.93063300,1180.00,
80,,,,,2012-01-12T02:21:09Z,-33.35458300,147.92966700,1189.00,
81,,,,,2012-01-12T02:21:19Z,-33.35565000,147.92901700,1197.00,
82,,,,,2012-01-12T02:21:29Z,-33.35580000,147.93030000,1205.00,
83,,,,,2012-01-12T02:21:39Z,-33.35413300,147.93053300,1208.00,
84,,,,,2012-01-12T02:21:49Z,-33.35308300,147.92918300,1212.00,
85,,,,,2012-01-12T02:21:59Z,-33.35213300,147.92785000,1215.00,
86,,,,,2012-01-12T02:22:09Z,-33.35273300,147.92703300,1220.00,
87,,,,,2012-01-12T02:22:19Z,-33.35241700,147.92870000,1228.00,
88,,,,,2012-01-12T02:22:29Z,-33.35080000,147.92886700,1234.00,
89,,,,,2012-01-12T02:22:39Z,-33.35031700,147.92748300,1239.00,
90,,,,,2012-01-12T02:22:49Z,-33.35128300,147.92660000,1243.00,
91,,,,,2012-01-12T02:22:59Z,-33.35155000,147.92805000,1250.00,
92,,,,,2012-01-12T02:23:10Z,-33.35000000,147.92878300,1260.00,
93,,,,,2012-01-12T02:23:20Z,-33.34955000,147.92738300,1269.00,
94,,,,,2012-01-12T02:23:30Z,-33.35043300,147.92723300,1279.00,
95,,,,,2012-01-12T02:23:40Z,-33.34983300,147.92876700,1292.00,
96,,,,,2012-01-12T02:23:50Z,-33.34896700,147.92796700,1304.00,
97,,,,,2012-01-12T02:24:00Z,-33.34986700,147.92810000,1316.00,
98,,,,,2012-01-12T02:24:10Z,-33.34928300,147.92990000,1327.00,
99,,,,,2012-01-12T02:24:20Z,-33.34791700,147.92966700,1337.00,
100,,,,,2012-01-12T02:24:30Z,-33.34831700,147.92835000,1343.00,
101,,,,,2012-01-12T02:24:40Z,-33.34921700,147.92918300,1351.00,
102,,,,,2012-01-12T02:24:50Z,-33.34788300,147.93068300,1358.00,
103,,,,,2012-01-12T02:25:00Z,-33.34630000,147.93053300,1364.00,
104,,,,,2012-01-12T02:25:10Z,-33.34701700,147.93001700,1372.00,
105,,,,,2012-01-12T02:25:20Z,-33.34716700,147.93165000,1380.00,
106,,,,,2012-01-12T02:25:30Z,-33.34566700,147.93165000,1386.00,
107,,,,,2012-01-12T02:25:40Z,-33.34545000,147.93023300,1392.00,
108,,,,,2012-01-12T02:25:50Z,-33.34635000,147.92945000,1396.00,
109,,,,,2012-01-12T02:26:00Z,-33.34753300,147.93028300,1398.00,
110,,,,,2012-01-12T02:26:10Z,-33.34825000,147.93203300,1396.00,
111,,,,,2012-01-12T02:26:20Z,-33.34715000,147.93358300,1390.00,
