fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2012-01-07T03:29:58Z,-33.36175000,147.93065000,234.00,
2,,,,,2012-01-07T03:30:00Z,-33.36175000,147.93065000,234.00,
3,,,,,2012-01-07T03:30:02Z,-33.36175000,147.93065000,234.00,
4,,,,,2012-01-07T03:30:04Z,-33.36175000,147.93065000,234.00,
5,,,,,2012-01-07T03:30:06Z,-33.36175000,147.93065000,234.00,
6,,,,,2012-01-07T03:30:08Z,-33.36175000,147.93065000,234.00,
7,,,,,2012-01-07T03:30:10Z,-33.36175000,147.93065000,234.00,
8,,,,,2012-01-07T03:30:12Z,-33.36175000,147.93065000,234.00,
9,,,,,2012-01-07T03:30:14Z,-33.36175000,147.93065000,234.00,
10,,,,,2012-01-07T03:30:16Z,-33.36175000,147.93065000,234.00,
11,,,,,2012-01-07T03:30:18Z,-33.36175000,147.93065000,234.00,
12,,,,,2012-01-07T03:30:20Z,-33.36175000,147.93065000,234.00,
13,,,,,2012-01-07T03:30:22Z,-33.36175000,147.93065000,234.00,
14,,,,,2012-01-07T03:30:24Z,-33.36175000,147.93065000,234.00,
15,,,,,2012-01-07T03:30:26Z,-33.36175000,147.93065000,234.00,
16,,,,,2012-01-07T03:30:28Z,-33.36175000,147.93065000,234.00,
17,,,,,2012-01-07T03:30:30Z,-33.36175000,147.93065000,234.00,
18,,,,,2012-01-07T03:30:32Z,-33.36175000,147.93065000,234.00,
19,,,,,2012-01-07T03:30:34Z,-33.36175000,147.93065000,234.00,
20,,,,,2012-01-07T03:30:36Z,-33.36175000,147.93065000,234.00,
21,,,,,2012-01-07T03:30:38Z,-33.36175000,147.93065000,234.00,
22,,,,,2012-01-07T03:30:40Z,-33.36175000,147.93065000,234.00,
23,,,,,2012-01-07T03:30:42Z,-33.36175000,147.93065000,234.00,
24,,,,,2012-01-07T03:30:44Z,-33.36175000,147.93065000,234.00,
25,,,,,2012-01-07T03:30:46Z,-33.36175000,147.93065000,234.00,
26,,,,,2012-01-07T03:30:48Z,-33.36163300,147.93061700,231.00,
27,,,,,2012-01-07T03:30:50Z,-33.36155000,147.93058300,231.00,
28,,,,,2012-01-07T03:30:52Z,-33.36138300,147.93051700,233.00,
29,,,,,2012-01-07T03:30:54Z,-33.36116700,147.93040000,236.00,
30,,,,,2012-01-07T03:30:56Z,-33.36091700,147.93031700,241.00,
31,,,,,2012-01-07T03:30:58Z,-33.36066700,147.93023300,246.00,
32,,,,,2012-01-07T03:30:58Z,-33.36066700,147.93023300,246.00,
33,,,,,2012-01-07T03:30:59Z,-33.36055000,147.93020000,250.00,
34,,,,,2012-01-07T03:31:01Z,-33.36031700,147.93013300,256.00,
35,,,,,2012-01-07T03:31:03Z,-33.36010000,147.93001700,263.00,
36,,,,,2012-01-07T03:31:05Z,-33.35986700,147.92993300,271.00,
37,,,,,2012-01-07T03:31:07Z,-33.35963300,147.92986700,276.00,
38,,,,,2012-01-07T03:31:09Z,-33.35941700,147.92976700,281.00,
39,,,,,2012-01-07T03:31:11Z,-33.35918300,147.92966700,288.00,
40,,,,,2012-01-07T03:31:13Z,-33.35896700,147.92958300,297.00,
41,,,,,2012-01-07T03:31:15Z,-33.35876700,147.92946700,306.00,
42,,,,,2012-01-07T03:31:17Z,-33.35856700,147.92936700,312.00,
43,,,,,2012-01-07T03:31:19Z,-33.35836700,147.92926700,317.00,
44,,,,,2012-01-07T03:31:21Z,-33.35818300,147.92911700,326.00,
45,,,,,2012-01-07T03:31:23Z,-33.35801700,147.92896700,337.00,
46,,,,,2012-01-07T03:31:25Z,-33.35785000,147.92880000,346.00,
47,,,,,2012-01-07T03:31:27Z,-33.35766700,147.92861700,353.00,
48,,,,,2012-01-07T03:31:29Z,-33.35750000,147.92843300,358.00,
49,,,,,2012-01-07T03:31:31Z,-33.35733300,147.92825000,366.00,
50,,,,,2012-01-07T03:31:33Z,-33.35720000,147.92806700,372.00,
51,,,,,2012-01-07T03:31:35Z,-33.35706700,147.92790000,377.00,
52,,,,,2012-01-07T03:31:37Z,-33.35695000,147.92773300,383.00,
53,,,,,2012-01-07T03:31:39Z,-33.35683300,147.92755000,390.00,
54,,,,,2012-01-07T03:31:41Z,-33.35670000,147.92733300,396.00,
55,,,,,2012-01-07T03:31:43Z,-33.35656700,147.92713300,402.00,
56,,,,,2012-01-07T03:31:45Z,-33.35641700,147.92693300,409.00,
57,,,,,2012-01-07T03:31:47Z,-33.35625000,147.92678300,415.00,
58,,,,,2012-01-07T03:31:49Z,-33.35610000,147.92660000,420.00,
59,,,,,2012-01-07T03:31:51Z,-33.35590000,147.92643300,427.00,
60,,,,,2012-01-07T03:31:53Z,-33.35568300,147.92625000,434.00,
61,,,,,2012-01-07T03:31:55Z,-33.35546700,147.92606700,443.00,
62,,,,,2012-01-07T03:31:57Z,-33.35525000,147.92588300,450.00,
63,,,,,2012-01-07T03:31:59Z,-33.35505000,147.92573300,456.00,
64,,,,,2012-01-07T03:32:02Z,-33.35483300,147.92555000,462.00,
65,,,,,2012-01-07T03:32:04Z,-33.35465000,147.92538300,472.00,
66,,,,,2012-01-07T03:32:06Z,-33.35448300,147.92523300,485.00,
67,,,,,2012-01-07T03:32:08Z,-33.35433300,147.92513300,498.00,
68,,,,,2012-01-07T03:32:10Z,-33.35415000,147.92503300,510.00,
69,,,,,2012-01-07T03:32:12Z,-33.35398300,147.92491700,524.00,
70,,,,,2012-01-07T03:32:14Z,-33.35378300,147.92481700,537.00,
71,,,,,2012-01-07T03:32:16Z,-33.35356700,147.92470000,549.00,
72,,,,,2012-01-07T03:32:18Z,-33.35336700,147.92458300,559.00,
73,,,,,2012-01-07T03:32:20Z,-33.35316700,147.92451700,569.00,
74,,,,,2012-01-07T03:32:22Z,-33.35296700,147.92445000,580.00,
75,,,,,2012-01-07T03:32:24Z,-33.35276700,147.92440000,590.00,
76,,,,,2012-01-07T03:32:26Z,-33.35256700,147.92440000,598.00,
77,,,,,2012-01-07T03:32:28Z,-33.35235000,147.92436700,608.00,
78,,,,,2012-01-07T03:32:30Z,-33.35213300,147.92433300,621.00,
79,,,,,2012-01-07T03:32:32Z,-33.35188300,147.92426700,633.00,
80,,,,,2012-01-07T03:32:34Z,-33.35165000,147.92420000,644.00,
81,,,,,2012-01-07T03:32:36Z,-33.35141700,147.92416700,652.00,
82,,,,,2012-01-07T03:32:38Z,-33.35120000,147.92416700,660.00,
83,,,,,2012-01-07T03:32:40Z,-33.35098300,147.92420000,668.00,
84,,,,,2012-01-07T03:32:42Z,-33.35076700,147.92425000,678.00,
85,,,,,2012-01-07T03:32:44Z,-33.35056700,147.92438300,687.00,
86,,,,,2012-01-07T03:32:46Z,-33.35038300,147.92455000,695.00,
87,,,,,2012-01-07T03:32:48Z,-33.35021700,147.92475000,702.00,
88,,,,,2012-01-07T03:32:50Z,-33.35006700,147.92500000,709.00,
89,,,,,2012-01-07T03:32:52Z,-33.34991700,147.92525000,716.00,
90,,,,,2012-01-07T03:32:54Z,-33.34978300,147.92555000,720.00,
91,,,,,2012-01-07T03:32:56Z,-33.34966700,147.92591700,725.00,
92,,,,,2012-01-07T03:32:58Z,-33.34958300,147.92630000,730.00,
93,,,,,2012-01-07T03:33:00Z,-33.34953300,147.92668300,736.00,
94,,,,,2012-01-07T03:33:02Z,-33.34950000,147.92706700,742.00,
95,,,,,2012-01-07T03:33:04Z,-33.34948300,147.92743300,747.00,
96,,,,,2012-01-07T03:33:06Z,-33.34948300,147.92781700,753.00,
97,,,,,2012-01-07T03:33:08Z,-33.34950000,147.92821700,759.00,
98,,,,,2012-01-07T03:33:10Z,-33.34955000,147.92865000,763.00,
99,,,,,2012-01-07T03:33:12Z,-33.34961700,147.92906700,768.00,
100,,,,,2012-01-07T03:33:14Z,-33.34970000,147.92953300,772.00,
101,,,,,2012-01-07T03:33:16Z,-33.34980000,147.92993300,775.00,
102,,,,,2012-01-07T03:33:18Z,-33.34991700,147.93035000,778.00,
103,,,,,2012-01-07T03:33:20Z,-33.35006700,147.93078300,782.00,
104,,,,,2012-01-07T03:33:22Z,-33.35021700,147.93120000,786.00,
105,,,,,2012-01-07T03:33:24Z,-33.35040000,147.93161700,790.00,
106,,,,,2012-01-07T03:33:26Z,-33.35061700,147.93206700,792.00,
107,,,,,2012-01-07T03:33:28Z,-33.35085000,147.93250000,793.00,
108,,,,,2012-01-07T03:33:30Z,-33.35110000,147.93290000,794.00,
109,,,,,2012-01-07T03:33:32Z,-33.35138300,147.93328300,796.00,
110,,,,,2012-01-07T03:33:34Z,-33.35170000,147.93360000,800.00,
111,,,,,2012-01-07T03:33:36Z,-33.35203300,147.93386700,804.00,
112,,,,,2012-01-07T03:33:38Z,-33.35241700,147.93410000,807.00,
113,,,,,2012-01-07T03:33:40Z,-33.35283300,147.93428300,809.00,
114,,,,,2012-01-07T03:33:42Z,-33.35326700,147.93443300,811.00,
115,,,,,2012-01-07T03:33:44Z,-33.35370000,147.93451700,812.00,
116,,,,,2012-01-07T03:33:46Z,-33.35416700,147.93456700,813.00,
117,,,,,2012-01-07T03:33:48Z,-33.35463300,147.93460000,817.00,
118,,,,,2012-01-07T03:33:50Z,-33.35511700,147.93458300,822.00,
119,,,,,2012-01-07T03:33:52Z,-33.35556700,147.93453300,827.00,
120,,,,,2012-01-07T03:33:54Z,-33.35601700,147.93446700,829.00,
121,,,,,2012-01-07T03:33:56Z,-33.35646700,147.93438300,831.00,
122,,,,,2012-01-07T03:33:58Z,-33.35688300,147.93425000,834.00,
123,,,,,2012-01-07T03:34:00Z,-33.35730000,147.93413300,838.00,
124,,,,,2012-01-07T03:34:02Z,-33.35771700,147.93395000,842.00,
125,,,,,2012-01-07T03:34:04Z,-33.35813300,147.93380000,846.00,
126,,,,,2012-01-07T03:34:06Z,-33.35853300,147.93366700,849.00,
127,,,,,2012-01-07T03:34:08Z,-33.35895000,147.93355000,852.00,
128,,,,,2012-01-07T03:34:10Z,-33.35936700,147.93346700,855.00,
129,,,,,2012-01-07T03:34:12Z,-33.35978300,147.93331700,859.00,
130,,,,,2012-01-07T03:34:14Z,-33.36018300,147.93313300,865.00,
131,,,,,2012-01-07T03:34:16Z,-33.36058300,147.93291700,872.00,
132,,,,,2012-01-07T03:34:18Z,-33.36098300,147.93266700,882.00,
133,,,,,2012-01-07T03:34:20Z,-33.36133300,147.93241700,890.00,
134,,,,,2012-01-07T03:34:22Z,-33.36166700,147.93216700,897.00,
135,,,,,2012-01-07T03:34:24Z,-33.36200000,147.93191700,908.00,
136,,,,,2012-01-07T03:34:26Z,-33.36230000,147.93170000,919.00,
137,,,,,2012-01-07T03:34:28Z,-33.36258300,147.93158300,923.00,
138,,,,,2012-01-07T03:34:30Z,-33.36305000,147.93140000,922.00,
139,,,,,2012-01-07T03:34:32Z,-33.36345000,147.93145000,920.00,
140,,,,,2012-01-07T03:34:34Z,-33.36383300,147.93156700,917.00,
141,,,,,2012-01-07T03:34:36Z,-33.36420000,147.93165000,914.00,
142,,,,,2012-01-07T03:34:38Z,-33.36456700,147.93166700,909.00,
143,,,,,2012-01-07T03:34:40Z,-33.36495000,147.93171700,902.00,
