fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,2012-01-10T02:56:16Z,-33.35590000,147.93376700,,,,,,
2,2012-01-10T02:56:26Z,-33.35591700,147.93375000,,,,,,
3,2012-01-10T02:56:37Z,-33.35593300,147.93375000,,,,,,
4,2012-01-10T02:56:47Z,-33.35593300,147.93375000,,,,,,
5,2012-01-10T02:56:57Z,-33.35593300,147.93375000,,,,,,
6,2012-01-10T02:57:07Z,-33.35593300,147.93375000,,,,,,
7,2012-01-10T02:57:17Z,-33.35593300,147.93373300,,,,,,
8,2012-01-10T02:57:27Z,-33.35595000,147.93370000,,,,,,
9,2012-01-10T02:57:37Z,-33.35638300,147.93253300,,,,,,
10,2012-01-10T02:57:47Z,-33.35685000,147.93091700,,,,,,
11,2012-01-10T02:57:57Z,-33.35720000,147.92946700,,,,,,
12,2012-01-10T02:58:07Z,-33.35755000,147.92810000,,,,,,
13,2012-01-10T02:58:17Z,-33.35793300,147.92683300,,,,,,
14,2012-01-10T02:58:27Z,-33.35836700,147.92558300,,,,,,
15,2012-01-10T02:58:37Z,-33.35908300,147.92453300,,,,,,
16,2012-01-10T02:58:47Z,-33.36010000,147.92373300,,,,,,
17,2012-01-10T02:58:57Z,-33.36103300,147.92291700,,,,,,
18,2012-01-10T02:59:07Z,-33.36200000,147.92218300,,,,,,
19,2012-01-10T02:59:17Z,-33.36331700,147.92181700,,,,,,
20,2012-01-10T02:59:27Z,-33.36478300,147.92140000,,,,,,
21,2012-01-10T02:59:37Z,-33.36648300,147.92133300,,,,,,
22,2012-01-10T02:59:47Z,-33.36813300,147.92175000,,,,,,
23,2012-01-10T02:59:58Z,-33.36981700,147.92226700,,,,,,
24,2012-01-10T03:00:08Z,-33.37160000,147.92206700,,,,,,
25,2012-01-10T03:00:18Z,-33.37253300,147.92080000,,,,,,
26,2012-01-10T03:00:28Z,-33.37180000,147.91960000,,,,,,
27,2012-01-10T03:00:38Z,-33.37045000,147.91920000,,,,,,
28,2012-01-10T03:00:48Z,-33.36868300,147.91985000,,,,,,
29,2012-01-10T03:00:58Z,-33.36771700,147.92183300,,,,,,
30,2012-01-10T03:01:08Z,-33.36731700,147.92440000,,,,,,
31,2012-01-10T03:01:18Z,-33.36758300,147.92706700,,,,,,
32,2012-01-10T03:01:28Z,-33.36783300,147.92960000,,,,,,
33,2012-01-10T03:01:38Z,-33.36798300,147.93226700,,,,,,
34,2012-01-10T03:01:48Z,-33.36803300,147.93488300,,,,,,
35,2012-01-10T03:01:58Z,-33.36826700,147.93720000,,,,,,
