fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,2012-01-12T02:18:39Z,-33.36024300,147.93114600,,,,,,
2,2012-01-12T02:19:12Z,-33.36374100,147.93099600,,,,,,
3,2012-01-12T02:19:45Z,-33.36361200,147.92618900,,,,,,
4,2012-01-12T02:20:06Z,-33.35998600,147.92445100,,,,,,
5,2012-01-12T02:20:21Z,-33.35702500,147.92445100,,,,,,
6,2012-01-12T02:21:00Z,-33.35614500,147.92633900,,,,,,
7,2012-01-12T02:21:21Z,-33.35653100,147.92533100,,,,,,
8,2012-01-12T02:21:45Z,-33.35380600,147.92496600,,,,,,
9,2012-01-12T02:23:27Z,-33.34979300,147.92593200,,,,,,
10,2012-01-12T02:23:42Z,-33.34915000,147.92451600,,,,,,
11,2012-01-12T02:24:03Z,-33.34930000,147.92728400,,,,,,
12,2012-01-12T02:24:36Z,-33.34668200,147.92872100,,,,,,
13,2012-01-12T02:24:45Z,-33.34623100,147.92777700,,,,,,
14,2012-01-12T02:24:57Z,-33.34700400,147.92831400,,,,,,
15,2012-01-12T02:25:51Z,-33.34447200,147.92902200,,,,,,
16,2012-01-12T02:26:36Z,-33.34279800,147.93249800,,,,,,
17,2012-01-12T02:26:51Z,-33.34125300,147.93153200,,,,,,
18,2012-01-12T02:27:36Z,-33.34000900,147.93342000,,,,,,
19,2012-01-12T02:27:48Z,-33.33942900,147.93258400,,,,,,
20,2012-01-12T02:28:00Z,-33.33947200,147.93412900,,,,,,
21,2012-01-12T02:28:57Z,-33.33627500,147.93498700,,,,,,
22,2012-01-12T02:29:27Z,-33.33543800,147.93732600,,,,,,
23,2012-01-12T02:29:39Z,-33.33485900,147.93636000,,,,,,
24,2012-01-12T02:29:57Z,-33.33522400,147.93833400,,,,,,
25,2012-01-12T02:30:39Z,-33.33230500,147.93996500,,,,,,
26,2012-01-12T02:31:00Z,-33.33370000,147.94065200,,,,,,
27,2012-01-12T02:31:12Z,-33.33256300,147.94243300,,,,,,
28,2012-01-12T02:32:06Z,-33.33187600,147.93715400,,,,,,
29,2012-01-12T02:32:21Z,-33.33123200,147.93904200,,,,,,
30,2012-01-12T02:32:54Z,-33.32664100,147.93977200,,,,,,
31,2012-01-12T02:34:06Z,-33.31668400,147.93698200,,,,,,
32,2012-01-12T02:34:42Z,-33.31458100,147.93760500,,,,,,
33,2012-01-12T02:35:00Z,-33.31449500,147.93925700,,,,,,
34,2012-01-12T02:35:15Z,-33.31408800,147.93771200,,,,,,
35,2012-01-12T02:35:24Z,-33.31404500,147.93863500,,,,,,
36,2012-01-12T02:35:39Z,-33.31280000,147.93724000,,,,,,
37,2012-01-12T02:36:15Z,-33.31117000,147.93764800,,,,,,
38,2012-01-12T02:36:30Z,-33.31033300,147.93887100,,,,,,
39,2012-01-12T02:36:42Z,-33.31005400,147.93745500,,,,,,
40,2012-01-12T02:36:54Z,-33.31054700,147.93863500,,,,,,
41,2012-01-12T02:37:12Z,-33.30861600,147.93884900,,,,,,
42,2012-01-12T02:37:27Z,-33.30885200,147.94007200,,,,,,
43,2012-01-12T02:37:42Z,-33.30762900,147.93917100,,,,,,
44,2012-01-12T02:38:00Z,-33.30672800,147.94065200,,,,,,
45,2012-01-12T02:38:15Z,-33.30647000,147.93927800,,,,,,
46,2012-01-12T02:38:30Z,-33.30550500,147.94073800,,,,,,
47,2012-01-12T02:38:39Z,-33.30520400,147.93972900,,,,,,
48,2012-01-12T02:39:27Z,-33.30505400,147.94202500,,,,,,
49,2012-01-12T02:40:48Z,-33.30136300,147.93676800,,,,,,
50,2012-01-12T02:41:12Z,-33.30003300,147.93880600,,,,,,
51,2012-01-12T02:41:27Z,-33.29842400,147.93818400,,,,,,
52,2012-01-12T02:41:45Z,-33.29938900,147.93910700,,,,,,
53,2012-01-12T02:41:57Z,-33.29874600,147.94052300,,,,,,
54,2012-01-12T02:42:09Z,-33.29784400,147.93938600,,,,,,
55,2012-01-12T02:42:33Z,-33.29846700,147.94131700,,,,,,
56,2012-01-12T02:42:57Z,-33.29597800,147.93966500,,,,,,
57,2012-01-12T02:43:27Z,-33.29803700,147.94163900,,,,,,
58,2012-01-12T02:43:36Z,-33.29687900,147.94213200,,,,,,
59,2012-01-12T02:43:48Z,-33.29687900,147.94073800,,,,,,
60,2012-01-12T02:44:09Z,-33.29599900,147.94219700,,,,,,
61,2012-01-12T02:44:24Z,-33.29526900,147.94037300,,,,,,
62,2012-01-12T02:44:51Z,-33.29496900,147.94311900,,,,,,
63,2012-01-12T02:45:00Z,-33.29353100,147.94262600,,,,,,
64,2012-01-12T02:45:15Z,-33.29374600,147.94110200,,,,,,
65,2012-01-12T02:45:30Z,-33.29314500,147.94273300,,,,,,
66,2012-01-12T02:46:06Z,-33.29093500,147.94131700,,,,,,
67,2012-01-12T02:46:21Z,-33.28962600,147.94206800,,,,,,
68,2012-01-12T02:46:33Z,-33.28977600,147.94080200,,,,,,
69,2012-01-12T02:46:48Z,-33.28902500,147.94228200,,,,,,
70,2012-01-12T02:46:57Z,-33.28814500,147.94133800,,,,,,
71,2012-01-12T02:47:57Z,-33.29254400,147.94535100,,,,,,
72,2012-01-12T02:48:30Z,-33.29423900,147.95009300,,,,,,
73,2012-01-12T02:48:57Z,-33.29355300,147.95215300,,,,,,
74,2012-01-12T02:49:09Z,-33.29252300,147.95129500,,,,,,
75,2012-01-12T02:49:21Z,-33.29361700,147.95133800,,,,,,
76,2012-01-12T02:49:30Z,-33.29314500,147.95268900,,,,,,
77,2012-01-12T02:49:39Z,-33.29215800,147.95221700,,,,,,
78,2012-01-12T02:49:54Z,-33.29318800,147.95108000,,,,,,
79,2012-01-12T02:50:03Z,-33.29340300,147.95238900,,,,,,
80,2012-01-12T02:50:18Z,-33.29157900,147.95281800,,,,,,
81,2012-01-12T02:51:27Z,-33.28411100,147.94779700,,,,,,
82,2012-01-12T02:52:39Z,-33.28082800,147.94726100,,,,,,
83,2012-01-12T02:52:51Z,-33.28014200,147.94824800,,,,,,
84,2012-01-12T02:53:00Z,-33.27992700,147.94708900,,,,,,
85,2012-01-12T02:53:18Z,-33.27962700,147.94889100,,,,,,
86,2012-01-12T02:53:39Z,-33.27883300,147.94646700,,,,,,
87,2012-01-12T02:54:30Z,-33.27709500,147.95329000,,,,,,
88,2012-01-12T02:55:24Z,-33.27482000,147.95251800,,,,,,
89,2012-01-12T02:56:09Z,-33.27394000,147.95526400,,,,,,
90,2012-01-12T02:56:24Z,-33.27179500,147.95509300,,,,,,
91,2012-01-12T02:56:36Z,-33.27207400,147.95384800,,,,,,
92,2012-01-12T02:57:06Z,-33.27473400,147.95526400,,,,,,
