fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2012-01-13T02:49:47Z,-33.35670000,147.93496700,240.00,
2,,,,,2012-01-13T02:49:50Z,-33.35670000,147.93496700,240.00,
3,,,,,2012-01-13T02:49:53Z,-33.35670000,147.93496700,240.00,
4,,,,,2012-01-13T02:49:56Z,-33.35670000,147.93496700,240.00,
5,,,,,2012-01-13T02:49:59Z,-33.35670000,147.93496700,240.00,
6,,,,,2012-01-13T02:50:02Z,-33.35671700,147.93498300,240.00,
7,,,,,2012-01-13T02:50:05Z,-33.35671700,147.93498300,240.00,
8,,,,,2012-01-13T02:50:08Z,-33.35671700,147.93498300,240.00,
9,,,,,2012-01-13T02:50:11Z,-33.35671700,147.93498300,240.00,
10,,,,,2012-01-13T02:50:14Z,-33.35671700,147.93498300,241.00,
11,,,,,2012-01-13T02:50:17Z,-33.35671700,147.93498300,241.00,
12,,,,,2012-01-13T02:50:20Z,-33.35670000,147.93498300,241.00,
13,,,,,2012-01-13T02:50:23Z,-33.35670000,147.93498300,241.00,
14,,,,,2012-01-13T02:50:26Z,-33.35670000,147.93498300,241.00,
15,,,,,2012-01-13T02:50:29Z,-33.35670000,147.93498300,241.00,
16,,,,,2012-01-13T02:50:32Z,-33.35670000,147.93498300,241.00,
17,,,,,2012-01-13T02:50:35Z,-33.35671700,147.93498300,241.00,
18,,,,,2012-01-13T02:50:38Z,-33.35671700,147.93498300,241.00,
19,,,,,2012-01-13T02:50:41Z,-33.35671700,147.93498300,242.00,
20,,,,,2012-01-13T02:50:44Z,-33.35670000,147.93498300,242.00,
21,,,,,2012-01-13T02:50:47Z,-33.35670000,147.93498300,242.00,
22,,,,,2012-01-13T02:50:50Z,-33.35670000,147.93495000,242.00,
23,,,,,2012-01-13T02:50:53Z,-33.35668300,147.93491700,243.00,
24,,,,,2012-01-13T02:50:56Z,-33.35668300,147.93491700,243.00,
25,,,,,2012-01-13T02:50:59Z,-33.35666700,147.93491700,243.00,
26,,,,,2012-01-13T02:51:02Z,-33.35666700,147.93491700,243.00,
27,,,,,2012-01-13T02:51:05Z,-33.35666700,147.93490000,244.00,
28,,,,,2012-01-13T02:51:08Z,-33.35666700,147.93490000,244.00,
29,,,,,2012-01-13T02:51:11Z,-33.35666700,147.93480000,244.00,
30,,,,,2012-01-13T02:51:14Z,-33.35666700,147.93451700,244.00,
31,,,,,2012-01-13T02:51:17Z,-33.35671700,147.93406700,245.00,
32,,,,,2012-01-13T02:51:20Z,-33.35678300,147.93355000,245.00,
33,,,,,2012-01-13T02:51:23Z,-33.35685000,147.93308300,247.00,
34,,,,,2012-01-13T02:51:26Z,-33.35696700,147.93263300,250.00,
35,,,,,2012-01-13T02:51:29Z,-33.35713300,147.93215000,252.00,
36,,,,,2012-01-13T02:51:32Z,-33.35728300,147.93163300,255.00,
37,,,,,2012-01-13T02:51:35Z,-33.35743300,147.93108300,258.00,
38,,,,,2012-01-13T02:51:38Z,-33.35755000,147.93055000,262.00,
39,,,,,2012-01-13T02:51:41Z,-33.35763300,147.93003300,267.00,
40,,,,,2012-01-13T02:51:44Z,-33.35773300,147.92956700,273.00,
41,,,,,2012-01-13T02:51:48Z,-33.35783300,147.92893300,281.00,
42,,,,,2012-01-13T02:51:51Z,-33.35788300,147.92848300,288.00,
43,,,,,2012-01-13T02:51:54Z,-33.35793300,147.92805000,296.00,
44,,,,,2012-01-13T02:51:57Z,-33.35800000,147.92761700,304.00,
45,,,,,2012-01-13T02:52:00Z,-33.35806700,147.92721700,313.00,
46,,,,,2012-01-13T02:52:03Z,-33.35813300,147.92688300,322.00,
47,,,,,2012-01-13T02:52:06Z,-33.35823300,147.92661700,332.00,
48,,,,,2012-01-13T02:52:09Z,-33.35843300,147.92636700,342.00,
49,,,,,2012-01-13T02:52:12Z,-33.35873300,147.92616700,352.00,
50,,,,,2012-01-13T02:52:15Z,-33.35908300,147.92600000,363.00,
51,,,,,2012-01-13T02:52:18Z,-33.35946700,147.92588300,374.00,
52,,,,,2012-01-13T02:52:21Z,-33.35986700,147.92585000,384.00,
53,,,,,2012-01-13T02:52:24Z,-33.36026700,147.92583300,395.00,
54,,,,,2012-01-13T02:52:27Z,-33.36071700,147.92581700,405.00,
55,,,,,2012-01-13T02:52:30Z,-33.36118300,147.92583300,415.00,
56,,,,,2012-01-13T02:52:33Z,-33.36163300,147.92588300,425.00,
57,,,,,2012-01-13T02:52:36Z,-33.36208300,147.92593300,434.00,
58,,,,,2012-01-13T02:52:39Z,-33.36250000,147.92600000,442.00,
59,,,,,2012-01-13T02:52:42Z,-33.36286700,147.92608300,450.00,
60,,,,,2012-01-13T02:52:45Z,-33.36321700,147.92613300,459.00,
61,,,,,2012-01-13T02:52:48Z,-33.36358300,147.92611700,467.00,
62,,,,,2012-01-13T02:52:51Z,-33.36391700,147.92605000,475.00,
63,,,,,2012-01-13T02:52:54Z,-33.36426700,147.92593300,482.00,
64,,,,,2012-01-13T02:52:57Z,-33.36460000,147.92576700,489.00,
65,,,,,2012-01-13T02:53:00Z,-33.36491700,147.92558300,496.00,
66,,,,,2012-01-13T02:53:03Z,-33.36523300,147.92536700,502.00,
67,,,,,2012-01-13T02:53:06Z,-33.36551700,147.92510000,508.00,
68,,,,,2012-01-13T02:53:09Z,-33.36578300,147.92481700,512.00,
69,,,,,2012-01-13T02:53:12Z,-33.36596700,147.92448300,517.00,
70,,,,,2012-01-13T02:53:15Z,-33.36608300,147.92413300,521.00,
71,,,,,2012-01-13T02:53:18Z,-33.36615000,147.92376700,525.00,
72,,,,,2012-01-13T02:53:22Z,-33.36618300,147.92326700,531.00,
73,,,,,2012-01-13T02:53:25Z,-33.36620000,147.92286700,535.00,
74,,,,,2012-01-13T02:53:28Z,-33.36620000,147.92246700,539.00,
75,,,,,2012-01-13T02:53:31Z,-33.36618300,147.92205000,542.00,
76,,,,,2012-01-13T02:53:34Z,-33.36610000,147.92161700,546.00,
77,,,,,2012-01-13T02:53:37Z,-33.36591700,147.92120000,549.00,
78,,,,,2012-01-13T02:53:40Z,-33.36565000,147.92085000,553.00,
79,,,,,2012-01-13T02:53:43Z,-33.36533300,147.92056700,556.00,
80,,,,,2012-01-13T02:53:46Z,-33.36498300,147.92031700,559.00,
81,,,,,2012-01-13T02:53:49Z,-33.36461700,147.92020000,563.00,
82,,,,,2012-01-13T02:53:52Z,-33.36421700,147.92016700,567.00,
83,,,,,2012-01-13T02:53:55Z,-33.36381700,147.92020000,571.00,
84,,,,,2012-01-13T02:53:58Z,-33.36340000,147.92026700,576.00,
85,,,,,2012-01-13T02:54:01Z,-33.36296700,147.92038300,581.00,
